rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Vanessa Williams,Save The Best For Last,NA,NA,4,NA,4 WEEKS AT NO. 1,11WEEKS ON CHART
2,2,Eric Clapton,Tears In Heaven,2,10,NA,NA,NA,NA
3,3,Atlantic Starr,Masterpiece,4,11,NA,NA,NA,NA
4,3,Michael Jackson,Remember The Time,3,12,NA,NA,NA,NA
5,5,Mariah Carey,Make It Happen,8,8,NA,NA,NA,NA
6,6,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),7,15,NA,NA,NA,NA
7,7, Genesis,I Can't Dance,9,11,NA,NA,NA,NA
8,1,Right Said Fred,I'm Too Sexy,6,17,NA,NA,NA,NA
9,9,TLC,Ain't 2 Proud 2 Beg,14,8,NA,NA,NA,NA
10,9,Queen,Bohemian Rhapsody,24,28,NA,NA,NA,NA
11,1,Mr. Big,To Be With You,5,17,NA,NA,NA,NA
12,12,Kris Kross,Jump,61,2,NA,NA,NA,NA
13,10,Celine Dion And Peabo Bryson,Beauty And The Beast,10,13,NA,NA,NA,NA
14,14,Richard Marx,Hazard,15,9,NA,NA,NA,NA
15,15,En Vogue,My Lovin' (You're Never Gonna Get It),28,4,NA,NA,NA,NA
16,16,Bruce Springsteen,Human Touch/Better Days,17,4,NA,NA,NA,NA
17,17,Kathy Troccoli,Everything Changes,18,8,NA,NA,NA,NA
18,8,Amy Grant,Good For Me,12,13,NA,NA,NA,NA
19,19,Joe Public,Live And Learn,26,5,NA,NA,NA,NA
20,20,CeCe Peniston,We Got A Love Thang,20,11,NA,NA,NA,NA
21,16,Color Me Badd ,Thinkin' Back,16,11,NA,NA,NA,NA
22,22,U2,One,22,5,NA,NA,NA,NA
23,11,The KLF Featuring Tammy Wynette,Justified And Ancient,11,11,NA,NA,NA,NA
24,2, Shanice,I Love Your Smile,13,21,NA,NA,NA,NA
25,12,Michael Bolton,Missing You Now,19,12,NA,NA,NA,NA
26,26,Jody Watley,I'm The One You Need,30,6,NA,NA,NA,NA
27,NA,Def Leppard ,Let's Get Rocked,NA,NA,NA,NA,NA,NA
28,27,Stacy Earl (Featuring The Wild Pair), Romeo & Juliet,27,8,NA,NA,NA,NA
29,29,Bryan Adams,Thought I'd Died And Gone To Heaven,35,5,NA,NA,NA,NA
30,30,Ozzy Osbourne,"Mama, I'm Coming Home",33,9,NA,NA,NA,NA
31,21,M.C. Brains,Oochie Coochie,25,13,NA,NA,NA,NA
32,6,Tevin Campbell,Tell Me What You Want Me To Do,23,23,NA,NA,NA,NA
33,16,NKOTB,If You Go Away,21,8,NA,NA,NA,NA
34,16,Boyz II Men,Uhh Ahh ,29,18,NA,NA,NA,NA
