rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Stevie B,Because I Love You (The Postman Song),NA,NA,3,NA,3WEEKS AT NO. 1,12WEEKS ON CHART
2,2,Madonna,Justify My Love,4,6,NA,NA,NA,NA
3,2,Bette Midler,From A Distance,2,12,NA,NA,NA,NA
4,4,Wilson Phillips ,Impulsive,5,11,NA,NA,NA,NA
5,5,DNA Featuring Suzanne Vega,Tom's Diner,7,12,NA,NA,NA,NA
6,6,Damn Yankees,High Enough,10,14,NA,NA,NA,NA
7,1,Whitney Houston,I'm Your Baby Tonight,3,10,NA,NA,NA,NA
8,8,George Michael ,Freedom,9,9,NA,NA,NA,NA
9,6,UB40,The Way You Do The Things You Do,6,15,NA,NA,NA,NA
10,10,Ralph Tresvant,Sensitivity,14,8,NA,NA,NA,NA
11,11,Janet Jackson,Love Will Never Do (Without You),17,6,NA,NA,NA,NA
12,12,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",13,9,NA,NA,NA,NA
13,4,Poison,Something To Believe In,8,12,NA,NA,NA,NA
14,1,Mariah Carey,Love Takes Time,12,15,NA,NA,NA,NA
15,4,Deee-Lite,Groove Is In The Heart,11,15,NA,NA,NA,NA
16,16,Surface,The First Time,19,8,NA,NA,NA,NA
17,17,Winger,Miles Away,18,11,NA,NA,NA,NA
18,18,Steve Winwood,One And Only Man,22,8,NA,NA,NA,NA
19,15,2 In A Room ,Wiggle It,15,12,NA,NA,NA,NA
20,20,Nelson,After The Rain,24,8,NA,NA,NA,NA
21,21,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),30,6,NA,NA,NA,NA
22,9,Tony Toni Tone,Feels Good,16,17,NA,NA,NA,NA
23,23,Vanilla Ice,Play That Funky Music,37,3,NA,NA,NA,NA
24,24,Cathy Dennis,Just Another Dream,25,9,NA,NA,NA,NA
25,25,Will To Power,I'm Not In Love,27,6,NA,NA,NA,NA
26,26,The Outfield ,For You,32,8,NA,NA,NA,NA
27,27,Phil Collins,Hang In Long Enough,33,7,NA,NA,NA,NA
28,2,Alias,More Than Words Can Say,21,16,NA,NA,NA,NA
29,29,Elisa Fiorillo,On The Way Up,34,13,NA,NA,NA,NA
30,13, Heart,Stranded,20,14,NA,NA,NA,NA
31,28,Johnny Gill,Fairweather Friend,28,10,NA,NA,NA,NA
32,32,Debbie Gibson,Anything Is Possible,35,6,NA,NA,NA,NA
33,33,Robert Palmer ,You're Amazing,41,6,NA,NA,NA,NA
34,34,Dino,Gentle,42,7,NA,NA,NA,NA
35,1,Vanilla Ice,Ice Ice Baby,29,16,NA,NA,NA,NA
36,36,Keith Sweat,I'll Give All My Love To You,44,4,NA,NA,NA,NA
37,21,Donny Osmond ,My Love Is A Fire,23,11,NA,NA,NA,NA
38,9,Candyman,Knockin' Boots,26,17,NA,NA,NA,NA
39,39,INXS,Disappear,46,5,NA,NA,NA,NA
40,19,The Righteous Brothers,Unchained Melody,39,12,NA,NA,NA,NA
41,41,LL Cool J,Around The Way Girl,52,4,NA,NA,NA,NA
42,11,Daryl Hall John Oates,So Close,31,13,NA,NA,NA,NA
43,43,Breathe Featuring David Glasper,Does She Love That Man?,48,6,NA,NA,NA,NA
44,44, Too $hort,The Ghetto,50,6,NA,NA,NA,NA
45,45,Elton John,You Gotta Love Someone,51,5,NA,NA,NA,NA
46,46,Warrant,I Saw Red,58,4,NA,NA,NA,NA
47,2,M.C. Hammer,Pray,36,13,NA,NA,NA,NA
48,48,Don Henley ,New York Minute,49,7,NA,NA,NA,NA
49,49,Cher,The Shoop Shoop Song (It's In His Kiss),55,5,NA,NA,NA,NA
50,45,The Black Crowes,Hard To Handle,45,9,NA,NA,NA,NA
51,51,Celine Dion,Where Does My Heart Beat Now,65,3,NA,NA,NA,NA
52,52,Depeche Mode,World In My Eyes,53,5,NA,NA,NA,NA
53,NA,Whitney Houston,All The Man That I Need,NA,NA,NA,NA,NA,NA
54,14,Soho,Hippychick,38,16,NA,NA,NA,NA
55,55,Pebbles,Love Makes Things Happen,66,4,NA,NA,NA,NA
56,56,Bad Company,If You Needed Somebody,56,7,NA,NA,NA,NA
57,26,Bell Biv DeVoe,B.B.D. (I Thought It Was Me)?,43,11,NA,NA,NA,NA
58,58,George LaMond (Duet With Brenda K. Starr),No Matter What,61,4,NA,NA,NA,NA
59,1,James Ingram,I Don't Have The Heart,40,21,NA,NA,NA,NA
60,60,AC/DC,Moneytalks,67,3,NA,NA,NA,NA
61,61,Iggy Pop With Kate Pierson,Candy,63,5,NA,NA,NA,NA
62,62,After 7,Heat Of The Moment,64,17,NA,NA,NA,NA
63,1,Maxi Priest,Close To You,47,26,NA,NA,NA,NA
64,64,Chris Isaak,Wicked Game,69,4,NA,NA,NA,NA
65,50,Guy,I Wanna Get With U,57,7,NA,NA,NA,NA
66,NA,Tony Toni Tone,It Never Rains (In Southern California),NA,NA,NA,NA,NA,NA
67,67,Cinderella,Shelter Me,72,3,NA,NA,NA,NA
68,68,Black Box,I Don't Know Anybody Else,74,3,NA,NA,NA,NA
69,6,After 7,Can't Stop,59,22,NA,NA,NA,NA
70,70,Joey B. Ellis & Tynetta Hare ,Go For It! (Heart And Fire),83,3,NA,NA,NA,NA
71,71,Jude Cole,House Full Of Reasons,71,4,NA,NA,NA,NA
72,28,Information Society,Think,54,12,NA,NA,NA,NA
73,73,Trixter,Give It To Me Good,77,4,NA,NA,NA,NA
74,74, Styx,Show Me The Way,81,3,NA,NA,NA,NA
75,75,Tevin Campbell,Round And Round,76,3,NA,NA,NA,NA
76,4,Pebbles,Giving You The Benefit,62,19,NA,NA,NA,NA
77,77,Maxi Priest,Just A Little Bit Longer,82,3,NA,NA,NA,NA
78,78,Urban Dance Squad,Deeper Shade Of Soul ,93,2,NA,NA,NA,NA
79,79,Oleta Adams,Get Here,89,2,NA,NA,NA,NA
80,37,Billy Joel,And So It Goes,60,10,NA,NA,NA,NA
81,10,Warrant,Cherry Pie,70,16,NA,NA,NA,NA
82,80,TKA Featuring Michelle Visage,Crash (Have Some Fun),80,4,NA,NA,NA,NA
83,19,Concrete Blonde,Joey,68,19,NA,NA,NA,NA
84,84,Pat & Mick,Use It Up And Wear It Out,86,2,NA,NA,NA,NA
85,85,Candyman,Melt In Your Mouth,95,2,NA,NA,NA,NA
86,NA,2nu,This Is Ponderous,NA,NA,NA,NA,NA,NA
87,27,David Cassidy,Lyin' To Myself,73,14,NA,NA,NA,NA
88,42,Al B. Sure!,Missunderstanding,75,11,NA,NA,NA,NA
89,NA,Tracie Spencer,This House,NA,NA,NA,NA,NA,NA
90,90,Notorious,The Swalk,90,2,NA,NA,NA,NA
91,79,The Party,I Found Love,85,8,NA,NA,NA,NA
92,NA,Timmy T. ,One More Try,NA,NA,NA,NA,NA,NA
93,93,Paul Simon,The Obvious Child,96,2,NA,NA,NA,NA
94,1,Nelson,(Can't Live Without Your) Love And Affection,87,25,NA,NA,NA,NA
95,50,Cheap Trick,Wherever Would I Be,78,9,NA,NA,NA,NA
96,NA,Slaughter,Spend My Life,NA,NA,NA,NA,NA,NA
97,13,The Righteous Brothers,Unchained Melody,84,18,NA,NA,NA,NA
98,1,Janet Jackson,Black Cat,79,15,NA,NA,NA,NA
99,91,Special Generation,Love Me Just For Me,91,3,NA,NA,NA,NA
100,4,Phil Collins,Something Happened On The Way To Heaven,88,21,NA,NA,NA,NA
