rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Brandy & Monica,The Boy Is Mine,NA,NA,2,NA,2WEEKS AT NO. 1,3WEEKS ON CHART
2,1,Next,Too Close,2,18,NA,NA,NA,NA
3,2,Shania Twain,You're Still The One,3,18,NA,NA,NA,NA
4,1,Mariah Carey,My All,4,6,NA,NA,NA,NA
5,3,Janet Featuring BLACKstreet,I Get Lonely,5,4,NA,NA,NA,NA
6,4,Backstreet Boys,Everybody [Backstreet's Back],6,9,NA,NA,NA,NA
7,1,K-Ci & JoJo,All My Life,8,12,NA,NA,NA,NA
8,1,Savage Garden,Truly Madly Deeply,9,28,NA,NA,NA,NA
9,7,Xscape,The Arms Of The One Who Loves You,7,7,NA,NA,NA,NA
10,8, Marcy Playground,Sex And Candy,11,10,NA,NA,NA,NA
11,11,Sarah McLachlan,Adia,14,3,NA,NA,NA,NA
12,12,Jon B,They Don't Know,22,20,NA,NA,NA,NA
13,6,Mya & Sisqo,It's All About Me,10,14,NA,NA,NA,NA
14,5,Public Announcement,Body Bumpin' Yippie-Yi-Yo,12,17,NA,NA,NA,NA
15,2,Montell Jordan Feat. Master P & Silkk The Shocker,Let's Ride,13,15,NA,NA,NA,NA
16,13, 'N Sync,I Want You Back,15,15,NA,NA,NA,NA
17,17,Voices Of Theory,Say It,21,11,NA,NA,NA,NA
18,2,Madonna,Frozen,16,13,NA,NA,NA,NA
19,1,Will Smith,Gettin' Jiggy Wit It,18,16,NA,NA,NA,NA
20,20,Master P Featuring Sons Of Funk,I Got The Hook Up!,20,10,NA,NA,NA,NA
21,3,Destiny's Child,"No, No, No",19,29,NA,NA,NA,NA
22,10,Busta Rhymes,Turn It Up [Remix]/Fire It Up,17,6,NA,NA,NA,NA
23,18,LeAnn Rimes,Looking Through Your Eyes,24,9,NA,NA,NA,NA
24,9,Third Eye Blind,How's It Going To Be,28,28,NA,NA,NA,NA
25,1,Janet,Together Again,23,26,NA,NA,NA,NA
26,16,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal ",Make Em' Say Uhh!,25,20,NA,NA,NA,NA
27,27,Gloria Estefan,Heaven's What I Feel,29,4,NA,NA,NA,NA
28,26,Luke Featuring No Good But So Good,Raise The Roof,26,12,NA,NA,NA,NA
29,2,LeAnn Rimes,How Do I Live,33,52,NA,NA,NA,NA
30,17,The Lox [Featuring DMX & Lil' Kim],"Money, Power & Respect",27,11,NA,NA,NA,NA
31,31,Faith Hill,This Kiss,31,13,NA,NA,NA,NA
32,11,Paula Cole,I Don't Want To Wait,30,33,NA,NA,NA,NA
33,19,Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,Victory,32,13,NA,NA,NA,NA
34,1,Usher,Nice & Slow,34,21,NA,NA,NA,NA
35,35,Imajin Featuring Keith Murray,Shorty (You Keep Playin' With My Mind),43,3,NA,NA,NA,NA
36,1,Celine Dion,My Heart Will Go On,36,16,NA,NA,NA,NA
37,6,Mase Featuring Total,What You Want,35,20,NA,NA,NA,NA
38,38,Playa ,Cheers 2 U,38,12,NA,NA,NA,NA
39,2,Usher,You Make Me Wanna...,41,43,NA,NA,NA,NA
40,NA,Big Punisher Featuring Joe,Still Not A Player,NA,NA,NA,NA,NA,NA
41,41,Link,Whatcha Gone Do?,45,2,NA,NA,NA,NA
42,37,Tamia,Imagination,42,13,NA,NA,NA,NA
43,40,Beenie Man,Who Am I,44,14,NA,NA,NA,NA
44,6,Sylk-E. Fyne Featuring Chill,Romeo And Juliet,37,18,NA,NA,NA,NA
45,9,Lord Tariq & Peter Gunz,Deja Vu [Uptown Baby],39,27,NA,NA,NA,NA
46,7,Wyclef Jean,Gone Till November,40,19,NA,NA,NA,NA
47,1,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,47,36,NA,NA,NA,NA
48,39,DMX Featuring Sheek Of The Lox,Get At Me Dog,48,16,NA,NA,NA,NA
49,47,Pearl Jam,Wishlist,50,4,NA,NA,NA,NA
50,12,The Verve,Bitter Sweet Symphony,51,12,NA,NA,NA,NA
51,28,Canibus,Second Round K.O.,49,10,NA,NA,NA,NA
52,52,La Bouche,You Won't Forget Me,56,2,NA,NA,NA,NA
53,52,Garbage,Push It,54,6,NA,NA,NA,NA
54,37,Timbaland & Magoo,Clock Strikes,52,7,NA,NA,NA,NA
55,51,S.O.A.P.,This Is How We Party,53,9,NA,NA,NA,NA
56,56,Various Artists,One Heart At A Time,63,3,NA,NA,NA,NA
57,57,Five,When The Lights Go Out,64,2,NA,NA,NA,NA
58,43,Jo Dee Messina,I'm Alright,61,14,NA,NA,NA,NA
59,55,Elton John ,Recover Your Soul,58,9,NA,NA,NA,NA
60,26,Aretha Franklin,A Rose Is Still A Rose,55,14,NA,NA,NA,NA
61,25,INOJ/LATHUN,Love You Down,59,19,NA,NA,NA,NA
62,21,2Pac Featuring Eric Williams,Do For Love,57,13,NA,NA,NA,NA
63,18,Loreena McKennitt,The Mummers' Dance,60,15,NA,NA,NA,NA
64,29,JD Featuring Da Brat,The Party Continues,62,15,NA,NA,NA,NA
65,64,Dixie Chicks,There's Your Trouble,67,5,NA,NA,NA,NA
66,61, George Strait,I Just Want To Dance With You,65,8,NA,NA,NA,NA
67,67,Olivia Newton-John,I Honestly Love You (David Foster Vers.),69,3,NA,NA,NA,NA
68,68,John Forte,Ninety Nine [Flash The Message],68,3,NA,NA,NA,NA
69,65,7 Mile,Do Your Thing,70,8,NA,NA,NA,NA
70,63,Tracy Byrd,I'm From The Country,73,11,NA,NA,NA,NA
71,71,Hi-Town DJs,Ding-A-Ling,77,7,NA,NA,NA,NA
72,72,Mark Wills,I Do [Cherish You],80,6,NA,NA,NA,NA
73,71,Baby Talk,Hooked On A Feeling (Ooga-Chaka),71,3,NA,NA,NA,NA
74,59,Metallica,The Unforgiven II,74,11,NA,NA,NA,NA
75,75,Terri Clark,Now That I Found You,79,4,NA,NA,NA,NA
76,76,Sister 7,Know What You Mean,82,3,NA,NA,NA,NA
77,57,"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo",Just Be Straight With Me,75,13,NA,NA,NA,NA
78,50,Salt-N-Pepa,Gitty Up,66,12,NA,NA,NA,NA
79,58,Deja Vu,My Heart Will Go On,76,14,NA,NA,NA,NA
80,64,Randy Travis,Out Of My Bones,83,8,NA,NA,NA,NA
81,81,Ty Herndon,A Man Holdin' On (To A Woman Lettin' Go),92,2,NA,NA,NA,NA
82,9,Spice Girls,Too Much,85,18,NA,NA,NA,NA
83,13,Jimmy Ray,Are You Jimmy Ray?,78,17,NA,NA,NA,NA
84,52,Jay-Z Featuring BLACKstreet,The City Is Mine,84,20,NA,NA,NA,NA
85,25,SWV,Rain,88,12,NA,NA,NA,NA
86,86,Christion,I Wanna Get Next To You,86,2,NA,NA,NA,NA
87,79,Kenny Chesney,That's Why I'm Here,90,6,NA,NA,NA,NA
88,74,Tim McGraw,One Of These Days,87,7,NA,NA,NA,NA
89,NA,Nu Flavor,Baby Be There,NA,NA,NA,NA,NA,NA
90,69,Dakota Moon,A Promise I Make,89,13,NA,NA,NA,NA
91,48,Blessid Union Of Souls,Light In Your Eyes,94,18,NA,NA,NA,NA
92,NA,Hannah Jones,You Only Have To Say You Love Me,NA,NA,NA,NA,NA,NA
93,78,The Kenny Wayne Shepherd Band,Blue On Black,91,7,NA,NA,NA,NA
94,62,Do Or Die Featuring Johnny P & Twista,Still Po' Pimpin',81,12,NA,NA,NA,NA
95,NA,LaTanya Featuring Twista,Whatuon ,NA,NA,NA,NA,NA,NA
96,71,Lisa Loeb, Let's Forget About It,95,7,NA,NA,NA,NA
97,67,She Moves,It's Your Love,97,13,NA,NA,NA,NA
98,49,Smooth,Strawberries,98,17,NA,NA,NA,NA
99,81,Davina,Come Over To My Place,96,9,NA,NA,NA,NA
100,86,Blair,"Have Fun, Go Mad",93,4,NA,NA,NA,NA
