rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,NA,NA,7,NA,7WEEKS AT NO. 1,7WEEKS ON CHART
2,2,Usher,You Make Me Wanna...,2,14,NA,NA,NA,NA
3,3,LeAnn Rimes,How Do I Live,3,23,NA,NA,NA,NA
4,4,Allure Featuring 112,All Cried Out,5,13,NA,NA,NA,NA
5,5,LSG,My Body,8,4,NA,NA,NA,NA
6,6,Somethin' For The People Featuring Trina & Tamara,My Love Is The Shhh!,6,13,NA,NA,NA,NA
7,1,Boyz II Men,4 Seasons Of Loneliness,4,9,NA,NA,NA,NA
8,7, Chumbawamba,Tubthumping,7,11,NA,NA,NA,NA
9,9,Aaliyah,The One I Gave My Heart To,9,8,NA,NA,NA,NA
10,10,Mase,Feel So Good,12,4,NA,NA,NA,NA
11,2,Jewel,Foolish Games/You Were Meant For Me,10,52,NA,NA,NA,NA
12,12,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",Sock It 2 Me,14,6,NA,NA,NA,NA
13,13,Robyn,Show Me Love,21,2,NA,NA,NA,NA
14,2,Backstreet Boys,Quit Playing Games (With My Heart),11,22,NA,NA,NA,NA
15,15,Paula Cole,I Don't Want To Wait,15,4,NA,NA,NA,NA
16,16,Total,What About Us,16,13,NA,NA,NA,NA
17,17,Next,Butta Love,17,12,NA,NA,NA,NA
18,4,Third Eye Blind,Semi-Charmed Life,13,21,NA,NA,NA,NA
19,19,Spice Girls,Spice Up Your Life,27,3,NA,NA,NA,NA
20,11,Sister Hazel,All For You,20,20,NA,NA,NA,NA
21,13,Sarah McLachlan,Building A Mystery,19,12,NA,NA,NA,NA
22,22,Fiona Apple,Criminal,22,8,NA,NA,NA,NA
23,1,Mariah Carey,Honey,18,11,NA,NA,NA,NA
24,1,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,23,17,NA,NA,NA,NA
25,12,98 Degrees,Invisible Man,24,20,NA,NA,NA,NA
26,1,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,25,24,NA,NA,NA,NA
27,27,Bone Thugs-N-Harmony,If I Could Teach The World,28,6,NA,NA,NA,NA
28,4,Spice Girls,2 Become 1,26,15,NA,NA,NA,NA
29,23,Milestone,I Care 'Bout You,29,13,NA,NA,NA,NA
30,25,Master P Featuring Pimp C And The Shocker,I Miss My Homies,31,12,NA,NA,NA,NA
31,31,Lisa Loeb,I Do,37,4,NA,NA,NA,NA
32,24,Mary J. Blige,Everything,30,9,NA,NA,NA,NA
33,25,Shania Twain,Love Gets Me Every Time,32,7,NA,NA,NA,NA
34,7,Shawn Colvin,Sunny Came Home,34,20,NA,NA,NA,NA
35,35,H-Town,They Like It Slow,35,7,NA,NA,NA,NA
36,7,Robyn,Do You Know (What It Takes),38,26,NA,NA,NA,NA
37,17,Brian McKnight Featuring Mase,You Should Be Mine (Don't Waste Your Time),33,12,NA,NA,NA,NA
38,36,Imani Coppola,Legend Of A Cowgirl,39,11,NA,NA,NA,NA
39,39,Nu Flavor,Heaven,41,7,NA,NA,NA,NA
40,40,She Moves,Breaking All The Rules,48,3,NA,NA,NA,NA
41,16,Duncan Sheik,Barely Breathing ,36,52,NA,NA,NA,NA
42,12,Magoo And Timbaland,Up Jumps Da Boogie,40,19,NA,NA,NA,NA
43,6,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",Not Tonight,43,20,NA,NA,NA,NA
44,37,Mack 10,Backyard Boogie,42,13,NA,NA,NA,NA
45,5,The Verve Pipe,The Freshmen,45,40,NA,NA,NA,NA
46,2,Mark Morrison,Return Of The Mack,47,39,NA,NA,NA,NA
47,33,En Vogue,"Too Gone, Too Long",44,7,NA,NA,NA,NA
48,48,Gary Barlow,So Help Me Girl,54,6,NA,NA,NA,NA
49,49,Los Umbrellos,No Tengo Dinero,49,13,NA,NA,NA,NA
50,50,Martina McBride With Jim Brickman,Valentine,53,8,NA,NA,NA,NA
51,51,Naughty By Nature,Mourn You Til I Join You,51,2,NA,NA,NA,NA
52,21,Mr. President,Coco Jamboo,52,17,NA,NA,NA,NA
53,46,K-Ci & JoJo,Last Night's Letter,46,8,NA,NA,NA,NA
54,54,Uncle Sam,I Don't Ever Want To See You Again,62,3,NA,NA,NA,NA
55,38, Diana King,I Say A Little Prayer,60,19,NA,NA,NA,NA
56,34,LeAnn Rimes,You Light Up My Life,57,11,NA,NA,NA,NA
57,57,Richard Marx & Donna Lewis,At The Beginning,67,3,NA,NA,NA,NA
58,55,LL Cool J,Phenomenon,55,4,NA,NA,NA,NA
59,59,Olive,You're Not Alone,69,5,NA,NA,NA,NA
60,7,Dru Hill,Never Make A Promise,56,16,NA,NA,NA,NA
61,61,Davina,So Good,65,4,NA,NA,NA,NA
62,46,4.0,Have A Little Mercy,63,14,NA,NA,NA,NA
63,63,Big Punisher,I'm Not A Player,66,4,NA,NA,NA,NA
64,31, Rome,Do You Like This,70,17,NA,NA,NA,NA
65,61,3rd Party,Love Is Alive,61,9,NA,NA,NA,NA
66,62,Le Click Featuring Kayo,Don't Go,68,9,NA,NA,NA,NA
67,67,The Kinleys,Please,71,8,NA,NA,NA,NA
68,35,Refugee Camp All Stars Featuring Pras (With Ky-mani), Avenues,58,10,NA,NA,NA,NA
69,19,SWV (Featuring Puff Daddy),Someone,75,18,NA,NA,NA,NA
70,39,Peach Union,On My Own,64,10,NA,NA,NA,NA
71,61,Daft Punk,Around The World,72,13,NA,NA,NA,NA
72,52,Duran Duran,Electric Barbarella,59,7,NA,NA,NA,NA
73,9,R. Kelly,Gotham City,73,19,NA,NA,NA,NA
74,70,Trace Adkins,The Rest Of Mine,76,6,NA,NA,NA,NA
75,51,Sam Salter,"After 12, Before 6",74,14,NA,NA,NA,NA
76,76,Billie Myers,Kiss The Rain ,82,3,NA,NA,NA,NA
77,68,Jon B,Don't Say,78,13,NA,NA,NA,NA
78,78,The O'Jays,Baby You Know,85,3,NA,NA,NA,NA
79,75, Ultra Nate,Free,81,14,NA,NA,NA,NA
80,80,No Mercy,Kiss You All Over,96,2,NA,NA,NA,NA
81,NA,David Bowie,I'm Afraid Of Americans,NA,NA,NA,NA,NA,NA
82,82,Playa, Don't Stop The Music,93,2,NA,NA,NA,NA
83,7,Aqua,Barbie Girl,77,12,NA,NA,NA,NA
84,84,Amber,One More Night,89,6,NA,NA,NA,NA
85,28,Mary J. Blige,I Can Love You,83,18,NA,NA,NA,NA
86,37,Savage Garden, To The Moon And Back,86,18,NA,NA,NA,NA
87,87,Sneaker Pimps,Spin Spin Sugar,87,7,NA,NA,NA,NA
88,88,Changing Faces (Featuring Jay-Z),All Of My Days,88,3,NA,NA,NA,NA
89,NA,BeBe Winans,In Harm's Way,NA,NA,NA,NA,NA,NA
90,77,Peter Cetera Featuring Az Yet,You're The Inspiration,91,6,NA,NA,NA,NA
91,53,Foxy Brown Featuring Dru Hill,"Big Bad Mamma (From ""Def Jam's How To Be A Player"")",92,15,NA,NA,NA,NA
92,NA,Barenaked Ladies,Brian Wilson,NA,NA,NA,NA,NA,NA
93,NA,Lonestar,You Walked In,NA,NA,NA,NA,NA,NA
94,94,EPMD,The Joint,99,3,NA,NA,NA,NA
95,84,Yvette Michele,DJ Keep Playin' (Get Your Music On),84,2,NA,NA,NA,NA
96,NA,Diana King,L-L-Lies,NA,NA,NA,NA,NA,NA
97,69,Nastyboy Klick Featuring Roger Troutman,Down For Yours,98,16,NA,NA,NA,NA
98,52,Lost Boyz,Me And My Crazy World,79,10,NA,NA,NA,NA
99,90,Lord Tariq & Peter Gunz,Deja Vu [Uptown Baby],90,2,NA,NA,NA,NA
100,78,Jamiroquai,Alright,94,7,NA,NA,NA,NA
