rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Madonna,Justify My Love,NA,NA,NA,2,2LAST WEEK ,8WEEKS ON CHART
2,1,Stevie B,Because I Love You (The Postman Song),1,14,NA,NA,NA,NA
3,2,Bette Midler,From A Distance,3,14,NA,NA,NA,NA
4,4,Damn Yankees,High Enough,6,16,NA,NA,NA,NA
5,5,DNA Featuring Suzanne Vega,Tom's Diner,5,14,NA,NA,NA,NA
6,4,Wilson Phillips,Impulsive,4,13,NA,NA,NA,NA
7,7,Janet Jackson,Love Will Never Do (Without You),11,8,NA,NA,NA,NA
8,8,Ralph Tresvant,Sensitivity,10,10,NA,NA,NA,NA
9,9,Surface,The First Time,16,10,NA,NA,NA,NA
10,1,Whitney Houston,I'm Your Baby Tonight,7,12,NA,NA,NA,NA
11,11,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),21,8,NA,NA,NA,NA
12,8,George Michael,Freedom,8,11,NA,NA,NA,NA
13,13,Winger,Miles Away,17,13,NA,NA,NA,NA
14,14,Vanilla Ice,Play That Funky Music,23,5,NA,NA,NA,NA
15,6,UB40,The Way You Do The Things You Do,9,17,NA,NA,NA,NA
16,16,Nelson ,After The Rain,20,10,NA,NA,NA,NA
17,4,Poison,Something To Believe In,13,14,NA,NA,NA,NA
18,12,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",12,11,NA,NA,NA,NA
19,1,Mariah Carey,Love Takes Time,14,17,NA,NA,NA,NA
20,20,Will To Power,I'm Not In Love,25,8,NA,NA,NA,NA
21,21,Cathy Dennis,Just Another Dream,24,11,NA,NA,NA,NA
22,18,Steve Winwood,One And Only Man,18,10,NA,NA,NA,NA
23,4,Deee-Lite,Groove Is In The Heart,15,17,NA,NA,NA,NA
24,24,The Outfield,For You,26,10,NA,NA,NA,NA
25,25,Phil Collins,Hang In Long Enough,27,9,NA,NA,NA,NA
26,15,2 In A Room,Wiggle It,19,14,NA,NA,NA,NA
27,27,Elisa Fiorillo,On The Way Up,29,15,NA,NA,NA,NA
28,28,Debbie Gibson ,Anything Is Possible,32,8,NA,NA,NA,NA
29,29,Keith Sweat,I'll Give All My Love To You,36,6,NA,NA,NA,NA
30,30,Robert Palmer,You're Amazing,33,8,NA,NA,NA,NA
31,31,Dino,Gentle,34,9,NA,NA,NA,NA
32,32,INXS,Disappear,39,7,NA,NA,NA,NA
33,9,Tony Toni Tone, Feels Good,22,19,NA,NA,NA,NA
34,2,Alias,More Than Words Can Say,28,18,NA,NA,NA,NA
35,13,Heart,Stranded,30,16,NA,NA,NA,NA
36,36,LL Cool J,Around The Way Girl,41,6,NA,NA,NA,NA
37,37,Whitney Houston,All The Man That I Need,53,3,NA,NA,NA,NA
38,38,Breathe Featuring David Glasper,Does She Love That Man?,43,8,NA,NA,NA,NA
39,39,Celine Dion,Where Does My Heart Beat Now,51,5,NA,NA,NA,NA
40,40,Warrant,I Saw Red,46,6,NA,NA,NA,NA
41,19,The Righteous Brothers ,Unchained Melody,40,14,NA,NA,NA,NA
42,42,Too $hort,The Ghetto,44,8,NA,NA,NA,NA
43,43,Elton John,You Gotta Love Someone,45,7,NA,NA,NA,NA
44,44,Pebbles,Love Makes Things Happen,55,6,NA,NA,NA,NA
45,28,Johnny Gill,Fairweather Friend,31,12,NA,NA,NA,NA
46,46,Cher,The Shoop Shoop Song (It's In His Kiss),49,7,NA,NA,NA,NA
47,2,M.C. Hammer,Pray,47,15,NA,NA,NA,NA
48,48,After 7,Heat Of The Moment,62,19,NA,NA,NA,NA
49,49,Chris Isaak,Wicked Game,64,6,NA,NA,NA,NA
50,50,Iggy Pop With Kate Pierson ,Candy,61,7,NA,NA,NA,NA
51,51,Bad Company,If You Needed Somebody,56,9,NA,NA,NA,NA
52,1,Vanilla Ice,Ice Ice Baby,35,18,NA,NA,NA,NA
53,53,Black Box,I Don't Know Anybody Else,68,5,NA,NA,NA,NA
54,48,Don Henley,New York Minute,48,9,NA,NA,NA,NA
55,55,AC/DC,Moneytalks,60,5,NA,NA,NA,NA
56,52,Depeche Mode,World In My Eyes,52,7,NA,NA,NA,NA
57,9,Candyman,Knockin' Boots,38,19,NA,NA,NA,NA
58,58,George LaMond (Duet With Brenda K. Starr),No Matter What,58,6,NA,NA,NA,NA
59,11,Daryl Hall John Oates ,So Close,42,15,NA,NA,NA,NA
60,60,Cinderella,Shelter Me,67,5,NA,NA,NA,NA
61,21,Donny Osmond,My Love Is A Fire,37,13,NA,NA,NA,NA
62,62,Styx,Show Me The Way,74,5,NA,NA,NA,NA
63,26,Bell Biv DeVoe,B.B.D. (I Thought It Was Me)?,57,13,NA,NA,NA,NA
64,50,Guy,I Wanna Get With U,65,9,NA,NA,NA,NA
65,65,Trixter,Give It To Me Good,73,6,NA,NA,NA,NA
66,66,Joey B. Ellis & Tynetta Hare,Go For It! (Heart And Fire),70,5,NA,NA,NA,NA
67,66,Tony Toni Tone,It Never Rains (In Southern California),66,3,NA,NA,NA,NA
68,68,Tevin Campbell,Round And Round,75,5,NA,NA,NA,NA
69,69,Jude Cole,House Full Of Reasons,71,6,NA,NA,NA,NA
70,70,Timmy T.,One More Try,92,3,NA,NA,NA,NA
71,1,Maxi Priest,Close To You,63,28,NA,NA,NA,NA
72,45,The Black Crowes,Hard To Handle,50,11,NA,NA,NA,NA
73,73,Maxi Priest,Just A Little Bit Longer,77,5,NA,NA,NA,NA
74,74,Oleta Adams,Get Here ,79,4,NA,NA,NA,NA
75,75,Urban Dance Squad,Deeper Shade Of Soul,78,4,NA,NA,NA,NA
76,1,James Ingram,I Don't Have The Heart,59,23,NA,NA,NA,NA
77,77,2nu,This Is Ponderous,86,3,NA,NA,NA,NA
78,14,Soho,Hippychick,54,18,NA,NA,NA,NA
79,79,Tracie Spencer,This House,89,3,NA,NA,NA,NA
80,10,Warrant,Cherry Pie,81,18,NA,NA,NA,NA
81,28,Information Society,Think,72,14,NA,NA,NA,NA
82,82,Candyman,Melt In Your Mouth,85,4,NA,NA,NA,NA
83,83,Pat & Mick,Use It Up And Wear It Out,84,4,NA,NA,NA,NA
84,6,After 7,Can't Stop,69,24,NA,NA,NA,NA
85,NA,M.C. Hammer,Here Comes The Hammer,NA,NA,NA,NA,NA,NA
86,86,Slaughter,Spend My Life,96,3,NA,NA,NA,NA
87,4,Pebbles,Giving You The Benefit,76,21,NA,NA,NA,NA
88,80,TKA Featuring Michelle Visage,Crash (Have Some Fun),82,6,NA,NA,NA,NA
89,NA,Tesla,Signs,NA,NA,NA,NA,NA,NA
90,90,Notorious,The Swalk,90,4,NA,NA,NA,NA
91,NA,House Of Lords,Remember My Name,NA,NA,NA,NA,NA,NA
92,92,Paul Simon,The Obvious Child,93,4,NA,NA,NA,NA
93,NA,Guys Next Door,I've Been Waiting For You,NA,NA,NA,NA,NA,NA
94,42,Al B. Sure!,Missunderstanding,88,13,NA,NA,NA,NA
95,NA,Daryl Hall John Oates,Don't Hold Back Your Love,NA,NA,NA,NA,NA,NA
96,NA,Deee-Lite,Power Of Love,NA,NA,NA,NA,NA,NA
97,79,The Party,I Found Love,91,10,NA,NA,NA,NA
98,27,David Cassidy ,Lyin' To Myself,87,16,NA,NA,NA,NA
99,37,Billy Joel,And So It Goes,80,12,NA,NA,NA,NA
100,19,Concrete Blonde,Joey,83,21,NA,NA,NA,NA
