rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,NA,NA,2,NA,2 WEEKS AT NO. 1,6WEEKS ON CHART
2,2,Backstreet Boys,Quit Playing Games (With My Heart),3,11,NA,NA,NA,NA
3,1,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,2,13,NA,NA,NA,NA
4,4,Spice Girls,2 Become 1,5,4,NA,NA,NA,NA
5,5,LeAnn Rimes,How Do I Live,6,12,NA,NA,NA,NA
6,4,Third Eye Blind ,Semi-Charmed Life,4,10,NA,NA,NA,NA
7,NA,Aqua,Barbie Girl,NA,NA,NA,NA,NA,NA
8,7,Dru Hill,Never Make A Promise,8,5,NA,NA,NA,NA
9,9,Usher,You Make Me Wanna...,14,3,NA,NA,NA,NA
10,6,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",Not Tonight,7,9,NA,NA,NA,NA
11,11,Sister Hazel,All For You,11,9,NA,NA,NA,NA
12,12, 98 Degrees,Invisible Man,13,9,NA,NA,NA,NA
13,7,Robyn,Do You Know (What It Takes),9,15,NA,NA,NA,NA
14,7,Shawn Colvin,Sunny Came Home,10,9,NA,NA,NA,NA
15,15,Magoo And Timbaland,Up Jumps Da Boogie,15,8,NA,NA,NA,NA
16,2,Meredith Brooks,Bitch,12,20,NA,NA,NA,NA
17,12,Coolio Featuring 40 Thevz,"C U When U Get There (From ""Nothing To Lose"")",16,10,NA,NA,NA,NA
18,NA,Sarah McLachlan,Building A Mystery,NA,NA,NA,NA,NA,NA
19,19,SWV (Featuring Puff Daddy),Someone,19,7,NA,NA,NA,NA
20,2, Mark Morrison,Return Of The Mack,17,28,NA,NA,NA,NA
21,21,Mr. President,Coco Jamboo,23,6,NA,NA,NA,NA
22,5,The Verve Pipe ,The Freshmen,18,29,NA,NA,NA,NA
23,8,Changing Faces,G.H.E.T.T.O.U.T.,20,18,NA,NA,NA,NA
24,24,Allure Featuring 112,All Cried Out,40,2,NA,NA,NA,NA
25,2,Jewel ,Foolish Games/You Were Meant For Me,21,41,NA,NA,NA,NA
26,9,R. Kelly,Gotham City,22,8,NA,NA,NA,NA
27,NA,Master P Featuring Pimp C And The Shocker,I Miss My Homies,NA,NA,NA,NA,NA,NA
28,16,Duncan Sheik,Barely Breathing,26,41,NA,NA,NA,NA
29,4,Monica,"For You I Will (From ""Space Jam"")",27,26,NA,NA,NA,NA
30,25,"10,000 Maniacs",More Than This,25,9,NA,NA,NA,NA
31,31,Rome,Do You Like This,31,6,NA,NA,NA,NA
32,3,Spice Girls,Say You'll Be There,24,16,NA,NA,NA,NA
33,31,Various Artists,ESPN Presents The Jock Jam,33,18,NA,NA,NA,NA
34,8,Az Yet Featuring Peter Cetera,Hard To Say I'm Sorry,30,29,NA,NA,NA,NA
35,35,702,"All I Want (From ""GOOD Burger"")",36,4,NA,NA,NA,NA
36,34,Rampage Featuring Billy Lawrence,Take It To The Streets,34,8,NA,NA,NA,NA
37,7,Tim McGraw With Faith Hill ,It's Your Love,29,17,NA,NA,NA,NA
38,38,Total,What About Us,62,2,NA,NA,NA,NA
39,1,Hanson,MMMBop,32,19,NA,NA,NA,NA
40,4,Bone Thugs-N-Harmony,"Look Into My Eyes (From ""Batman & Robin"")",28,12,NA,NA,NA,NA
