rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,George Michael,Praying For Time,NA,NA,NA,2,2LAST WEEK,7WEEKS ON CHART,NA
2,1,Maxi Priest,Close To You,1,16,NA,NA,NA,NA,maxi-priest-myk-53x53.jpg
3,3,James Ingram,I Don't Have The Heart,5,11,NA,NA,NA,NA,james-ingram-t1a-53x53.jpg
4,4,Vanilla Ice,Ice Ice Baby,7,6,NA,NA,NA,NA,vanilla-ice-1on-53x53.jpg
5,5,Janet Jackson,Black Cat,13,5,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
6,1,Nelson,(Can't Live Without Your) Love And Affection,3,15,NA,NA,NA,NA,nelson-53x53.jpg
7,7,Dino,Romeo,11,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
8,4,Phil Collins,Something Happened On The Way To Heaven,4,11,NA,NA,NA,NA,phil-collins-53x53.jpg
9,9,Black Box,Everybody Everybody,15,11,NA,NA,NA,NA,black-box-a2z-53x53.jpg
10,8,Paul Young,Oh Girl,8,14,NA,NA,NA,NA,paul-young-mlj-53x53.jpg
11,11,After 7,Can't Stop,16,12,NA,NA,NA,NA,after-7-zay-53x53.jpg
12,12, Pebbles,Giving You The Benefit,17,9,NA,NA,NA,NA,pebbles-xsh-53x53.jpg
13,13,INXS,Suicide Blonde,18,6,NA,NA,NA,NA,inxs-ug5-53x53.jpg
14,10,Johnny Gill,"My, My, My",12,11,NA,NA,NA,NA,johnny-gill-53x53.jpg
15,15,The Righteous Brothers,Unchained Melody,19,8,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
16,1,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",6,13,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
17,3,Bell Biv DeVoe,Do Me!,9,16,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
18,18,Depeche Mode,Policy Of Truth,20,10,NA,NA,NA,NA,depeche-mode-53x53.jpg
19,19,Mariah Carey,Love Takes Time,24,5,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
20,1,Wilson Phillips,Release Me,10,16,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
21,21,Lisa Stansfield,This Is The Right Time,21,9,NA,NA,NA,NA,lisa-stansfield-yvw-53x53.jpg
22,22,Warrant,Cherry Pie,27,6,NA,NA,NA,NA,warrant-53x53.jpg
23,23,Slaughter,Fly To the Angels,23,9,NA,NA,NA,NA,slaughter-53x53.jpg
24,24,Breathe,Say A Prayer,25,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
25,25,Tony Toni Tone,Feels Good,26,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
26,26,Alias,More Than Words Can Say,31,6,NA,NA,NA,NA,alias-p5m-53x53.jpg
27,12,Taylor Dayne,Heart Of Stone,14,11,NA,NA,NA,NA,taylor-dayne-j3h-53x53.jpg
28,28,M.C. Hammer, Pray,37,3,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
29,29,The Boys,Crazy,30,8,NA,NA,NA,NA,the-boys-xqd-53x53.jpg
30,30,The Righteous Brothers,Unchained Melody,45,2,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
31,31, Candyman,Knockin' Boots,41,7,NA,NA,NA,NA,candyman-b0u-53x53.jpg
32,32,Jude Cole,Time For Letting Go,35,11,NA,NA,NA,NA,jude-cole-axa-53x53.jpg
33,33,Concrete Blonde,Joey,39,9,NA,NA,NA,NA,concrete-blonde-91p-53x53.jpg
34,14,Kyper,Tic-Tac-Toe,34,16,NA,NA,NA,NA,kyper-4ia-53x53.jpg
