rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Santana Featuring The Product G&B,Maria Maria,NA,NA,4,NA,4 WEEKS AT NO. 1,12WEEKS ON CHART
2,2,Faith Hill,Breathe,2,26,NA,NA,NA,NA
3,3,Toni Braxton,He Wasn't Man Enough,24,7,NA,NA,NA,NA
4,4,Sisqo,Thong Song ,5,14,NA,NA,NA,NA
5,1,Destiny's Child,Say My Name,3,19,NA,NA,NA,NA
6,4,'N Sync,Bye Bye Bye,4,14,NA,NA,NA,NA
7,7,Macy Gray,I Try,7,11,NA,NA,NA,NA
8,1,Lonestar,Amazed,6,39,NA,NA,NA,NA
9,9,Vertical Horizon,Everything You Want,9,15,NA,NA,NA,NA
10,8,Sonique,It Feels So Good,8,15,NA,NA,NA,NA
11,11,Joe,I Wanna Know,14,18,NA,NA,NA,NA
12,1,Santana Featuring Rob Thomas,Smooth,11,40,NA,NA,NA,NA
13,13,Marc Anthony,You Sang To Me,15,10,NA,NA,NA,NA
14,7,P!nk,There You Go ,12,9,NA,NA,NA,NA
15,4,Montell Jordan,Get It On Tonite,10,28,NA,NA,NA,NA
16,16,Aaliyah,Try Again,18,7,NA,NA,NA,NA
17,17,Enrique Iglesias,Be With You,23,5,NA,NA,NA,NA
18,14,Third Eye Blind,Never Let You Go,17,15,NA,NA,NA,NA
19,6,Backstreet Boys,Show Me The Meaning Of Being Lonely,13,18,NA,NA,NA,NA
20,20,Dixie Chicks,Goodbye Earl,20,7,NA,NA,NA,NA
21,19,Kid Rock,Only God Knows Why,19,11,NA,NA,NA,NA
22,22,Hanson,This Time Around,22,2,NA,NA,NA,NA
23,23,Creed,Higher,25,26,NA,NA,NA,NA
24,1,Savage Garden,I Knew I Loved You ,21,28,NA,NA,NA,NA
25,25,504 Boyz,Wobble Wobble,34,3,NA,NA,NA,NA
26,6,Celine Dion,That's The Way It Is,16,25,NA,NA,NA,NA
27,27,DMX,Party Up (Up In Here),27,10,NA,NA,NA,NA
28,28,Carl Thomas,I Wish,32,6,NA,NA,NA,NA
29,29,Red Hot Chili Peppers,Otherside,29,12,NA,NA,NA,NA
30,30,Christina Aguilera,I Turn To You,39,3,NA,NA,NA,NA
31,3,Marc Anthony,I Need To Know,30,34,NA,NA,NA,NA
32,5,Blaque,Bring It All To Me,26,28,NA,NA,NA,NA
33,31,George Strait,The Best Day,31,14,NA,NA,NA,NA
34,25,Dr. Dre Featuring Eminem,Forgot About Dre,28,15,NA,NA,NA,NA
