rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Amy Grant,Baby Baby,NA,NA,NA,2,2LAST WEEK ,10WEEKS ON CHART
2,2,Roxette,Joyride,5,9,NA,NA,NA,NA
3,1,Wilson Phillips,You're In Love,1,12,NA,NA,NA,NA
4,4,Hi-Five,I Like The Way (The Kissing Game),8,10,NA,NA,NA,NA
5,5,C+C Music Factory/F. Williams,Here We Go,10,9,NA,NA,NA,NA
6,1,Londonbeat,I've Been Thinking About You,3,12,NA,NA,NA,NA
7,7,Rick Astley,Cry For Help,9,11,NA,NA,NA,NA
8,8,Cathy Dennis,Touch Me (All Night Long),11,9,NA,NA,NA,NA
9,9,Divinyls ,I Touch Myself,12,8,NA,NA,NA,NA
10,3,Tara Kemp,Hold You Tight,4,15,NA,NA,NA,NA
11,5,Enigma,Sadeness Part 1,6,12,NA,NA,NA,NA
12,12,Rod Stewart,Rhythm Of My Heart,15,7,NA,NA,NA,NA
13,13,Voices That Care,Voices That Care,14,7,NA,NA,NA,NA
14,14,The Rembrandts,"Just The Way It Is, Baby",18,12,NA,NA,NA,NA
15,15,Mariah Carey,I Don't Wanna Cry,23,4,NA,NA,NA,NA
16,7,Gerardo,Rico Suave,7,13,NA,NA,NA,NA
17,9,Another Bad Creation,Iesha,13,16,NA,NA,NA,NA
18,18,Queensryche,Silent Lucidity,22,6,NA,NA,NA,NA
19,19,Nelson,More Than Ever,24,8,NA,NA,NA,NA
20,20,Keedy,Save Some Love,25,7,NA,NA,NA,NA
21,21,The Rude Boys,Written All Over Your Face,26,8,NA,NA,NA,NA
22,22,The Triplets,You Don't Have To Go Home Tonight,29,7,NA,NA,NA,NA
23,23,Extreme,More Than Words,30,6,NA,NA,NA,NA
24,16,Robert Palmer,Mercy Mercy Me (The Ecology)/I Want You,16,11,NA,NA,NA,NA
25,25,R.E.M.,Losing My Religion,34,4,NA,NA,NA,NA
26,8,Tesla, Signs,17,17,NA,NA,NA,NA
27,1,Timmy T.,One More Try,20,19,NA,NA,NA,NA
28,1,Gloria Estefan,Coming Out Of The Dark,19,14,NA,NA,NA,NA
29,12,Tevin Campbell,Round And Round,21,21,NA,NA,NA,NA
30,30,Michael Bolton,Love Is A Wonderful Thing,36,2,NA,NA,NA,NA
31,31,Color Me Badd,"I Wanna Sex You Up (From ""New Jack City"")",51,4,NA,NA,NA,NA
32,32,Monie Love Featuring True Image ,It's A Shame (My Sister),32,7,NA,NA,NA,NA
33,33,Firehouse,Don't Treat Me Bad,35,8,NA,NA,NA,NA
34,34,Sheena Easton,What Comes Naturally,37,5,NA,NA,NA,NA
35,35,Whitney Houston,Miracle,42,3,NA,NA,NA,NA
36,3,Tracie Spencer,This House,27,19,NA,NA,NA,NA
37,37,The Black Crowes,She Talks To Angels,39,7,NA,NA,NA,NA
38,38,Riff,My Heart Is Failing Me,45,6,NA,NA,NA,NA
39,1,Mariah Carey,Someday,28,15,NA,NA,NA,NA
40,40,Black Box,Strike It Up,60,4,NA,NA,NA,NA
41,41,The Fixx,How Much Is Enough,55,5,NA,NA,NA,NA
42,42,Salt-N-Pepa ,Do You Want Me,56,6,NA,NA,NA,NA
43,41,Guy,Let's Chill,41,10,NA,NA,NA,NA
44,44,Cinderella,Heartbreak Station,54,7,NA,NA,NA,NA
45,25,Bingo Boys Featuring Princessa,How To Dance,31,11,NA,NA,NA,NA
46,46,UB40,Here I Am (Come And Take Me) ,63,6,NA,NA,NA,NA
47,47,LaTour,People Are Still Having Sex,65,4,NA,NA,NA,NA
48,48,INXS,Bitter Tears,59,4,NA,NA,NA,NA
49,49,LL Cool J,Mama Said Knock You Out,67,3,NA,NA,NA,NA
50,31,Michel'le,Something In My Heart,44,16,NA,NA,NA,NA
51,51,Styx, Love At First Sight,64,4,NA,NA,NA,NA
52,52,Celine Dion,(If There Was) Any Other Way,62,4,NA,NA,NA,NA
53,35,Lisette Melendez,Together Forever,48,13,NA,NA,NA,NA
54,54,EMF,Unbelievable,74,3,NA,NA,NA,NA
55,4,Celine Dion,Where Does My Heart Beat Now,49,21,NA,NA,NA,NA
56,NA,Huey Lewis & The News,Couple Days Off,NA,NA,NA,NA,NA,NA
57,57, Happy Mondays,Step On,66,7,NA,NA,NA,NA
58,58,Marc Cohn,Walking In Memphis,70,5,NA,NA,NA,NA
59,59,Gloria Estefan,Seal Our Fate,80,2,NA,NA,NA,NA
60,55,The Party,That's Why,61,9,NA,NA,NA,NA
61,20,Whitney Houston,The Star Spangled Banner,33,8,NA,NA,NA,NA
62,12,Stevie B ,I'll Be By Your Side,38,13,NA,NA,NA,NA
63,NA,Luther Vandross,Power Of Love/Love Power,NA,NA,NA,NA,NA,NA
64,5,Oleta Adams,Get Here,47,20,NA,NA,NA,NA
65,65,Jesus Jones,"Right Here, Right Now",84,3,NA,NA,NA,NA
66,NA,Another Bad Creation,Playground,NA,NA,NA,NA,NA,NA
67,6, Chris Isaak,Wicked Game,50,22,NA,NA,NA,NA
68,3,Styx,Show Me The Way,46,21,NA,NA,NA,NA
69,1,Whitney Houston,All The Man That I Need,52,19,NA,NA,NA,NA
70,70,Tony Toni Tone,Whatever You Want,77,3,NA,NA,NA,NA
71,34,Ralph Tresvant,Stone Cold Gentleman,40,10,NA,NA,NA,NA
72,72,Steelheart,I'll Never Let You Go,76,7,NA,NA,NA,NA
73,69,Jasmine Guy,Another Like My Lover,69,6,NA,NA,NA,NA
74,73,Daisy Dee,Crazy,73,5,NA,NA,NA,NA
75,75,Lisa Fischer,How Can I Ease The Pain,83,3,NA,NA,NA,NA
76,76,Damn Yankees,Come Again,81,2,NA,NA,NA,NA
77,9,LL Cool J,Around The Way Girl,53,22,NA,NA,NA,NA
78,NA,Ice-T,"New Jack Hustler (Nino's Theme) (From ""New Jack City"")",NA,NA,NA,NA,NA,NA
79,43,Alexander O'Neal,All True Man,43,10,NA,NA,NA,NA
80,80,Aftershock,Going Through The Motions,87,5,NA,NA,NA,NA
81,78,Mike + The Mechanics,Word Of Mouth,78,4,NA,NA,NA,NA
