rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Sinead O'Connor,Nothing Compares 2 U,NA,NA,4,NA,4WEEKS AT NO. 1,9WEEKS ON CHART,NA
2,2,Madonna,Vogue,4,5,NA,NA,NA,NA,madonna-53x53.jpg
3,2,Calloway,I Wanna Be Rich,2,14,NA,NA,NA,NA,calloway-4yt-53x53.jpg
4,4,Heart,All I Wanna Do Is Make Love To You,5,7,NA,NA,NA,NA,heart-2lh-53x53.jpg
5,3,Michael Bolton,How Can We Be Lovers,3,11,NA,NA,NA,NA,michael-bolton-53x53.jpg
6,6,Wilson Phillips,Hold On,12,9,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
7,7,Linear,Sending All My Love,14,13,NA,NA,NA,NA,linear-2w1-53x53.jpg
8,8,Janet Jackson,Alright,10,6,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
9,9, Aerosmith,What It Takes,9,9,NA,NA,NA,NA,aerosmith-7n5-53x53.jpg
10,10,Bell Biv DeVoe,Poison,18,6,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
11,6,Babyface,Whip Appeal,7,12,NA,NA,NA,NA,babyface-qq8-53x53.jpg
12,2,Jane Child ,Don't Wanna Fall In Love,6,14,NA,NA,NA,NA,jane-child-t4k-53x53.jpg
13,13,Rod Stewart With Ronald Isley,This Old Heart Of Mine,16,8,NA,NA,NA,NA,rod-stewart-ao5-53x53.jpg
14,3,Lisa Stansfield,All Around The World,8,15,NA,NA,NA,NA,lisa-stansfield-yvw-53x53.jpg
15,15,Sweet Sensation,Love Child ,15,9,NA,NA,NA,NA,sweet-sensation-e7v-53x53.jpg
16,16,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",22,6,NA,NA,NA,NA,roxette-cd8-53x53.jpg
17,17,Adam Ant,Room At The Top,17,10,NA,NA,NA,NA,adam-ant-cr8-53x53.jpg
18,18,Digital Underground,The Humpty Dance,26,9,NA,NA,NA,NA,digital-underground-xf6-53x53.jpg
19,19,M.C. Hammer ,U Can't Touch This,23,3,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
20,8,Motley Crue,Without You,11,12,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
21,21,Expose,Your Baby Never Looked Good In Blue,25,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
22,13,Seduction,Heartbeat,13,12,NA,NA,NA,NA,seduction-tw8-53x53.jpg
23,23,Perfect Gentlemen,Ooh La La (I Can't Get Over You),30,5,NA,NA,NA,NA,perfect-gentlemen-vqj-53x53.jpg
24,24,After 7,Ready Or Not,32,7,NA,NA,NA,NA,after-7-zay-53x53.jpg
25,1,Tommy Page,I'll Be Your Everything,24,13,NA,NA,NA,NA,tommy-page-t13-53x53.jpg
26,6, Luther Vandross,Here And Now,20,21,NA,NA,NA,NA,luther-vandross-ycy-53x53.jpg
27,27,Salt-N-Pepa,Expression,31,10,NA,NA,NA,NA,salt-n-pepa-33c-53x53.jpg
28,28,Faster Pussycat,House Of Pain,33,12,NA,NA,NA,NA,faster-pussycat-ltc-53x53.jpg
29,1,Alannah Myles,Black Velvet,28,19,NA,NA,NA,NA,alannah-myles-bdi-53x53.jpg
30,30, Partners In Kryme,Turtle Power,44,4,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
31,21,Don Henley,The Heart Of The Matter,21,13,NA,NA,NA,NA,don-henley-53x53.jpg
32,32,En Vogue,Hold On,61,2,NA,NA,NA,NA,en-vogue-ps1-53x53.jpg
33,33,Jude Cole ,"Baby, It's Tonight",36,5,NA,NA,NA,NA,jude-cole-axa-53x53.jpg
34,1,Taylor Dayne,Love Will Lead You Back,27,16,NA,NA,NA,NA,taylor-dayne-j3h-53x53.jpg
35,35,Fleetwood Mac,Save Me,35,6,NA,NA,NA,NA,fleetwood-mac-53x53.jpg
36,36,Phil Collins,Do You Remember?,39,3,NA,NA,NA,NA,phil-collins-53x53.jpg
37,37,Giant,I'll See You In My Dreams,37,8,NA,NA,NA,NA,giant-2ay-53x53.jpg
38,38,Richard Marx ,Children Of The Night,43,3,NA,NA,NA,NA,richard-marx-ct1-53x53.jpg
39,9,A'me Lorain,"Whole Wide World (From ""True Love"")",19,17,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
40,40,Basia,Cruising For Bruising,41,6,NA,NA,NA,NA,basia-q0s-53x53.jpg
41,41,Electronic,Getting Away With It,45,7,NA,NA,NA,NA,electronic-f2h-53x53.jpg
42,9,Biz Markie,Just A Friend,52,17,NA,NA,NA,NA,biz-markie-684-53x53.jpg
43,43,Taylor Dayne,I'll Be Your Shelter,56,2,NA,NA,NA,NA,taylor-dayne-j3h-53x53.jpg
44,24,The U-Krew,If U Were Mine,34,16,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
45,7, Technotronic,Get Up! (Before The Night Is Over),38,16,NA,NA,NA,NA,technotronic-5tm-53x53.jpg
46,46,Whistle,Always And Forever,47,6,NA,NA,NA,NA,whistle-d5v-53x53.jpg
47,47,Depeche Mode,Enjoy The Silence,50,5,NA,NA,NA,NA,depeche-mode-53x53.jpg
48,48,The B-52s,Deadbeat Club,51,4,NA,NA,NA,NA,the-b52s-53x53.jpg
49,NA, Johnny Gill,Rub You The Right Way,NA,NA,NA,NA,NA,NA,johnny-gill-53x53.jpg
50,49,The Cover Girls,All That Glitters Isn't Gold,49,6,NA,NA,NA,NA,the-cover-girls-tsx-53x53.jpg
