rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Mariah Carey,Vision Of Love,NA,NA,3,NA,3WEEKS AT NO. 1,12WEEKS ON CHART,NA
2,2,Janet Jackson,Come Back To Me,6,8,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
3,3,Sweet Sensation,If Wishes Came True,5,10,NA,NA,NA,NA,sweet-sensation-e7v-53x53.jpg
4,2,Snap!,The Power,2,15,NA,NA,NA,NA,snap-71d-53x53.jpg
5,5,Poison,Unskinny Bop,7,7,NA,NA,NA,NA,poison-53x53.jpg
6,6,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",13,5,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
7,7,Bell Biv DeVoe,Do Me!,10,8,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
8,8,M.C. Hammer,Have You Seen Her,12,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
9,2,Billy Idol,"Cradle Of Love (From ""Ford Fairlane"")",4,16,NA,NA,NA,NA,billy-idol-ygh-53x53.jpg
10,8,Go West,"King Of Wishful Thinking (From ""Pretty Woman"")",8,14,NA,NA,NA,NA,go-west-kjg-53x53.jpg
11,11,The Time,Jerk Out,11,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
12,12,Wilson Phillips,Release Me,17,8,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
13,13,Faith No More,Epic,15,9,NA,NA,NA,NA,faith-no-more-53x53.jpg
14,14,Seduction,Could This Be Love,16,11,NA,NA,NA,NA,seduction-tw8-53x53.jpg
15,3,Johnny Gill,Rub You The Right Way,3,15,NA,NA,NA,NA,johnny-gill-53x53.jpg
16,14,Keith Sweat,Make You Sweat,14,12,NA,NA,NA,NA,keith-sweat-53x53.jpg
17,1,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,9,14,NA,NA,NA,NA,glenn-medeiros-jqh-53x53.jpg
18,18,Bruce Hornsby & The Range,Across The River,22,9,NA,NA,NA,NA,bruce-hornsby-vac-53x53.jpg
19,19,New Kids On The Block,Tonight,30,3,NA,NA,NA,NA,new-kids-on-the-block-53x53.jpg
20,20,Luke Featuring The 2 Live Crew,Banned In The U.S.A.,21,5,NA,NA,NA,NA,luke-p9m-53x53.jpg
21,21,Bad English,Possession,23,11,NA,NA,NA,NA,bad-english-knp-53x53.jpg
22,22,Aerosmith,The Other Side,26,9,NA,NA,NA,NA,aerosmith-7n5-53x53.jpg
23,23,Heart,I Didn't Want To Need You,25,9,NA,NA,NA,NA,heart-2lh-53x53.jpg
24,24,Stevie B,Love And Emotion,27,8,NA,NA,NA,NA,stevie-b-ir7-53x53.jpg
