rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Ricky Martin,Livin' La Vida Loca,NA,NA,3,NA,3WEEKS AT NO. 1,6WEEKS ON CHART
2,1,TLC,No Scrubs,2,14,NA,NA,NA,NA
3,2,Sixpence None The Richer,Kiss Me,3,16,NA,NA,NA,NA
4,3,Sugar Ray,Every Morning,4,20,NA,NA,NA,NA
5,5,JT Money Featuring Sole,Who Dat,8,5,NA,NA,NA,NA
6,6,Maxwell,Fortunate,9,7,NA,NA,NA,NA
7,1,Cher,Believe,5,23,NA,NA,NA,NA
8,2,Whitney Houston Feat. Faith Evans & Kelly Price,Heartbreak Hotel,7,22,NA,NA,NA,NA
9,9,702,Where My Girls At?,15,4,NA,NA,NA,NA
10,3,Busta Rhymes Featuring Janet,What's It Gonna Be?!,6,11,NA,NA,NA,NA
11,10,Jordan Knight,Give It To You,10,8,NA,NA,NA,NA
12,8,Goo Goo Dolls,Slide,12,25,NA,NA,NA,NA
13,10,Tim McGraw,Please Remember Me,11,8,NA,NA,NA,NA
14,14,Blaque,808,22,6,NA,NA,NA,NA
15,15,Shania Twain,That Don't Impress Me Much,21,16,NA,NA,NA,NA
16,13,Everlast,What It's Like,13,23,NA,NA,NA,NA
17,15,112 Featuring Lil'z,Anywhere,19,10,NA,NA,NA,NA
18,18,Backstreet Boys,I Want It That Way,23,5,NA,NA,NA,NA
19,12,Tyrese,Sweet Lady,16,18,NA,NA,NA,NA
20,20,Chante Moore ,Chante's Got A Man,85,2,NA,NA,NA,NA
21,12,Lenny Kravitz,Fly Away,14,25,NA,NA,NA,NA
22,20,98 Degrees,The Hardest Thing,20,9,NA,NA,NA,NA
23,13,Silk, If You (Lovin' Me),17,11,NA,NA,NA,NA
24,1,Monica,Angel Of Mine,18,25,NA,NA,NA,NA
25,25,Brandy,Almost Doesn't Count,31,5,NA,NA,NA,NA
26,24, matchbox 20,Back 2 Good,29,22,NA,NA,NA,NA
27,4,Sarah McLachlan,Angel,25,25,NA,NA,NA,NA
28,28,Andy Griggs,You Won't Ever Be Lonely,33,9,NA,NA,NA,NA
29,1,Britney Spears,...Baby One More Time,24,27,NA,NA,NA,NA
30,26,Vengaboys,We Like To Party!,30,15,NA,NA,NA,NA
31,21,Lauryn Hill,Ex-Factor,26,20,NA,NA,NA,NA
32,NA,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,NA,NA,NA,NA,NA,NA
33,5,Eagle-Eye Cherry,Save Tonight,35,25,NA,NA,NA,NA
34,5,Backstreet Boys,All I Have To Give,27,17,NA,NA,NA,NA
35,35,George Strait,Write This Down,45,5,NA,NA,NA,NA
36,36,Fatboy Slim,Praise You,37,11,NA,NA,NA,NA
37,10, Jesse Powell,You,36,14,NA,NA,NA,NA
38,38,Steve Wariner,Two Teardrops,41,8,NA,NA,NA,NA
39,19,Jay-Z Featuring Amil (Of Major Coinz) & Ja,Can I Get A...,38,34,NA,NA,NA,NA
40,40,Collin Raye,Anyone Else,40,11,NA,NA,NA,NA
41,41,Dave Hollister,My Favorite Girl,47,7,NA,NA,NA,NA
42,34,Mark Wills,Wish You Were Here,34,12,NA,NA,NA,NA
43,4,Mariah Carey,I Still Believe,28,16,NA,NA,NA,NA
44,44,Shania Twain,Man! I Feel Like A Woman!,48,6,NA,NA,NA,NA
45,42,Total,Sitting Home,42,7,NA,NA,NA,NA
46,27,Kenny Chesney,How Forever Feels,39,16,NA,NA,NA,NA
47,47,Ty Herndon,Hands Of A Working Man,49,10,NA,NA,NA,NA
48,28,Mya,My First Night With You,44,10,NA,NA,NA,NA
49,49,Sheryl Crow,Anything But Down,51,7,NA,NA,NA,NA
50,50,Whitney Houston,It's Not Right But It's Okay,71,3,NA,NA,NA,NA
51,43,Alan Jackson,Gone Crazy,46,11,NA,NA,NA,NA
52,52, Garbage,Special,56,9,NA,NA,NA,NA
53,18,Silkk The Shocker Featuring Mystikal,It Ain't My Fault 1 & 2,50,12,NA,NA,NA,NA
54,54,Lila McCann,With You,63,8,NA,NA,NA,NA
55,49,Ginuwine,What's So Different,52,14,NA,NA,NA,NA
56,9,B*Witched,C'est La Vie,32,14,NA,NA,NA,NA
57,57,Trina & Tamara,What'd You Come Here For?,57,8,NA,NA,NA,NA
58,9,Faith Evans Featuring Puff Daddy,All Night Long,43,16,NA,NA,NA,NA
59,56,Orgy,Blue Monday,62,13,NA,NA,NA,NA
60,60,Ja Rule,Holla Holla,73,8,NA,NA,NA,NA
61,38,Lee Ann Womack,I'll Think Of A Reason Later,54,13,NA,NA,NA,NA
62,62,Montgomery Gentry,Hillbilly Shoes,64,9,NA,NA,NA,NA
63,63,Martina McBride, Whatever You Say,75,4,NA,NA,NA,NA
64,64,Jennifer Lopez,If You Had My Love,81,2,NA,NA,NA,NA
65,65,Sporty Thievz Featuring Mr. Woods,No Pigeons,80,2,NA,NA,NA,NA
66,60,K-Ci & JoJo,Life,60,10,NA,NA,NA,NA
67,59,Jewel,Down So Long,59,6,NA,NA,NA,NA
68,68,Lit,My Own Worst Enemy,68,5,NA,NA,NA,NA
69,67,'N Sync,I Drive Myself Crazy,67,5,NA,NA,NA,NA
70,44,Sawyer Brown,Drive Me Wild,53,13,NA,NA,NA,NA
71,62,Nas Featuring Puff Daddy,Hate Me Now,65,5,NA,NA,NA,NA
72,12,Shanice,When I Close My Eyes,58,9,NA,NA,NA,NA
73,62,Trick Daddy Featuring Trina, Nann,76,11,NA,NA,NA,NA
74,70,Creed,One,70,13,NA,NA,NA,NA
75,NA,Smash Mouth,All Star,NA,NA,NA,NA,NA,NA
76,76,Dixie Chicks,Tonight The Heartache's On Me,83,2,NA,NA,NA,NA
77,10,Joey McIntyre,Stay The Same,55,13,NA,NA,NA,NA
78,74,The Offspring,Why Don't You Get A Job?,74,7,NA,NA,NA,NA
79,NA,Deborah Cox,It's Over Now,NA,NA,NA,NA,NA,NA
80,29,Divine,One More Try,61,8,NA,NA,NA,NA
81,NA, Britney Spears,Sometimes,NA,NA,NA,NA,NA,NA
82,55,Eric Benet Featuring Faith Evans,Georgy Porgy,72,10,NA,NA,NA,NA
83,39,Chad Brock,Ordinary Life,66,14,NA,NA,NA,NA
84,84,Jay-Z Featuring Big Jaz,Jigga What...,84,3,NA,NA,NA,NA
85,34,Dixie Chicks,You Were Mine,78,18,NA,NA,NA,NA
86,73,Collective Soul,Heavy,79,12,NA,NA,NA,NA
87,65,Sarah McLachlan,I Will Remember You (Live),NA,21,NA,NA,NA,NA
88,75,Dave Matthews Band,Crush,88,15,NA,NA,NA,NA
89,67,Raphael Saadiq & Q-Tip,Get Involved,77,8,NA,NA,NA,NA
90,90,"Missy ""Misdemeanor"" Elliott",She's A Bitch,90,2,NA,NA,NA,NA
91,NA,Cher,Strong Enough,NA,NA,NA,NA,NA,NA
92,NA,Randy Travis,Stranger In My Mirror,NA,NA,NA,NA,NA,NA
93,69,Terri Clark,Everytime I Cry,69,8,NA,NA,NA,NA
94,94,Joe Diffie,A Night To Remember,96,2,NA,NA,NA,NA
95,95,SHeDAISY,Little Good-Byes,95,3,NA,NA,NA,NA
96,86,Sammy Kershaw & Lorrie Morgan,Maybe Not Tonight,86,2,NA,NA,NA,NA
97,97,Chely Wright ,Single White Female,97,2,NA,NA,NA,NA
98,98,T.W.D.Y. Featuring Too Short & Mac Mall,Players Holiday,98,3,NA,NA,NA,NA
99,99,Mulberry Lane,Harmless,99,3,NA,NA,NA,NA
100,47,BLACKstreet With Janet,Girlfriend/Boyfriend,82,11,NA,NA,NA,NA
