rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,BLACKstreet (Featuring Dr. Dre),No Diggity,NA,NA,2,NA,2 WEEKS AT NO. 1,6WEEKS ON CHART
2,2,Celine Dion,It's All Coming Back To Me Now,2,14,NA,NA,NA,NA
3,3,Toni Braxton,Un-Break My Heart,5,4,NA,NA,NA,NA
4,1,Los Del Rio,Macarena (Bayside Boys Mix),4,48,NA,NA,NA,NA
5,2,Donna Lewis,I Love You Always Forever,3,22,NA,NA,NA,NA
6,6,Merril Bainbridge,Mouth,7,11,NA,NA,NA,NA
7,7,Keith Sweat Featuring Athena Cage,Nobody,10,7,NA,NA,NA,NA
8,8,Ginuwine,Pony,11,11,NA,NA,NA,NA
9,5,No Mercy,Where Do You Go,8,20,NA,NA,NA,NA
10,6,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",This Is For The Lover In You,6,4,NA,NA,NA,NA
11,11,Sheryl Crow,If It Makes You Happy,12,9,NA,NA,NA,NA
12,2,Keith Sweat ,Twisted,9,22,NA,NA,NA,NA
13,13,Journey,When You Love A Woman,13,4,NA,NA,NA,NA
14,14,New Edition,I'm Still In Love With You,16,2,NA,NA,NA,NA
15,9,Az Yet,"Last Night (From ""The Nutty Professor"")",14,13,NA,NA,NA,NA
16,5,Eric Clapton,Change The World,15,18,NA,NA,NA,NA
17,17,En Vogue,Don't Let Go (Love),25,2,NA,NA,NA,NA
18,18,Dru Hill,"Tell Me (From ""Eddie"")",22,12,NA,NA,NA,NA
19,3,Quad City DJ's,C'mon N' Ride It (The Train),17,36,NA,NA,NA,NA
20,14,John Mellencamp,Key West Intermezzo (I Saw You First),18,12,NA,NA,NA,NA
21,1,Toni Braxton,You're Makin' Me High/Let It Flow,19,24,NA,NA,NA,NA
22,NA,Madonna,"You Must Love Me (From ""Evita"")",NA,NA,NA,NA,NA,NA
23,11,Aaliyah,If Your Girl Only Knew,20,12,NA,NA,NA,NA
