rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,NA,NA,4,NA,4WEEKS AT NO. 1,4WEEKS ON CHART
2,2,Usher,You Make Me Wanna...,2,11,NA,NA,NA,NA
3,3,LeAnn Rimes,How Do I Live,3,20,NA,NA,NA,NA
4,1,Boyz II Men,4 Seasons Of Loneliness,4,6,NA,NA,NA,NA
5,5,Allure Featuring 112,All Cried Out,5,10,NA,NA,NA,NA
6,6,Somethin' For The People Featuring Trina & Tamara,My Love Is The Shhh!,9,10,NA,NA,NA,NA
7,2,Jewel,Foolish Games/You Were Meant For Me,8,49,NA,NA,NA,NA
8,2,Backstreet Boys,Quit Playing Games (With My Heart),7,19,NA,NA,NA,NA
9,1,Mariah Carey,Honey,6,8,NA,NA,NA,NA
10,10,Chumbawamba,Tubthumping,11,8,NA,NA,NA,NA
11,4,Third Eye Blind,Semi-Charmed Life,10,18,NA,NA,NA,NA
12,12,Aaliyah,The One I Gave My Heart To,14,5,NA,NA,NA,NA
13,13,Sarah McLachlan,Building A Mystery,15,9,NA,NA,NA,NA
14,1,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,12,14,NA,NA,NA,NA
15,4,Spice Girls,2 Become 1,13,12,NA,NA,NA,NA
16,16,Total,What About Us,20,10,NA,NA,NA,NA
17,1,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,16,21,NA,NA,NA,NA
18,11,Sister Hazel,All For You,18,17,NA,NA,NA,NA
19,NA,Paula Cole,I Don't Want To Wait,NA,NA,NA,NA,NA,NA
20,17,Brian McKnight Featuring Mase, You Should Be Mine (Don't Waste Your Time),19,9,NA,NA,NA,NA
21,21,Next,Butta Love,21,9,NA,NA,NA,NA
22,22,Fiona Apple,Criminal,22,5,NA,NA,NA,NA
23,23,Milestone ,I Care 'Bout You,23,10,NA,NA,NA,NA
24,24,Mary J. Blige,Everything,24,6,NA,NA,NA,NA
25,12,98 Degrees,Invisible Man,17,17,NA,NA,NA,NA
26,NA,LSG,My Body,NA,NA,NA,NA,NA,NA
27,27,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",Sock It 2 Me,40,3,NA,NA,NA,NA
28,25,Shania Twain,Love Gets Me Every Time,25,4,NA,NA,NA,NA
29,NA,Mase,Feel So Good,NA,NA,NA,NA,NA,NA
30,25,Master P Featuring Pimp C And The Shocker,I Miss My Homies,27,9,NA,NA,NA,NA
31,31,Bone Thugs-N-Harmony,If I Could Teach The World,31,3,NA,NA,NA,NA
32,7,Shawn Colvin,Sunny Came Home,26,17,NA,NA,NA,NA
33,33,En Vogue,"Too Gone, Too Long",33,4,NA,NA,NA,NA
34,12,Magoo And Timbaland,Up Jumps Da Boogie,28,16,NA,NA,NA,NA
35,7,Robyn ,Do You Know (What It Takes),30,23,NA,NA,NA,NA
36,36,Imani Coppola,Legend Of A Cowgirl,36,8,NA,NA,NA,NA
37,6,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",Not Tonight,29,17,NA,NA,NA,NA
38,16,Duncan Sheik,Barely Breathing,34,49,NA,NA,NA,NA
39,5,The Verve Pipe,The Freshmen,35,37,NA,NA,NA,NA
40,40,H-Town,They Like It Slow,47,4,NA,NA,NA,NA
41,37,Mack 10,Backyard Boogie,37,10,NA,NA,NA,NA
42,7,Dru Hill,Never Make A Promise,32,13,NA,NA,NA,NA
43,2,Mark Morrison,Return Of The Mack,42,36,NA,NA,NA,NA
44,2,Meredith Brooks,Bitch,38,28,NA,NA,NA,NA
45,45,Nu Flavor ,Heaven,48,4,NA,NA,NA,NA
46,21,Mr. President,Coco Jamboo,43,14,NA,NA,NA,NA
47,39,Peach Union,On My Own,39,7,NA,NA,NA,NA
48,35,Refugee Camp All Stars Featuring Pras (With Ky-mani),Avenues,41,7,NA,NA,NA,NA
49,49,Los Umbrellos,No Tengo Dinero,49,10,NA,NA,NA,NA
50,34,LeAnn Rimes,You Light Up My Life,44,8,NA,NA,NA,NA
51,51,K-Ci & JoJo,Last Night's Letter,54,5,NA,NA,NA,NA
52,52,Duran Duran,Electric Barbarella,57,4,NA,NA,NA,NA
53,53,Martina McBride With Jim Brickman,Valentine,61,5,NA,NA,NA,NA
54,46, 4.0,Have A Little Mercy,46,11,NA,NA,NA,NA
55,38,Diana King,I Say A Little Prayer,51,16,NA,NA,NA,NA
56,NA,LL Cool J,Phenomenon,NA,NA,NA,NA,NA,NA
57,31,Rome,Do You Like This,52,14,NA,NA,NA,NA
58,9,R. Kelly,Gotham City,53,16,NA,NA,NA,NA
59,7, Aqua,Barbie Girl,55,9,NA,NA,NA,NA
60,52,Lost Boyz,Me And My Crazy World,56,7,NA,NA,NA,NA
61,61,Gary Barlow,So Help Me Girl,63,3,NA,NA,NA,NA
62,62, Le Click Featuring Kayo,Don't Go,62,6,NA,NA,NA,NA
63,63,3rd Party,Love Is Alive,67,6,NA,NA,NA,NA
64,61,Daft Punk,Around The World,64,10,NA,NA,NA,NA
65,12,Coolio Featuring 40 Thevz,"C U When U Get There (From ""Nothing To Lose"")",58,18,NA,NA,NA,NA
66,NA,Lisa Loeb,I Do,NA,NA,NA,NA,NA,NA
67,51,Sam Salter,"After 12, Before 6",60,11,NA,NA,NA,NA
68,19,SWV (Featuring Puff Daddy),Someone,59,15,NA,NA,NA,NA
69,NA,Davina,So Good,NA,NA,NA,NA,NA,NA
70,70,Trace Adkins,The Rest Of Mine,79,3,NA,NA,NA,NA
71,71,The Kinleys,Please ,71,5,NA,NA,NA,NA
72,NA,Forest For The Trees,Dream,NA,NA,NA,NA,NA,NA
73,28,Mary J. Blige,I Can Love You,66,15,NA,NA,NA,NA
74,65,Jagged Edge Featuring Da Brat & JD,The Way That You Talk,65,7,NA,NA,NA,NA
75,NA,Big Punisher,I'm Not A Player,NA,NA,NA,NA,NA,NA
76,75, Ultra Nate,Free,75,11,NA,NA,NA,NA
77,77,Peter Cetera Featuring Az Yet,You're The Inspiration,77,3,NA,NA,NA,NA
78,78,Jamiroquai,Alright,78,4,NA,NA,NA,NA
79,68,Jon B,Don't Say,70,10,NA,NA,NA,NA
80,53,Foxy Brown Featuring Dru Hill,"Big Bad Mamma (From ""Def Jam's How To Be A Player"")",68,12,NA,NA,NA,NA
81,81,Olive,You're Not Alone,81,2,NA,NA,NA,NA
82,37,Savage Garden,To The Moon And Back,69,15,NA,NA,NA,NA
83,69,Nastyboy Klick Featuring Roger Troutman, Down For Yours,80,13,NA,NA,NA,NA
84,73,Beck,Jack-Ass,86,8,NA,NA,NA,NA
85,85,Lorrie Morgan,Go Away,87,5,NA,NA,NA,NA
86,72,Shaggy (Featuring Marsha),Piece Of My Heart,73,10,NA,NA,NA,NA
87,51,Aerosmith,Hole In My Soul,76,11,NA,NA,NA,NA
88,75,SWV,"Can We (From ""Booty Call"")",91,14,NA,NA,NA,NA
89,4,Bone Thugs-N-Harmony,"Look Into My Eyes (From ""Batman & Robin"")",82,20,NA,NA,NA,NA
90,90, Sneaker Pimps,Spin Spin Sugar,92,4,NA,NA,NA,NA
91,25,"10,000 Maniacs",More Than This,74,17,NA,NA,NA,NA
92,59,Dana,As We Lay,83,10,NA,NA,NA,NA
93,84,Natalie Cole,"A Smile Like Yours (From ""A Smile Like Yours"")",84,4,NA,NA,NA,NA
94,89,Amber,One More Night,89,3,NA,NA,NA,NA
95,35,702,"All I Want (From ""GOOD Burger"")",72,12,NA,NA,NA,NA
96,69,Immature,I'm Not A Fool,85,8,NA,NA,NA,NA
97,34,Rampage Featuring Billy Lawrence,Take It To The Streets ,94,16,NA,NA,NA,NA
98,95,Jay-Z Featuring Babyface And Foxy Brown,Sunshine,95,2,NA,NA,NA,NA
99,97,Sons Of Funk,"Pushin' Inside You (From ""How Bout It"")",97,2,NA,NA,NA,NA
100,98,Wynonna,When Love Starts Talkin',98,2,NA,NA,NA,NA
