rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Ricky Martin,Livin' La Vida Loca,NA,NA,2,NA,2WEEKS AT NO. 1,5WEEKS ON CHART
2,1,TLC,No Scrubs,2,13,NA,NA,NA,NA
3,2,Sixpence None The Richer,Kiss Me,3,15,NA,NA,NA,NA
4,3,Sugar Ray,Every Morning,4,19,NA,NA,NA,NA
5,1,Cher,Believe,5,22,NA,NA,NA,NA
6,3,Busta Rhymes Featuring Janet,What's It Gonna Be?!,6,10,NA,NA,NA,NA
7,2,Whitney Houston Feat. Faith Evans & Kelly Price ,Heartbreak Hotel,7,21,NA,NA,NA,NA
8,8,JT Money Featuring Sole,Who Dat,10,4,NA,NA,NA,NA
9,9,Maxwell,Fortunate,38,6,NA,NA,NA,NA
10,10,Jordan Knight,Give It To You,13,7,NA,NA,NA,NA
11,10,Tim McGraw,Please Remember Me,11,7,NA,NA,NA,NA
12,8,Goo Goo Dolls,Slide,8,24,NA,NA,NA,NA
13,13,Everlast,What It's Like,14,22,NA,NA,NA,NA
14,12,Lenny Kravitz,Fly Away,12,24,NA,NA,NA,NA
15,15,702,Where My Girls At?,69,3,NA,NA,NA,NA
16,12,Tyrese,Sweet Lady,16,17,NA,NA,NA,NA
17,13,Silk,If You (Lovin' Me),17,10,NA,NA,NA,NA
18,1,Monica,Angel Of Mine,9,24,NA,NA,NA,NA
19,15, 112 Featuring Lil'z,Anywhere,15,9,NA,NA,NA,NA
20,20,98 Degrees, The Hardest Thing,20,8,NA,NA,NA,NA
21,21,Shania Twain,That Don't Impress Me Much,25,15,NA,NA,NA,NA
22,22,Blaque,808,35,5,NA,NA,NA,NA
23,23,Backstreet Boys,I Want It That Way,23,4,NA,NA,NA,NA
24,1,Britney Spears,...Baby One More Time,18,26,NA,NA,NA,NA
25,4,Sarah McLachlan,Angel,19,24,NA,NA,NA,NA
26,21,Lauryn Hill,Ex-Factor,30,19,NA,NA,NA,NA
27,5,Backstreet Boys,All I Have To Give,22,16,NA,NA,NA,NA
28,4,Mariah Carey,I Still Believe,21,15,NA,NA,NA,NA
29,24,matchbox 20,Back 2 Good,26,21,NA,NA,NA,NA
30,26,Vengaboys,We Like To Party!,27,14,NA,NA,NA,NA
31,31,Brandy,Almost Doesn't Count,36,4,NA,NA,NA,NA
32,9,B*Witched,C'est La Vie,24,13,NA,NA,NA,NA
33,33,Andy Griggs,You Won't Ever Be Lonely,37,8,NA,NA,NA,NA
34,34,Mark Wills,Wish You Were Here,34,11,NA,NA,NA,NA
35,5,Eagle-Eye Cherry,Save Tonight,29,24,NA,NA,NA,NA
36,10,Jesse Powell,You,31,13,NA,NA,NA,NA
37,37,Fatboy Slim,Praise You,41,10,NA,NA,NA,NA
38,19,Jay-Z Featuring Amil (Of Major Coinz) & Ja,Can I Get A...,39,33,NA,NA,NA,NA
39,27,Kenny Chesney,How Forever Feels,32,15,NA,NA,NA,NA
40,40,Collin Raye,Anyone Else,53,10,NA,NA,NA,NA
41,41,Steve Wariner ,Two Teardrops,50,7,NA,NA,NA,NA
42,42,Total,Sitting Home,42,6,NA,NA,NA,NA
43,9,Faith Evans Featuring Puff Daddy,All Night Long,28,15,NA,NA,NA,NA
44,28,Mya ,My First Night With You,46,9,NA,NA,NA,NA
45,45,George Strait,Write This Down,55,4,NA,NA,NA,NA
46,43,Alan Jackson,Gone Crazy,43,10,NA,NA,NA,NA
47,47,Dave Hollister,My Favorite Girl,58,6,NA,NA,NA,NA
48,48,Shania Twain,Man! I Feel Like A Woman!,54,5,NA,NA,NA,NA
