rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Whitney Houston,All The Man That I Need,NA,NA,NA,2,2LAST WEEK ,10WEEKS ON CHART
2,1,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),1,15,NA,NA,NA,NA
3,3,Timmy T.,One More Try,3,10,NA,NA,NA,NA
4,4, Mariah Carey,Someday,5,6,NA,NA,NA,NA
5,5,Celine Dion,Where Does My Heart Beat Now,6,12,NA,NA,NA,NA
6,1,Surface,The First Time,4,17,NA,NA,NA,NA
7,7,Chris Isaak,Wicked Game,11,13,NA,NA,NA,NA
8,7,Keith Sweat,I'll Give All My Love To You,7,13,NA,NA,NA,NA
9,8,INXS,Disappear,8,14,NA,NA,NA,NA
10,10,Warrant ,I Saw Red,12,13,NA,NA,NA,NA
11,11,Styx,Show Me The Way,17,12,NA,NA,NA,NA
12,12,LL Cool J,Around The Way Girl,15,13,NA,NA,NA,NA
13,13,Sting,All This Time ,18,6,NA,NA,NA,NA
14,13,Pebbles,Love Makes Things Happen,13,13,NA,NA,NA,NA
15,15,Tracie Spencer,This House,22,10,NA,NA,NA,NA
16,16,Oleta Adams,Get Here,25,11,NA,NA,NA,NA
17,17,Gloria Estefan,Coming Out Of The Dark,26,5,NA,NA,NA,NA
18,4,Vanilla Ice ,Play That Funky Music,9,12,NA,NA,NA,NA
19,19,Bad Company,If You Needed Somebody,21,16,NA,NA,NA,NA
20,1,Janet Jackson,Love Will Never Do (Without You),10,15,NA,NA,NA,NA
21,21,Another Bad Creation,Iesha,27,7,NA,NA,NA,NA
22,22,Alias,Waiting For Love,30,6,NA,NA,NA,NA
23,23,Urban Dance Squad,Deeper Shade Of Soul,28,11,NA,NA,NA,NA
24,24,Tesla,Signs,31,8,NA,NA,NA,NA
25,25,Tara Kemp,Hold You Tight,32,6,NA,NA,NA,NA
26,4,Ralph Tresvant,Sensitivity,14,17,NA,NA,NA,NA
27,27,Tevin Campbell,Round And Round,33,12,NA,NA,NA,NA
28,6,Nelson,After The Rain,16,17,NA,NA,NA,NA
29,3,Damn Yankees,High Enough,20,23,NA,NA,NA,NA
30,23,AC/DC,Moneytalks,23,12,NA,NA,NA,NA
31,31,George Michael,Waiting For That Day,35,6,NA,NA,NA,NA
32,32, Londonbeat,I've Been Thinking About You,38,3,NA,NA,NA,NA
33,19,After 7,Heat Of The Moment,19,26,NA,NA,NA,NA
34,34,Father M.C.,I'll Do 4 U,36,7,NA,NA,NA,NA
35,34,Tony Toni Tone, It Never Rains (In Southern California),34,10,NA,NA,NA,NA
36,36,Wilson Phillips,You're In Love,44,3,NA,NA,NA,NA
37,37,Stevie B,I'll Be By Your Side,45,4,NA,NA,NA,NA
38,9,Cathy Dennis,Just Another Dream,24,18,NA,NA,NA,NA
39,7,Will To Power,I'm Not In Love,29,15,NA,NA,NA,NA
40,2,Bette Midler,From A Distance,37,21,NA,NA,NA,NA
41,41,Gerardo ,Rico Suave,59,4,NA,NA,NA,NA
42,42,Guys Next Door,I've Been Waiting For You,46,8,NA,NA,NA,NA
43,43,Enigma,Sadeness Part 1,65,3,NA,NA,NA,NA
44,41,Daryl Hall John Oates,Don't Hold Back Your Love,41,8,NA,NA,NA,NA
45,45,Susanna Hoffs,My Side Of The Bed,52,4,NA,NA,NA,NA
46,46,Michel'le,Something In My Heart,50,7,NA,NA,NA,NA
47,47,Chicago,Chasin' The Wind,51,5,NA,NA,NA,NA
48,48,George Michael,Mother's Pride,53,4,NA,NA,NA,NA
49,49, Robert Palmer,Mercy Mercy Me (The Ecology)/I Want You,77,2,NA,NA,NA,NA
50,39,Slaughter,Spend My Life,39,10,NA,NA,NA,NA
51,47,Deee-Lite,Power Of Love,47,8,NA,NA,NA,NA
52,52,Poison,Ride The Wind ,61,4,NA,NA,NA,NA
53,53,The Rembrandts,"Just The Way It Is, Baby",68,3,NA,NA,NA,NA
54,54,Donny Osmond,Sure Lookin',57,6,NA,NA,NA,NA
55,46,2nu, This Is Ponderous,48,10,NA,NA,NA,NA
56,23,Black Box,I Don't Know Anybody Else,42,12,NA,NA,NA,NA
57,57,Lisette Melendez,Together Forever,69,4,NA,NA,NA,NA
58,58, Winger,Easy Come Easy Go,75,3,NA,NA,NA,NA
59,59,Rick Astley,Cry For Help,86,2,NA,NA,NA,NA
60,12,Winger,Miles Away,54,20,NA,NA,NA,NA
61,54, M.C. Hammer,Here Comes The Hammer,60,8,NA,NA,NA,NA
62,62,Bette Midler,Night And Day,67,5,NA,NA,NA,NA
63,63,Bingo Boys Featuring Princessa,How To Dance,85,2,NA,NA,NA,NA
64,28,Iggy Pop With Kate Pierson,Candy,43,14,NA,NA,NA,NA
65,1,Stevie B,Because I Love You (The Postman Song),49,21,NA,NA,NA,NA
66,66,The Cover Girls,Funk Boutique,83,3,NA,NA,NA,NA
67,67,Heart,Secret,74,4,NA,NA,NA,NA
68,1,Madonna,Justify My Love,40,15,NA,NA,NA,NA
69,1,Mariah Carey,Love Takes Time,58,24,NA,NA,NA,NA
70,33,Cher ,The Shoop Shoop Song (It's In His Kiss),64,14,NA,NA,NA,NA
71,49,George LaMond (Duet With Brenda K. Starr),No Matter What,62,13,NA,NA,NA,NA
72,6,UB40,The Way You Do The Things You Do,55,24,NA,NA,NA,NA
73,63,Bell Biv DeVoe,When Will I See You Smile Again?,63,6,NA,NA,NA,NA
74,19,The Righteous Brothers,Unchained Melody,82,21,NA,NA,NA,NA
75,NA,Amy Grant,Baby Baby,NA,NA,NA,NA,NA,NA
76,36,Cinderella,Shelter Me,56,12,NA,NA,NA,NA
77,72,House Of Lords,Remember My Name,72,8,NA,NA,NA,NA
78,21,The Outfield, For You,70,17,NA,NA,NA,NA
79,79,ZZ Top,Give It Up,88,3,NA,NA,NA,NA
80,80,Shawn Christopher,Another Sleepless Night,93,2,NA,NA,NA,NA
81,NA,Guy,Let's Chill,NA,NA,NA,NA,NA,NA
82,73,Phil Collins,Who Said I Would,73,4,NA,NA,NA,NA
83,NA,The Escape Club,Call It Poison,NA,NA,NA,NA,NA,NA
84,84,Harriet,Temple Of Love,96,2,NA,NA,NA,NA
85,NA,Ralph Tresvant,Stone Cold Gentleman,NA,NA,NA,NA,NA,NA
86,15,2 In A Room,Wiggle It,78,21,NA,NA,NA,NA
87,48,Don Henley,New York Minute,80,16,NA,NA,NA,NA
88,4,Wilson Phillips,Impulsive,66,20,NA,NA,NA,NA
89,NA,Alexander O'Neal,All True Man,NA,NA,NA,NA,NA,NA
90,NA,Hi-Five,I Like The Way (The Kissing Game),NA,NA,NA,NA,NA,NA
91,90,Jellybean Featuring Niki Haris,What's It Gonna Be,90,3,NA,NA,NA,NA
92,1,Whitney Houston,I'm Your Baby Tonight,79,19,NA,NA,NA,NA
93,93,Pet Shop Boys,How Can You Expect To Be Taken Seriously?,99,2,NA,NA,NA,NA
94,NA,Vanilla Ice,I Love You,NA,NA,NA,NA,NA,NA
95,4,Poison,Something To Believe In,81,21,NA,NA,NA,NA
96,69,Candyman,Melt In Your Mouth,71,11,NA,NA,NA,NA
