rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Mariah Carey,Vision Of Love,NA,NA,2,NA,2WEEKS AT NO. 1,11WEEKS ON CHART,NA
2,2,Snap!,The Power,4,14,NA,NA,NA,NA,snap-71d-53x53.jpg
3,3,Johnny Gill,Rub You The Right Way,3,14,NA,NA,NA,NA,johnny-gill-53x53.jpg
4,2,Billy Idol,"Cradle Of Love (From ""Ford Fairlane"")",2,15,NA,NA,NA,NA,billy-idol-ygh-53x53.jpg
5,5,Sweet Sensation, If Wishes Came True,8,9,NA,NA,NA,NA,sweet-sensation-e7v-53x53.jpg
6,6,Janet Jackson,Come Back To Me,11,7,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
7,7,Poison,Unskinny Bop,10,6,NA,NA,NA,NA,poison-53x53.jpg
8,8,Go West,"King Of Wishful Thinking (From ""Pretty Woman"")",12,13,NA,NA,NA,NA,go-west-kjg-53x53.jpg
9,1,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,5,13,NA,NA,NA,NA,glenn-medeiros-jqh-53x53.jpg
10,10,Bell Biv DeVoe,Do Me!,15,7,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
11,11,The Time,Jerk Out,16,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
12,12,M.C. Hammer,Have You Seen Her,19,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
13,13,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",22,4,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
14,14,Keith Sweat,Make You Sweat,14,11,NA,NA,NA,NA,keith-sweat-53x53.jpg
15,15,Faith No More,Epic,17,8,NA,NA,NA,NA,faith-no-more-53x53.jpg
16,16,Seduction,Could This Be Love,18,10,NA,NA,NA,NA,seduction-tw8-53x53.jpg
17,17,Wilson Phillips,Release Me,23,7,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
18,6,Tyler Collins,Girls Nite Out,6,16,NA,NA,NA,NA,tyler-collins-eo1-53x53.jpg
19,2,En Vogue,Hold On,9,15,NA,NA,NA,NA,en-vogue-ps1-53x53.jpg
20,7,Michael Bolton,When I'm Back On My Feet Again,7,12,NA,NA,NA,NA,michael-bolton-53x53.jpg
21,21,Luke Featuring The 2 Live Crew,Banned In The U.S.A.,27,4,NA,NA,NA,NA,luke-p9m-53x53.jpg
22,22,Bruce Hornsby & The Range,Across The River,29,8,NA,NA,NA,NA,bruce-hornsby-vac-53x53.jpg
23,23,Bad English,Possession,28,10,NA,NA,NA,NA,bad-english-knp-53x53.jpg
24,10,Madonna,Hanky Panky,13,7,NA,NA,NA,NA,madonna-53x53.jpg
25,25,Heart,I Didn't Want To Need You,32,8,NA,NA,NA,NA,heart-2lh-53x53.jpg
26,26,Aerosmith,The Other Side,34,8,NA,NA,NA,NA,aerosmith-7n5-53x53.jpg
27,27,Stevie B,Love And Emotion,35,7,NA,NA,NA,NA,stevie-b-ir7-53x53.jpg
