rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,UB40,"Can't Help Falling In Love (From ""Sliver"")",NA,NA,2,NA,2WEEKS AT NO. 1,12WEEKS ON CHART
2,2,Tag Team,Whoomp! (There It Is),3,10,NA,NA,NA,NA
3,1,SWV,Weak,2,15,NA,NA,NA,NA
4,4,The Proclaimers,I'm Gonna Be (500 Miles),9,8,NA,NA,NA,NA
5,5,Onyx,Slam,7,10,NA,NA,NA,NA
6,1,Janet Jackson,That's The Way Love Goes,4,14,NA,NA,NA,NA
7,7,Jodeci,Lately,11,8,NA,NA,NA,NA
8,5,Robin S.,Show Me Love,6,18,NA,NA,NA,NA
9,3,H-Town,Knockin' Da Boots,5,17,NA,NA,NA,NA
10,8,Expose,I'll Never Get Over You (Getting Over Me) ,8,19,NA,NA,NA,NA
11,11,Tony Toni Tone,If I Had No Loot,16,8,NA,NA,NA,NA
12,12,Tina Turner,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",15,10,NA,NA,NA,NA
13,5,Rod Stewart,Have I Told You Lately,10,15,NA,NA,NA,NA
14,14,95 South,"Whoot, There It Is",14,14,NA,NA,NA,NA
15,12,Duice,Dazzey Duks ,12,30,NA,NA,NA,NA
16,8,Dr. Dre,Dre Day,13,12,NA,NA,NA,NA
17,16,4 Non Blondes,What's Up,18,15,NA,NA,NA,NA
18,18,Soul Asylum,Runaway Train,19,8,NA,NA,NA,NA
19,7,Duran Duran,Come Undone,17,16,NA,NA,NA,NA
20,20,Janet Jackson,If,57,2,NA,NA,NA,NA
21,21,Shai ,Baby I'm Yours,24,9,NA,NA,NA,NA
22,22,Brian McKnight,One Last Cry,26,8,NA,NA,NA,NA
23,23,Sting,Fields Of Gold,23,9,NA,NA,NA,NA
24,20,Taylor Dayne,Can't Get Enough Of Your Love,20,9,NA,NA,NA,NA
25,22,Jade,One Woman,22,9,NA,NA,NA,NA
26,17,Captain Hollywood Project,More And More,21,14,NA,NA,NA,NA
27,27,Jon Secada, I'm Free,30,6,NA,NA,NA,NA
