rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Los Del Rio,Macarena (Bayside Boys Mix),NA,NA,6,NA,6WEEKS AT NO. 1,38WEEKS ON CHART
2,2,Donna Lewis,I Love You Always Forever,2,12,NA,NA,NA,NA
3,2,Keith Sweat,Twisted,4,12,NA,NA,NA,NA
4,3,LL Cool J,Loungin,5,10,NA,NA,NA,NA
5,3,Quad City DJ's,C'mon N' Ride It (The Train),6,26,NA,NA,NA,NA
6,5,Eric Clapton,Change The World,7,8,NA,NA,NA,NA
7,3,New Edition, Hit Me Off,3,2,NA,NA,NA,NA
8,1,Toni Braxton,You're Makin' Me High/Let It Flow,8,14,NA,NA,NA,NA
9,5,R. Kelly,I Can't Sleep Baby (If I),9,9,NA,NA,NA,NA
10,6,Alanis Morissette,You Learn/You Oughta Know,11,7,NA,NA,NA,NA
11,3,Tracy Chapman,Give Me One Reason,10,23,NA,NA,NA,NA
12,12,Celine Dion,It's All Coming Back To Me Now,14,4,NA,NA,NA,NA
13,11,Jewel,Who Will Save Your Soul,13,15,NA,NA,NA,NA
14,1,2Pac Featuring K-Ci And JoJo,How Do U Want It/California Love,12,13,NA,NA,NA,NA
15,15,112 Featuring The Notorious B.I.G.,Only You,16,15,NA,NA,NA,NA
16,16,No Mercy,Where Do You Go ,17,10,NA,NA,NA,NA
17,12,OutKast,Elevators (Me & You),15,7,NA,NA,NA,NA
18,15,Dishwalla,Counting Blue Cars,18,23,NA,NA,NA,NA
19,12,Jann Arden,"Insensitive (From ""Bed Of Roses"")",19,31,NA,NA,NA,NA
20,20,Aaliyah ,If Your Girl Only Knew,34,2,NA,NA,NA,NA
21,20,Maxi Priest Featuring Shaggy,That Girl,20,11,NA,NA,NA,NA
22,9,Monica,Why I Love You So Much/Ain't Nobody,21,14,NA,NA,NA,NA
23,23, Natalie Merchant,Jealousy,23,13,NA,NA,NA,NA
24,24,SWV,Use Your Heart,25,4,NA,NA,NA,NA
25,1,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",27,27,NA,NA,NA,NA
26,1,Mariah Carey,Always Be My Baby,24,23,NA,NA,NA,NA
27,27,Garbage,Stupid Girl,29,7,NA,NA,NA,NA
28,13,La Bouche,Sweet Dreams,30,24,NA,NA,NA,NA
29,26,Whitney Houston,"Why Does It Hurt So Bad (From ""Waiting To Exhale"") ",26,6,NA,NA,NA,NA
30,12,Total,Kissin' You,22,19,NA,NA,NA,NA
31,31,Az Yet,"Last Night (From ""The Nutty Professor"")",44,3,NA,NA,NA,NA
