rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,NA,NA,11,NA,11WEEKS AT NO. 1,11WEEKS ON CHART
2,2,LeAnn Rimes,How Do I Live,2,27,NA,NA,NA,NA
3,2,Usher,You Make Me Wanna...,3,18,NA,NA,NA,NA
4,4,LSG,My Body,4,8,NA,NA,NA,NA
5,5,Mase,Feel So Good,5,8,NA,NA,NA,NA
6,4,Somethin' For The People Featuring Trina & Tamara,My Love Is The Shhh!,6,17,NA,NA,NA,NA
7,6,Chumbawamba,Tubthumping,8,15,NA,NA,NA,NA
8,8,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),Been Around The World,10,3,NA,NA,NA,NA
9,NA,Janet,Together Again,NA,NA,NA,NA,NA,NA
10,7,Robyn,Show Me Love,7,6,NA,NA,NA,NA
11,9,Hanson,I Will Come To You,9,4,NA,NA,NA,NA
12,12,Savage Garden,Truly Madly Deeply,17,3,NA,NA,NA,NA
13,13,Boyz II Men,A Song For Mama,27,2,NA,NA,NA,NA
14,12,Paula Cole,I Don't Want To Wait,12,8,NA,NA,NA,NA
15,4,Allure Featuring 112,All Cried Out,11,17,NA,NA,NA,NA
16,16,Next,Butta Love,16,16,NA,NA,NA,NA
17,9,Aaliyah,The One I Gave My Heart To,13,12,NA,NA,NA,NA
18,2,Jewel,Foolish Games/You Were Meant For Me,14,56,NA,NA,NA,NA
19,1,Boyz II Men,4 Seasons Of Loneliness,15,13,NA,NA,NA,NA
20,18,Spice Girls,Spice Up Your Life,19,7,NA,NA,NA,NA
21,12,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",Sock It 2 Me,18,10,NA,NA,NA,NA
22,22,Dru Hill,We're Not Making Love No More ,30,2,NA,NA,NA,NA
23,23,Lisa Loeb,I Do,23,8,NA,NA,NA,NA
24,24,Uncle Sam,I Don't Ever Want To See You Again,28,7,NA,NA,NA,NA
25,4,Third Eye Blind,Semi-Charmed Life,22,25,NA,NA,NA,NA
26,2,Backstreet Boys,Quit Playing Games (With My Heart),20,26,NA,NA,NA,NA
27,16,Total,What About Us,21,17,NA,NA,NA,NA
28,21,Fiona Apple,Criminal,24,12,NA,NA,NA,NA
29,11,Sister Hazel,All For You,25,24,NA,NA,NA,NA
30,1,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,26,21,NA,NA,NA,NA
31,31,Third Eye Blind,How's It Going To Be,31,3,NA,NA,NA,NA
32,32, She Moves,Breaking All The Rules,32,7,NA,NA,NA,NA
33,13,Sarah McLachlan,Building A Mystery,29,16,NA,NA,NA,NA
34,27,Bone Thugs-N-Harmony,If I Could Teach The World,33,10,NA,NA,NA,NA
35,35,Aqua,Lollipop (Candyman),48,2,NA,NA,NA,NA
36,36,Nu Flavor,Heaven,36,11,NA,NA,NA,NA
37,1,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,35,28,NA,NA,NA,NA
38,35,H-Town,They Like It Slow,41,11,NA,NA,NA,NA
39,1,Mariah Carey,Honey,34,15,NA,NA,NA,NA
40,40,Destiny's Child,"No, No, No",52,4,NA,NA,NA,NA
41,23,Milestone,I Care 'Bout You,37,17,NA,NA,NA,NA
42,12,98 Degrees,Invisible Man,38,24,NA,NA,NA,NA
43,43,Los Umbrellos,No Tengo Dinero,43,17,NA,NA,NA,NA
44,44,The Notorious B.I.G.,Going Back To Cali,53,3,NA,NA,NA,NA
