rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Stevie B,Because I Love You (The Postman Song),NA,NA,4,NA,4WEEKS AT NO. 1,13WEEKS ON CHART,NA
2,2,Madonna,Justify My Love,2,7,NA,NA,NA,NA,madonna-53x53.jpg
3,2,Bette Midler,From A Distance,3,13,NA,NA,NA,NA,bette-midler-2ui-53x53.jpg
4,4,Wilson Phillips,Impulsive,4,12,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
5,5,DNA Featuring Suzanne Vega,Tom's Diner,5,13,NA,NA,NA,NA,dna-as0-53x53.jpg
6,6,Damn Yankees,High Enough,6,15,NA,NA,NA,NA,damn-yankees-yz7-53x53.jpg
7,1,Whitney Houston,I'm Your Baby Tonight,7,11,NA,NA,NA,NA,whitney-houston-k4w-53x53.jpg
8,8, George Michael,Freedom,8,10,NA,NA,NA,NA,george-michael-53x53.jpg
9,6,UB40,The Way You Do The Things You Do,9,16,NA,NA,NA,NA,ub40-53x53.jpg
10,10,Ralph Tresvant,Sensitivity,10,9,NA,NA,NA,NA,ralph-tresvant-yiu-53x53.jpg
11,11,Janet Jackson,Love Will Never Do (Without You),11,7,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
12,12,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",12,10,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
13,4,Poison,Something To Believe In,13,13,NA,NA,NA,NA,poison-53x53.jpg
14,1,Mariah Carey,Love Takes Time,14,16,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
15,4,Deee-Lite,Groove Is In The Heart,15,16,NA,NA,NA,NA,deee-lite-fnz-53x53.jpg
16,16,Surface,The First Time,16,9,NA,NA,NA,NA,surface-j2e-53x53.jpg
17,17,Winger ,Miles Away,17,12,NA,NA,NA,NA,winger-w6j-53x53.jpg
18,18,Steve Winwood, One And Only Man,18,9,NA,NA,NA,NA,steve-winwood-d4d-53x53.jpg
19,15,2 In A Room,Wiggle It,19,13,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
20,20,Nelson,After The Rain,20,9,NA,NA,NA,NA,nelson-53x53.jpg
21,21,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),21,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
