rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Wilson Phillips,Hold On,NA,NA,NA,3,3LAST WEEK,13WEEKS ON CHART,NA
2,1,Madonna,Vogue,1,9,NA,NA,NA,NA,madonna-53x53.jpg
3,3,Bell Biv DeVoe,Poison,5,10,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
4,2,Heart,All I Wanna Do Is Make Love To You,2,11,NA,NA,NA,NA,heart-2lh-53x53.jpg
5,5,Roxette," It Must Have Been Love (From ""Pretty Woman"")",6,10,NA,NA,NA,NA,roxette-cd8-53x53.jpg
6,4,Janet Jackson,Alright,4,10,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
7,5,Linear,Sending All My Love,8,17,NA,NA,NA,NA,linear-2w1-53x53.jpg
8,8,New Kids On The Block,Step By Step,16,3,NA,NA,NA,NA,new-kids-on-the-block-53x53.jpg
9,9,M.C. Hammer ,U Can't Touch This,9,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
10,1,Sinead O'Connor,Nothing Compares 2 U,7,13,NA,NA,NA,NA,sinead-oconnor-kzg-53x53.jpg
11,11,After 7,Ready Or Not,12,11,NA,NA,NA,NA,after-7-zay-53x53.jpg
12,11,Digital Underground,The Humpty Dance,11,13,NA,NA,NA,NA,digital-underground-xf6-53x53.jpg
13,10,Perfect Gentlemen,Ooh La La (I Can't Get Over You),10,9,NA,NA,NA,NA,perfect-gentlemen-vqj-53x53.jpg
14,14,En Vogue,Hold On,14,6,NA,NA,NA,NA,en-vogue-ps1-53x53.jpg
15,15,Phil Collins ,Do You Remember?,15,7,NA,NA,NA,NA,phil-collins-53x53.jpg
16,13,Partners In Kryme,Turtle Power,13,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
17,17,Taylor Dayne,I'll Be Your Shelter,21,6,NA,NA,NA,NA,taylor-dayne-j3h-53x53.jpg
18,18,Richard Marx,Children Of The Night,22,7,NA,NA,NA,NA,richard-marx-ct1-53x53.jpg
19,19, Jude Cole,"Baby, It's Tonight",20,9,NA,NA,NA,NA,jude-cole-axa-53x53.jpg
20,20,Giant,I'll See You In My Dreams,23,12,NA,NA,NA,NA,giant-2ay-53x53.jpg
21,21,Johnny Gill,Rub You The Right Way,24,5,NA,NA,NA,NA,johnny-gill-53x53.jpg
22,22,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,26,4,NA,NA,NA,NA,glenn-medeiros-jqh-53x53.jpg
23,23,Depeche Mode,Enjoy The Silence,27,9,NA,NA,NA,NA,depeche-mode-53x53.jpg
24,24,Billy Idol,"Cradle Of Love (From ""Ford Fairlane"")",31,6,NA,NA,NA,NA,billy-idol-ygh-53x53.jpg
25,2,Calloway,I Wanna Be Rich,19,18,NA,NA,NA,NA,calloway-4yt-53x53.jpg
26,17,Expose, Your Baby Never Looked Good In Blue,17,11,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
27,27,Louie Louie,Sittin' In The Lap Of Luxury,28,7,NA,NA,NA,NA,louie-louie-a0d-53x53.jpg
28,28,Snap!,The Power,40,5,NA,NA,NA,NA,snap-71d-53x53.jpg
29,29,Tyler Collins,Girls Nite Out,39,7,NA,NA,NA,NA,tyler-collins-eo1-53x53.jpg
30,30,Michel'le,Nicety,36,9,NA,NA,NA,NA,michelle-53x53.jpg
31,31,Slaughter,Up All Night,35,7,NA,NA,NA,NA,slaughter-53x53.jpg
32,10,Rod Stewart With Ronald Isley,This Old Heart Of Mine,18,12,NA,NA,NA,NA,rod-stewart-ao5-53x53.jpg
33,30, The B-52s,Deadbeat Club,30,8,NA,NA,NA,NA,the-b52s-53x53.jpg
34,34,Nikki,Notice Me,42,7,NA,NA,NA,NA,nikki-49e-53x53.jpg
35,35,Whistle,Always And Forever,38,10,NA,NA,NA,NA,whistle-d5v-53x53.jpg
36,36,Brent Bourgeois,Dare To Fall In Love,44,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
37,37, Michael Bolton,When I'm Back On My Feet Again,50,3,NA,NA,NA,NA,michael-bolton-53x53.jpg
38,26,Salt-N-Pepa,Expression,34,14,NA,NA,NA,NA,salt-n-pepa-33c-53x53.jpg
39,39,Elton John,Club At The End Of The Street,45,7,NA,NA,NA,NA,elton-john-qls-53x53.jpg
40,40,Mellow Man Ace,Mentirosa,49,5,NA,NA,NA,NA,mellow-man-ace-p6r-53x53.jpg
41,28,Faster Pussycat ,House Of Pain,41,16,NA,NA,NA,NA,faster-pussycat-ltc-53x53.jpg
42,29,Basia,Cruising For Bruising,29,10,NA,NA,NA,NA,basia-q0s-53x53.jpg
43,9,Aerosmith,What It Takes,32,13,NA,NA,NA,NA,aerosmith-7n5-53x53.jpg
44,44,Alannah Myles ,Love Is,51,6,NA,NA,NA,NA,alannah-myles-bdi-53x53.jpg
45,13,Sweet Sensation,Love Child,25,13,NA,NA,NA,NA,sweet-sensation-e7v-53x53.jpg
46,46,L.A. Guns,The Ballad Of Jayne,52,10,NA,NA,NA,NA,la-guns-3yt-53x53.jpg
47,2,Jane Child,Don't Wanna Fall In Love,37,18,NA,NA,NA,NA,jane-child-t4k-53x53.jpg
48,3, Michael Bolton,How Can We Be Lovers,33,15,NA,NA,NA,NA,michael-bolton-53x53.jpg
49,49,Tommy Page,When I Dream Of You,54,5,NA,NA,NA,NA,tommy-page-t13-53x53.jpg
50,50,Lisa Stansfield,You Can't Deny It,59,3,NA,NA,NA,NA,lisa-stansfield-yvw-53x53.jpg
51,51, Mariah Carey,Vision Of Love,73,2,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
52,52,George LaMond,Bad Of The Heart,55,5,NA,NA,NA,NA,george-lamond-wkd-53x53.jpg
