rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Britney Spears,...Baby One More Time,NA,NA,2,NA,2 WEEKS AT NO. 1,12WEEKS ON CHART
2,2,Monica,Angel Of Mine,6,10,NA,NA,NA,NA
3,1,Brandy,Have You Ever?,2,10,NA,NA,NA,NA
4,2,Deborah Cox,Nobody's Supposed To Be Here,3,19,NA,NA,NA,NA
5,5,Backstreet Boys,All I Have To Give,57,2,NA,NA,NA,NA
6,1,R. Kelly & Celine Dion,I'm Your Angel,4,10,NA,NA,NA,NA
7,5,Third Eye Blind ,Jumper,5,10,NA,NA,NA,NA
8,8,Sarah McLachlan,Angel,11,10,NA,NA,NA,NA
9,5,Eagle-Eye Cherry,Save Tonight,7,10,NA,NA,NA,NA
10,6,Jewel,Hands,8,10,NA,NA,NA,NA
11,9,Goo Goo Dolls,Slide,9,10,NA,NA,NA,NA
12,7,Shawn Mullins,Lullaby,10,10,NA,NA,NA,NA
13,13,Cher,Believe,18,8,NA,NA,NA,NA
14,14,Gerald Levert,Taking Everything,27,2,NA,NA,NA,NA
15,15,Whitney Houston & Mariah Carey,When You Believe,15,10,NA,NA,NA,NA
16,7,Total Featuring Missy Elliott,Trippin',14,14,NA,NA,NA,NA
17,17, Will Smith,Miami,19,10,NA,NA,NA,NA
18,1,Divine,Lately,13,22,NA,NA,NA,NA
19,14,BLACKstreet & Mya Featuring Mase & Blinky Blink,Take Me There,17,10,NA,NA,NA,NA
20,19,Mark Chesnutt,I Don't Want To Miss A Thing,23,8,NA,NA,NA,NA
21,1,Lauryn Hill,Doo Wop (That Thing),12,13,NA,NA,NA,NA
22,3,98 Degrees,Because Of You,16,19,NA,NA,NA,NA
23,19,Jay-Z Featuring Amil (Of Major Coinz) & Ja,Can I Get A... ,25,19,NA,NA,NA,NA
24,21,Dru Hill,These Are The Times,24,10,NA,NA,NA,NA
25,4,Shania Twain,From This Moment On,20,10,NA,NA,NA,NA
26,15,Mo Thugs Family Featuring Bone Thugs-N-Harmony,Ghetto Cowboy,22,12,NA,NA,NA,NA
27,27,Sugar Ray,Every Morning,31,5,NA,NA,NA,NA
28,23,'N Sync,(God Must Have Spent) A Little More Time On You,26,10,NA,NA,NA,NA
29,29,Whitney Houston Feat. Faith Evans & Kelly Price,Heartbreak Hotel,55,7,NA,NA,NA,NA
30,7,Faith Evans,Love Like This,21,13,NA,NA,NA,NA
31,29,R. Kelly,When A Woman's Fed Up,29,7,NA,NA,NA,NA
32,9,Goo Goo Dolls,Iris,28,10,NA,NA,NA,NA
33,33,Boyz II Men ,I Will Get There,33,4,NA,NA,NA,NA
34,34,Jo Dee Messina,Stand Beside Me,37,9,NA,NA,NA,NA
35,28,Eve 6,Inside Out,30,10,NA,NA,NA,NA
36,32,2Pac ,Changes,34,10,NA,NA,NA,NA
37,5,Edwin McCain,I'll Be,35,20,NA,NA,NA,NA
38,36,New Radicals,You Get What You Give,36,10,NA,NA,NA,NA
39,39,Tim McGraw,For A Little While,41,10,NA,NA,NA,NA
40,39,Lenny Kravitz,Fly Away,39,10,NA,NA,NA,NA
41,7,Faith Hill,This Kiss,32,47,NA,NA,NA,NA
42,42,Diamond Rio,Unbelievable,47,8,NA,NA,NA,NA
43,43,John Michael Montgomery,Hold On To Me,50,10,NA,NA,NA,NA
44,44,Sara Evans,No Place That Far,51,9,NA,NA,NA,NA
45,20,Sheryl Crow,My Favorite Mistake,38,10,NA,NA,NA,NA
