rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Boyz II Men,On Bended Knee,NA,NA,4,NA,4WEEKS AT NO. 1,8WEEKS ON CHART
2,2,TLC,Creep,4,9,NA,NA,NA,NA
3,1,Ini Kamoze ,"Here Comes The Hotstepper (From ""Ready To Wear"")",2,17,NA,NA,NA,NA
4,3,Real McCoy,Another Night,3,20,NA,NA,NA,NA
5,4,Bon Jovi,Always,5,15,NA,NA,NA,NA
6,6,Brandy,I Wanna Be Down,6,15,NA,NA,NA,NA
7,7, BLACKstreet,Before I Let You Go,8,12,NA,NA,NA,NA
8,8,69 Boyz,Tootsee Roll,9,27,NA,NA,NA,NA
9,1,Boyz II Men,I'll Make Love To You,7,22,NA,NA,NA,NA
10,8,Janet Jackson,You Want This/70's Love Groove,11,12,NA,NA,NA,NA
11,10,Melissa Etheridge,I'm The Only One,10,23,NA,NA,NA,NA
12,12,Madonna ,Take A Bow,14,4,NA,NA,NA,NA
13,13,4PM,Sukiyaki,13,17,NA,NA,NA,NA
14,14,20 Fingers Featuring Gillette,Short Dick Man,15,18,NA,NA,NA,NA
15,3, Madonna,Secret,12,14,NA,NA,NA,NA
16,16,Des'ree,You Gotta Be,16,19,NA,NA,NA,NA
17,2,Sheryl Crow,All I Wanna Do,17,23,NA,NA,NA,NA
18,18,Barry White,Practice What You Preach,19,14,NA,NA,NA,NA
19,19,Immature,Constantly,29,7,NA,NA,NA,NA
20,13,Gloria Estefan,"Turn The Beat Around (From ""The Specialist"")",18,16,NA,NA,NA,NA
21,21,Corona,The Rhythm Of The Night,22,9,NA,NA,NA,NA
22,22,Tom Petty,You Don't Know How It Feels,24,6,NA,NA,NA,NA
23,16,Pretenders,I'll Stand By You,20,22,NA,NA,NA,NA
24,23,Vanessa Williams,The Sweetest Days,23,9,NA,NA,NA,NA
25,25,Hootie & The Blowfish,Hold My Hand,25,14,NA,NA,NA,NA
26,11,Crystal Waters,100% Pure Love,21,33,NA,NA,NA,NA
27,27,Deadeye Dick,"New Age Girl (From ""Dumb And Dumber"")",31,20,NA,NA,NA,NA
28,28,Jade,Every Day Of The Week,28,7,NA,NA,NA,NA
29,14,The 4 Seasons,"December 1963 (Oh, What A Night)",26,22,NA,NA,NA,NA
30,30,Toni Braxton,I Belong To You/How Many Ways,33,15,NA,NA,NA,NA
31,9,Craig Mack,Flava In Ya Ear,35,22,NA,NA,NA,NA
32,20,Ace Of Base,Living In Danger,27,12,NA,NA,NA,NA
33,29,Mary J. Blige,Be Happy,34,10,NA,NA,NA,NA
34,34,Brownstone,If You Love Me,41,5,NA,NA,NA,NA
35,22,Bone Thugs-N-Harmony,Thuggish Ruggish Bone,39,17,NA,NA,NA,NA
36,21,R.E.M.,"What's The Frequency, Kenneth?",32,16,NA,NA,NA,NA
37,37,Scarface,I Never Seen A Man Cry (aka I Seen A Man Die),40,8,NA,NA,NA,NA
38,5,Immature,Never Lie,30,24,NA,NA,NA,NA
39,4,Babyface,When Can I See You,36,30,NA,NA,NA,NA
40,36,Rappin' 4-Tay ,Playaz Club,42,16,NA,NA,NA,NA
41,28,B.M.U. (Black Men United),"U Will Know (From ""Jason's Lyric"")",49,14,NA,NA,NA,NA
42,42,Warren G,Do You See,51,6,NA,NA,NA,NA
43,43,Changing Faces,Foolin' Around,47,8,NA,NA,NA,NA
44,44,N2U,I Miss You,44,6,NA,NA,NA,NA
45,45,Method Man ,Bring The Pain,45,9,NA,NA,NA,NA
46,3,John Mellencamp With Me'Shell Ndegeocello,Wild Night,37,33,NA,NA,NA,NA
47,28,Zhane,"Shame (From ""A Low Down Dirty Shame"")",38,7,NA,NA,NA,NA
48,48,Aerosmith,Blind Man,48,9,NA,NA,NA,NA
49,37,Da Brat,Fa All Y'all,52,13,NA,NA,NA,NA
50,38,Sting,When We Dance,43,11,NA,NA,NA,NA
51,18,Candlebox,Far Behind,50,20,NA,NA,NA,NA
52,46, Jon Secada,Mental Picture,46,7,NA,NA,NA,NA
53,53,Amy Grant With Vince Gill,House Of Love,56,7,NA,NA,NA,NA
54,50,Keith Murray,The Most Beautifullest Thing In This World,53,12,NA,NA,NA,NA
55,55,Guns N' Roses ,"Sympathy For The Devil (""Interview With The Vampire"")",62,2,NA,NA,NA,NA
56,18,Elton John,"Circle Of Life (From ""The Lion King"")",55,20,NA,NA,NA,NA
57,57,Heavy D & The Boyz,Black Coffee,60,10,NA,NA,NA,NA
58,58,69 Boyz,Kitty Kitty,66,5,NA,NA,NA,NA
59,59,Luther Vandross,Always And Forever,59,5,NA,NA,NA,NA
60,60,Joe Diffie,Pickup Man,68,3,NA,NA,NA,NA
61,29,Lucas,Lucas With The Lid Off,57,15,NA,NA,NA,NA
62,41,John Mellencamp,Dance Naked,54,11,NA,NA,NA,NA
63,27,The Notorious B.I.G.,Juicy/Unbelievable,63,20,NA,NA,NA,NA
64,64,Andru Donalds,Mishale,64,5,NA,NA,NA,NA
65,65,2 Unlimited,Get Ready For This ,65,17,NA,NA,NA,NA
66,41,Toad The Wet Sprocket,Something's Always Wrong,58,15,NA,NA,NA,NA
67,67,Craig Mack,Get Down,73,2,NA,NA,NA,NA
68,61,Hole,Doll Parts,61,5,NA,NA,NA,NA
69,6,Aaliyah,At Your Best (You Are Love),67,19,NA,NA,NA,NA
70,2,Luther Vandross & Mariah Carey,Endless Love,70,18,NA,NA,NA,NA
71,NA, Soul For Real,Candy Rain,NA,NA,NA,NA,NA,NA
72,31,Eagles ,Get Over It,72,11,NA,NA,NA,NA
73,73,Sheryl Crow,Strong Enough,81,2,NA,NA,NA,NA
