rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,TLC,Creep,NA,NA,3,NA,3 WEEKS AT NO. 1,14WEEKS ON CHART
2,1,Boyz II Men,On Bended Knee,2,13,NA,NA,NA,NA
3,3,Real McCoy,Another Night,3,25,NA,NA,NA,NA
4,4,Madonna,Take A Bow,4,9,NA,NA,NA,NA
5,5,Brandy ,Baby,60,2,NA,NA,NA,NA
6,6,Des'ree,You Gotta Be,6,24,NA,NA,NA,NA
7,4,Bon Jovi,Always,5,20,NA,NA,NA,NA
8,8,4PM,Sukiyaki,8,22,NA,NA,NA,NA
9,7,BLACKstreet,Before I Let You Go,7,17,NA,NA,NA,NA
10,8,Melissa Etheridge,I'm The Only One,10,28,NA,NA,NA,NA
11,11,Hootie & The Blowfish,Hold My Hand,12,19,NA,NA,NA,NA
12,11, Corona,The Rhythm Of The Night,11,14,NA,NA,NA,NA
13,1,Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")",9,22,NA,NA,NA,NA
14,14,Soul For Real,Candy Rain,15,6,NA,NA,NA,NA
15,13,Tom Petty,You Don't Know How It Feels,13,11,NA,NA,NA,NA
16,16,Brownstone,If You Love Me,17,10,NA,NA,NA,NA
17,16,Immature,Constantly,16,12,NA,NA,NA,NA
18,18,Vanessa Williams,The Sweetest Days,18,14,NA,NA,NA,NA
19,19,Sheryl Crow,Strong Enough,24,7,NA,NA,NA,NA
20,6,Brandy,I Wanna Be Down,14,20,NA,NA,NA,NA
21,20,Jade,Every Day Of The Week,20,12,NA,NA,NA,NA
22,19,R.E.M.,Bang And Blame,19,4,NA,NA,NA,NA
23,1,Boyz II Men,I'll Make Love To You,22,27,NA,NA,NA,NA
24,8,Janet Jackson,You Want This/70's Love Groove,21,17,NA,NA,NA,NA
25,25,The Notorious B.I.G.,Big Poppa/Warning,26,5,NA,NA,NA,NA
26,8,69 Boyz,Tootsee Roll,23,32,NA,NA,NA,NA
27,14,20 Fingers Featuring Gillette,Short Dick Man,25,23,NA,NA,NA,NA
28,28,N2U,I Miss You ,33,11,NA,NA,NA,NA
29,29,Jon Secada,Mental Picture,32,12,NA,NA,NA,NA
30,16,Pretenders,I'll Stand By You,28,27,NA,NA,NA,NA
31,2,Sheryl Crow,All I Wanna Do,27,28,NA,NA,NA,NA
32,32,Martin Page,In The House Of Stone And Light,36,9,NA,NA,NA,NA
33,11,Crystal Waters,100% Pure Love,29,38,NA,NA,NA,NA
34,13,Gloria Estefan,"Turn The Beat Around (From ""The Specialist"")",30,21,NA,NA,NA,NA
35,35,Dionne Farris,I Know,45,3,NA,NA,NA,NA
36,3, Madonna,Secret,31,19,NA,NA,NA,NA
37,28,Toni Braxton,I Belong To You/How Many Ways,34,20,NA,NA,NA,NA
38,38,Andru Donalds,Mishale,39,10,NA,NA,NA,NA
39,18,Barry White,Practice What You Preach,35,19,NA,NA,NA,NA
40,38,Changing Faces,Foolin' Around,38,13,NA,NA,NA,NA
41,3,John Mellencamp With Me'Shell Ndegeocello,Wild Night,40,38,NA,NA,NA,NA
42,27,Deadeye Dick,"New Age Girl (From ""Dumb And Dumber"")",37,25,NA,NA,NA,NA
43,43,Amy Grant With Vince Gill,House Of Love,43,12,NA,NA,NA,NA
44,4,Babyface,When Can I See You,41,35,NA,NA,NA,NA
45,45,Craig Mack,Get Down,46,7,NA,NA,NA,NA
46,46,2 Unlimited,Get Ready For This,47,22,NA,NA,NA,NA
47,47,Gloria Estefan,Everlasting Love,57,3,NA,NA,NA,NA
48,14,The 4 Seasons ,"December 1963 (Oh, What A Night)",44,27,NA,NA,NA,NA
49,29,Mary J. Blige,Be Happy,42,15,NA,NA,NA,NA
50,36,Rappin' 4-Tay,Playaz Club,51,21,NA,NA,NA,NA
51,51,69 Boyz,Kitty Kitty,56,10,NA,NA,NA,NA
52,52,Subway (Featuring 702),This Lil' Game We Play,64,2,NA,NA,NA,NA
53,53,Nine,Whutcha Want?,61,8,NA,NA,NA,NA
54,NA,Adina Howard ,Freak Like Me,NA,NA,NA,NA,NA,NA
55,54,Freedy Johnston,Bad Reputation ,54,8,NA,NA,NA,NA
56,45,Method Man,Bring The Pain,55,14,NA,NA,NA,NA
57,57,Capleton,Tour,62,2,NA,NA,NA,NA
58,37, Scarface,I Never Seen A Man Cry (aka I Seen A Man Die),53,13,NA,NA,NA,NA
59,59,Jamie Walters,Hold On,72,3,NA,NA,NA,NA
60,28,Zhane,"Shame (From ""A Low Down Dirty Shame"")",48,12,NA,NA,NA,NA
61,38,Sting,When We Dance,50,16,NA,NA,NA,NA
62,NA,Portishead,Sour Times (Nobody Loves Me),NA,NA,NA,NA,NA,NA
63,58,Luther Vandross,Always And Forever,59,10,NA,NA,NA,NA
64,64,Channel Live,Mad Izm,75,2,NA,NA,NA,NA
65,65,Dru Down,Pimp Of The Year ,66,8,NA,NA,NA,NA
66,66,Lil Suzy,Promise Me,68,8,NA,NA,NA,NA
67,20,Ace Of Base,Living In Danger,52,17,NA,NA,NA,NA
68,63,The Flaming Lips,She Don't Use Jelly,63,9,NA,NA,NA,NA
69,69,Vicious,Nika,71,5,NA,NA,NA,NA
70,65,Willi One Blood,"Whiney, Whiney (From ""Dumb And Dumber"")",65,4,NA,NA,NA,NA
71,71,All-4-One,(She's Got) Skillz,77,6,NA,NA,NA,NA
72,72,Livin' Joy,Dreamer,79,3,NA,NA,NA,NA
73,42, Warren G,Do You See,58,11,NA,NA,NA,NA
74,74,Anita Baker,I Apologize,78,7,NA,NA,NA,NA
75,67,Fu-Schnickens,Breakdown,80,17,NA,NA,NA,NA
76,NA,Stevie B,Dream About You/Funky Melody,NA,NA,NA,NA,NA,NA
77,69,Too $hort,Cocktales,69,4,NA,NA,NA,NA
78,67,"Harry Connick, Jr.",(I Could Only) Whisper Your Name,67,17,NA,NA,NA,NA
79,76,Aaliyah,Age Ain't Nothing But A Number,76,5,NA,NA,NA,NA
80,58,Hole,Doll Parts,70,10,NA,NA,NA,NA
81,81, Pete Rock & C.L. Smooth,Take You There,84,2,NA,NA,NA,NA
82,41,Toad The Wet Sprocket,Something's Always Wrong,74,20,NA,NA,NA,NA
83,83,Jewell,Woman To Woman,83,3,NA,NA,NA,NA
84,41,John Mellencamp,Dance Naked,81,16,NA,NA,NA,NA
85,85,Group Home,Supa Star,88,2,NA,NA,NA,NA
86,86,Max-A-Million,Fat Boy,89,2,NA,NA,NA,NA
87,28,B.M.U. (Black Men United),"U Will Know (From ""Jason's Lyric"")",82,19,NA,NA,NA,NA
88,71,Silk,"I Can Go Deep (From ""A Low Down Dirty Shame"")",87,14,NA,NA,NA,NA
89,NA,95 South,Rodeo,NA,NA,NA,NA,NA,NA
90,NA,Missjones,Where I Wanna Be Boy,NA,NA,NA,NA,NA,NA
91,55,Guns N' Roses,"Sympathy For The Devil (""Interview With The Vampire"")",85,7,NA,NA,NA,NA
92,NA,K7,Move It Like This,NA,NA,NA,NA,NA,NA
93,78,Reba McEntire,Till You Love Me,98,9,NA,NA,NA,NA
94,50,Keith Murray,The Most Beautifullest Thing In This World,86,17,NA,NA,NA,NA
95,93,Aimee Mann,That's Just What You Are,93,4,NA,NA,NA,NA
96,37, Da Brat,Fa All Y'all,92,18,NA,NA,NA,NA
97,71,Tevin Campbell,Don't Say Goodbye Girl,73,7,NA,NA,NA,NA
98,48,Aerosmith,Blind Man,90,14,NA,NA,NA,NA
99,57,Heavy D & The Boyz,Black Coffee,91,15,NA,NA,NA,NA
100,75,Jeff Foxworthy,Redneck Stomp ,94,10,NA,NA,NA,NA
