rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Bryan Adams,(Everything I Do) I Do It For You,NA,NA,7,NA,7WEEKS AT NO. 1,11WEEKS ON CHART
2,2,Paula Abdul,The Promise Of A New Day,5,8,NA,NA,NA,NA
3,3,Boyz II Men,Motownphilly,9,13,NA,NA,NA,NA
4,4,C+C Music Factory,Things That Make You Go Hmmmm. . .,10,8,NA,NA,NA,NA
5,5,The KLF,3 A.M. Eternal,7,12,NA,NA,NA,NA
6,6,Color Me Badd,I Adore Mi Amor,15,7,NA,NA,NA,NA
7,7,Seal,Crazy,12,12,NA,NA,NA,NA
8,4,Scorpions,Wind Of Change,4,15,NA,NA,NA,NA
9,9,Michael Bolton ,"Time, Love And Tenderness",13,9,NA,NA,NA,NA
10,8,Hi-Five,I Can't Wait Another Minute,8,12,NA,NA,NA,NA
11,11,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Good Vibrations,18,8,NA,NA,NA,NA
12,12,Cathy Dennis,Too Many Walls,16,10,NA,NA,NA,NA
13,2,Amy Grant,Every Heartbeat,6,13,NA,NA,NA,NA
14,14,Natalie Cole,Unforgettable,14,9,NA,NA,NA,NA
15,2,Roxette,Fading Like A Flower (Every Time You Leave),2,13,NA,NA,NA,NA
16,16,Rod Stewart,The Motown Song,20,10,NA,NA,NA,NA
17,17,Heavy D & The Boyz,Now That We Found Love,19,11,NA,NA,NA,NA
18,18,Firehouse,Love Of A Lifetime,21,11,NA,NA,NA,NA
19,2,Lenny Kravitz,It Ain't Over 'til It's Over,3,14,NA,NA,NA,NA
20,20,Whitney Houston,My Name Is Not Susan,23,7,NA,NA,NA,NA
21,4,D.J. Jazzy Jeff & The Fresh Prince,Summertime,11,13,NA,NA,NA,NA
22,22,R.E.M.,Shiny Happy People,24,7,NA,NA,NA,NA
23,23,Huey Lewis & The News,It Hit Me Like A Hammer,26,8,NA,NA,NA,NA
24,24,Bonnie Raitt,Something To Talk About,28,8,NA,NA,NA,NA
25,6,Corina,Temptation,17,17,NA,NA,NA,NA
26,26, Mariah Carey,Emotions,35,2,NA,NA,NA,NA
27,27,Karyn White,Romantic,31,4,NA,NA,NA,NA
28,28,Natural Selection,Do Anything,34,5,NA,NA,NA,NA
29,29,Extreme,Hole Hearted,32,6,NA,NA,NA,NA
30,30,Aaron Neville,Everybody Plays The Fool,33,8,NA,NA,NA,NA
31,25,Robbie Nevil,Just Like You,25,10,NA,NA,NA,NA
32,8,The Escape Club,I'll Be There,22,16,NA,NA,NA,NA
33,29,3rd Bass,Pop Goes The Weasel,29,9,NA,NA,NA,NA
34,34,Martika ,Love. . .Thy Will Be Done,42,5,NA,NA,NA,NA
35,35,Metallica,Enter Sandman,38,3,NA,NA,NA,NA
36,36,38 Special,The Sound Of Your Voice,39,9,NA,NA,NA,NA
