rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Toni Braxton,You're Makin' Me High/Let It Flow,NA,NA,NA,2, 2LAST WEEK,8WEEKS ON CHART
2,1,2Pac Featuring K-Ci And JoJo,How Do U Want It/California Love,1,7,NA,NA,NA,NA
3,3,Tracy Chapman,Give Me One Reason,3,17,NA,NA,NA,NA
4,4,Los Del Rio,Macarena (Bayside Boys Mix),4,32,NA,NA,NA,NA
5,5,Keith Sweat,Twisted,6,6,NA,NA,NA,NA
6,NA,Alanis Morissette,You Learn/You Oughta Know,NA,NA,NA,NA,NA,NA
7,7,Eric Clapton,Change The World,9,2,NA,NA,NA,NA
8,7,R. Kelly,I Can't Sleep Baby (If I),7,3,NA,NA,NA,NA
9,8,Quad City DJ's,C'mon N' Ride It (The Train),8,20,NA,NA,NA,NA
10,1, Bone Thugs-N-Harmony,Tha Crossroads,5,12,NA,NA,NA,NA
11,1,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",10,21,NA,NA,NA,NA
12,12,Jewel,Who Will Save Your Soul,13,9,NA,NA,NA,NA
13,13,LL Cool J,Loungin,16,4,NA,NA,NA,NA
14,1,Mariah Carey ,Always Be My Baby,11,17,NA,NA,NA,NA
15,12,Total,Kissin' You,12,13,NA,NA,NA,NA
16,NA,OutKast,Elevators (Me & You),NA,NA,NA,NA,NA,NA
17,12,Jann Arden,"Insensitive (From ""Bed Of Roses"")",15,25,NA,NA,NA,NA
18,9,Monica,Why I Love You So Much/Ain't Nobody,14,8,NA,NA,NA,NA
19,2,The Tony Rich Project,Nobody Knows ,17,33,NA,NA,NA,NA
20,20,112 Featuring The Notorious B.I.G.,Only You,20,9,NA,NA,NA,NA
21,21,Robert Miles,Children,21,12,NA,NA,NA,NA
22,4,Alanis Morissette,Ironic,19,20,NA,NA,NA,NA
23,23,Donna Lewis,I Love You Always Forever,31,6,NA,NA,NA,NA
24,13,La Bouche,Sweet Dreams,27,18,NA,NA,NA,NA
25,21,Color Me Badd,"The Earth, The Sun, The Rain",23,13,NA,NA,NA,NA
26,26,Dishwalla,Counting Blue Cars,30,17,NA,NA,NA,NA
27,18,Crucial Conflict,Hay,18,12,NA,NA,NA,NA
28,28,Montell Jordan Featuring Slick Rick,"I Like (From ""The Nutty Professor"")",28,5,NA,NA,NA,NA
29,14,Case Featuring Foxxy Brown,"Touch Me Tease Me (From ""The Nutty Professor"")",25,12,NA,NA,NA,NA
30,9,Gin Blossoms,Follow You Down/Til I Hear It From You,33,25,NA,NA,NA,NA
31,31,All-4-One,"Someday (From ""The Hunchback Of Notre Dame"")",35,5,NA,NA,NA,NA
32,32,Natalie Merchant,Jealousy,32,7,NA,NA,NA,NA
33,7,Adam Clayton & Larry Mullen,"Theme From Mission: Impossible (From ""Mission: Impossible"")",22,12,NA,NA,NA,NA
34,5,SWV,You're The One,29,15,NA,NA,NA,NA
35,8,George Michael,Fastlove,24,12,NA,NA,NA,NA
36,26,LeAnn Rimes,Blue,26,6,NA,NA,NA,NA
37,37,Maxi Priest Featuring Shaggy,That Girl,40,5,NA,NA,NA,NA
38,38,The Smashing Pumpkins,"Tonight, Tonight",38,5,NA,NA,NA,NA
39,22,Jodeci,Get On Up,34,11,NA,NA,NA,NA
40,10,Metallica,Until It Sleeps,36,8,NA,NA,NA,NA
41,29,Coolio,"It's All The Way Live (Now) (From ""Eddie"")",37,9,NA,NA,NA,NA
42,2,Brandy,"Sittin' Up In My Room (From ""Waiting To Exhale"")",39,31,NA,NA,NA,NA
43,2,Everything But The Girl,Missing,41,51,NA,NA,NA,NA
44,44,No Mercy,Where Do You Go,49,4,NA,NA,NA,NA
45,20,Natalie Merchant,Wonder,42,34,NA,NA,NA,NA
46,NA,Garbage,Stupid Girl,NA,NA,NA,NA,NA,NA
47,13,Hootie & The Blowfish,Old Man & Me (When I Get To Heaven),43,14,NA,NA,NA,NA
48,35,Delinquent Habits,Tres Delinquentes,44,14,NA,NA,NA,NA
49,6,La Bouche,Be My Lover,46,38,NA,NA,NA,NA
50,5,Coolio,"1, 2, 3, 4 (Sumpin' New)",50,21,NA,NA,NA,NA
51,48,Gloria Estefan,Reach,48,15,NA,NA,NA,NA
52,37,Jars Of Clay,Flood,47,11,NA,NA,NA,NA
53,53,Busta Rhymes Featuring Zhane,It's A Party,55,3,NA,NA,NA,NA
54,52,Cher,One By One,54,7,NA,NA,NA,NA
55,55,Deborah Cox,Where Do We Go From Here,56,4,NA,NA,NA,NA
56,56,Ghost Town DJ's, My Boo,59,4,NA,NA,NA,NA
57,57,Hootie & The Blowfish,Tucker's Town,63,3,NA,NA,NA,NA
58,30,Michael Jackson,They Don't Care About Us,45,8,NA,NA,NA,NA
59,57,Nas,If I Ruled The World,66,6,NA,NA,NA,NA
60,32,Monifah,You,60,12,NA,NA,NA,NA
61,8,Whitney Houston & CeCe Winans,"Count On Me (From ""Waiting To Exhale"")",51,19,NA,NA,NA,NA
62,62,J'Son,I'll Never Stop Loving You,62,10,NA,NA,NA,NA
63,58,The Cure,Mint Car,58,2,NA,NA,NA,NA
64,47,Tevin Campbell,Back To The World,52,6,NA,NA,NA,NA
65,65,Beck,Where It's At,65,5,NA,NA,NA,NA
66,61,Los Del Rio,Macarena,61,4,NA,NA,NA,NA
67,10,MC Lyte Featuring Xscape,"Keep On, Keepin' On (From ""Sunset Park"")",53,20,NA,NA,NA,NA
68,68,Mista,Blackberry Molasses,68,5,NA,NA,NA,NA
69,50,Jay-Z Featuring Foxxy Brown,Ain't No Nigga/Dead Presidents,67,17,NA,NA,NA,NA
70,70,Amber,This Is Your Night,83,7,NA,NA,NA,NA
71,71,Vanessa Williams,"Where Do We Go From Here (From ""Eraser"")",71,3,NA,NA,NA,NA
72,72,Blessid Union Of Souls,All Along,76,3,NA,NA,NA,NA
73,70,Jeff Foxworthy With Alan Jackson,Redneck Games,70,5,NA,NA,NA,NA
74,60,Sting,You Still Touch Me,64,11,NA,NA,NA,NA
75,75,The Badlees,Angeline Is Coming Home ,80,4,NA,NA,NA,NA
76,NA,The Tony Rich Project,Like A Woman,NA,NA,NA,NA,NA,NA
77,67,Men Of Vizion,House Keeper,69,9,NA,NA,NA,NA
78,78,Gina Thompson,The Things That You Do,100,3,NA,NA,NA,NA
79,43,Bush,"Machinehead (From ""Fear"")",77,16,NA,NA,NA,NA
80,63,Puff Johnson,Forever More,73,11,NA,NA,NA,NA
81,78,Kristine W,One More Try,86,9,NA,NA,NA,NA
82,52,Bryan Adams,The Only Thing That Looks Good On Me Is You,72,10,NA,NA,NA,NA
83,79,Donell Jones,In The Hood,79,4,NA,NA,NA,NA
84,32,Spacehog,In The Meantime,85,17,NA,NA,NA,NA
85,85,Xzibit,Paparazzi,91,2,NA,NA,NA,NA
86,68,Everything But The Girl,Wrong,82,9,NA,NA,NA,NA
87,87,Lisa Loeb & Nine Stories,Waiting For Wednesday,93,2,NA,NA,NA,NA
