rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,NA,NA,14,NA,14WEEKS AT NO. 1,14WEEKS ON CHART
2,2,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),Been Around The World,2,6,NA,NA,NA,NA
3,3,Janet,Together Again,4,4,NA,NA,NA,NA
4,4,LSG,My Body,5,11,NA,NA,NA,NA
5,2,LeAnn Rimes,How Do I Live,3,30,NA,NA,NA,NA
6,6,Savage Garden,Truly Madly Deeply,7,6,NA,NA,NA,NA
7,5,Mase,Feel So Good,8,11,NA,NA,NA,NA
8,8,Boyz II Men,A Song For Mama,9,5,NA,NA,NA,NA
9,2,Usher,You Make Me Wanna...,6,21,NA,NA,NA,NA
10,7, Robyn,Show Me Love,10,9,NA,NA,NA,NA
11,9,Hanson,I Will Come To You,11,7,NA,NA,NA,NA
12,4,Somethin' For The People Featuring Trina & Tamara,My Love Is The Shhh!,12,20,NA,NA,NA,NA
13,13,Dru Hill,We're Not Making Love No More,14,5,NA,NA,NA,NA
14,6,Chumbawamba,Tubthumping,13,18,NA,NA,NA,NA
15,15,Uncle Sam,I Don't Ever Want To See You Again,15,10,NA,NA,NA,NA
16,9,Aaliyah,The One I Gave My Heart To,16,15,NA,NA,NA,NA
17,12,Paula Cole,I Don't Want To Wait,17,11,NA,NA,NA,NA
18,16,Next,Butta Love,18,19,NA,NA,NA,NA
19,18,Spice Girls,Spice Up Your Life,19,10,NA,NA,NA,NA
20,12," Missy ""Misdemeanor"" Elliott Featuring Da Brat",Sock It 2 Me,20,13,NA,NA,NA,NA
21,21,Third Eye Blind,How's It Going To Be,23,6,NA,NA,NA,NA
22,22,Lisa Loeb,I Do,22,11,NA,NA,NA,NA
23,23,Aqua,Lollipop (Candyman),24,5,NA,NA,NA,NA
24,1,Boyz II Men,4 Seasons Of Loneliness,25,16,NA,NA,NA,NA
25,25,Destiny's Child,"No, No, No",30,7,NA,NA,NA,NA
26,26,The Notorious B.I.G.,Going Back To Cali,32,6,NA,NA,NA,NA
27,4,Allure Featuring 112,All Cried Out,21,20,NA,NA,NA,NA
28,16,Total,What About Us,27,20,NA,NA,NA,NA
29,2,Jewel, Foolish Games/You Were Meant For Me,26,59,NA,NA,NA,NA
30,2,Backstreet Boys,Quit Playing Games (With My Heart),29,29,NA,NA,NA,NA
