rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Jennifer Lopez,If You Had My Love,NA,NA,5,NA,5WEEKS AT NO. 1,9WEEKS ON CHART
2,2,Destiny's Child,"Bills, Bills, Bills",11,4,NA,NA,NA,NA
3,2,Pearl Jam,Last Kiss,3,7,NA,NA,NA,NA
4,1,Ricky Martin ,Livin' La Vida Loca,2,13,NA,NA,NA,NA
5,4,Whitney Houston,It's Not Right But It's Okay,4,10,NA,NA,NA,NA
6,6,Backstreet Boys,I Want It That Way,6,12,NA,NA,NA,NA
7,4,702,Where My Girls At?,9,11,NA,NA,NA,NA
8,8,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,13,8,NA,NA,NA,NA
9,4,Maxwell,Fortunate,7,14,NA,NA,NA,NA
10,5,98 Degrees,The Hardest Thing,5,16,NA,NA,NA,NA
11,1,TLC,No Scrubs,8,21,NA,NA,NA,NA
12,12,Christina Aguilera,Genie In A Bottle,61,2,NA,NA,NA,NA
13,13,Smash Mouth,All Star,19,8,NA,NA,NA,NA
14,12,Sporty Thievz Featuring Mr. Woods,No Pigeons,12,9,NA,NA,NA,NA
15,2, Sixpence None The Richer,Kiss Me,10,23,NA,NA,NA,NA
16,7,Shania Twain,That Don't Impress Me Much,14,23,NA,NA,NA,NA
17,8,Blaque,808,16,13,NA,NA,NA,NA
18,15,Case,Happily Ever After,15,6,NA,NA,NA,NA
19,10,Chante Moore,Chante's Got A Man,18,9,NA,NA,NA,NA
20,16,Brandy,Almost Doesn't Count,17,12,NA,NA,NA,NA
21,21,Sarah McLachlan,I Will Remember You (Live),24,28,NA,NA,NA,NA
22,15,112 Featuring Lil'z,Anywhere,23,17,NA,NA,NA,NA
23,23,Madonna,Beautiful Stranger,29,5,NA,NA,NA,NA
24,24,Phil Collins,You'll Be In My Heart,34,2,NA,NA,NA,NA
25,3,Sugar Ray,Every Morning,20,27,NA,NA,NA,NA
26,26,Britney Spears,Sometimes,27,8,NA,NA,NA,NA
27,27,K-Ci & JoJo ,Tell Me It's Real,31,7,NA,NA,NA,NA
28,10,Tim McGraw,Please Remember Me,25,15,NA,NA,NA,NA
29,8,Goo Goo Dolls,Slide,26,32,NA,NA,NA,NA
30,27,George Strait,Write This Down,30,12,NA,NA,NA,NA
31,10,Jordan Knight,Give It To You,22,15,NA,NA,NA,NA
32,5,JT Money Featuring Sole,Who Dat,21,12,NA,NA,NA,NA
33,33,Lonestar,Amazed,38,6,NA,NA,NA,NA
34,13,Everlast,What It's Like,28,30,NA,NA,NA,NA
35,35,Jo Dee Messina,Lesson In Leavin',39,6,NA,NA,NA,NA
36,27,R. Kelly,Did You Ever Think,36,7,NA,NA,NA,NA
37,37,Martina McBride ,Whatever You Say,37,11,NA,NA,NA,NA
38,1,Cher,Believe,32,30,NA,NA,NA,NA
39,35,Ja Rule,Holla Holla,35,15,NA,NA,NA,NA
40,40,Citizen King,Better Days (And The Bottom Drops Out),40,7,NA,NA,NA,NA
41,33,Alabama Featuring 'N Sync,God Must Have Spent A Little More Time On You,33,7,NA,NA,NA,NA
42,42,Blessid Union Of Souls,Hey Leonardo (She Likes Me For Me),48,5,NA,NA,NA,NA
43,43,Joe Diffie, A Night To Remember,47,9,NA,NA,NA,NA
44,12,Tyrese,Sweet Lady,42,25,NA,NA,NA,NA
45,45,Red Hot Chili Peppers,Scar Tissue,50,6,NA,NA,NA,NA
46,46,Edwin McCain,I Could Not Ask For More,52,3,NA,NA,NA,NA
47,47,Ricky Martin,"The Cup Of Life (The Official Song Of The World Cup, France '98)",55,21,NA,NA,NA,NA
48,41, Lila McCann,With You,41,15,NA,NA,NA,NA
49,49,Tal Bachman,She's So High,58,4,NA,NA,NA,NA
50,12,Lenny Kravitz,Fly Away,43,32,NA,NA,NA,NA
51,51,Lit,My Own Worst Enemy,51,12,NA,NA,NA,NA
52,52,Sugar Ray,Someday,66,2,NA,NA,NA,NA
53,53,Chely Wright,Single White Female,53,9,NA,NA,NA,NA
54,54,Reba,One Honest Heart,54,7,NA,NA,NA,NA
55,46,Dixie Chicks,Tonight The Heartache's On Me,46,9,NA,NA,NA,NA
56,56,Tyrese,Lately,56,4,NA,NA,NA,NA
57,57,SHeDAISY,Little Good-Byes,57,10,NA,NA,NA,NA
58,13, Silk,If You (Lovin' Me),49,18,NA,NA,NA,NA
59,59,Fastball,Out Of My Head,64,2,NA,NA,NA,NA
60,60,Lauryn Hill,Everything Is Everything,63,4,NA,NA,NA,NA
61,61,EVE & Nokio,What Ya Want ,74,2,NA,NA,NA,NA
62,62,Eric Benet Featuring Tamia,Spend My Life With You,82,2,NA,NA,NA,NA
63,NA,Enrique Iglesias,Bailamos,NA,NA,NA,NA,NA,NA
64,64,Dwight Yoakam,Crazy Little Thing Called Love,69,4,NA,NA,NA,NA
65,65,TLC,Unpretty,65,3,NA,NA,NA,NA
66,NA,Goo Goo Dolls,Black Balloon,NA,NA,NA,NA,NA,NA
67,67,Faith Hill ,The Secret Of Life,73,3,NA,NA,NA,NA
