rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Boyz II Men,"End Of The Road (From ""Boomerang"")",NA,NA,6,NA,6WEEKS AT NO. 1,10WEEKS ON CHART
2,2,TLC,Baby-Baby-Baby,2,16,NA,NA,NA,NA
3,3,Bobby Brown,Humpin' Around,3,7,NA,NA,NA,NA
4,4,Shakespear's Sister,Stay,5,12,NA,NA,NA,NA
5,3,Guns N' Roses,November Rain,4,13,NA,NA,NA,NA
6,6,Patty Smyth With Don Henley,Sometimes Love Just Ain't Enough,7,6,NA,NA,NA,NA
7,7,House Of Pain,Jump Around,9,13,NA,NA,NA,NA
8,5,Jon Secada,Just Another Day,8,23,NA,NA,NA,NA
9,9,Elton John,The One,12,13,NA,NA,NA,NA
10,10,Hi-Five,She's Playing Hard To Get,16,8,NA,NA,NA,NA
11,6,En Vogue,Giving Him Something He Can Feel,6,16,NA,NA,NA,NA
12,12,K.W.S.,Please Don't Go,17,14,NA,NA,NA,NA
13,6,Technotronic Featuring Ya Kid K,Move This,10,15,NA,NA,NA,NA
14,1,Sir Mix-A-Lot,Baby Got Back,13,24,NA,NA,NA,NA
15,1,Madonna,This Used To Be My Playground,11,12,NA,NA,NA,NA
16,6,Tom Cochrane,Life Is A Highway,14,19,NA,NA,NA,NA
17,17,Bryan Adams ,Do I Have To Say The Words?,18,8,NA,NA,NA,NA
18,15,Toad The Wet Sprocket,All I Want,15,13,NA,NA,NA,NA
19,19,Arrested Development,People Everyday,21,6,NA,NA,NA,NA
20,20,Firehouse,When I Look Into Your Eyes ,25,6,NA,NA,NA,NA
21,21,Def Leppard,Have You Ever Needed Someone So Bad,26,5,NA,NA,NA,NA
22,22,Jade,"I Wanna Love You (From ""Class Act"")",24,11,NA,NA,NA,NA
23,23,Genesis,Jesus He Knows Me,23,8,NA,NA,NA,NA
24,11,Jodeci,Come & Talk To Me,19,25,NA,NA,NA,NA
25,4, Billy Ray Cyrus,Achy Breaky Heart,20,20,NA,NA,NA,NA
26,26,N2Deep,Back To The Hotel,28,11,NA,NA,NA,NA
27,15,CeCe Peniston,Keep On Walkin',22,18,NA,NA,NA,NA
