rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Britney Spears,...Baby One More Time,NA,NA,NA,3,3LAST WEEK ,11WEEKS ON CHART
2,1,Brandy,Have You Ever?,1,9,NA,NA,NA,NA
3,2,Deborah Cox,Nobody's Supposed To Be Here,2,18,NA,NA,NA,NA
4,1,R. Kelly & Celine Dion,I'm Your Angel,4,9,NA,NA,NA,NA
5,5,Third Eye Blind,Jumper,12,9,NA,NA,NA,NA
6,6,Monica,Angel Of Mine,22,9,NA,NA,NA,NA
7,5,Eagle-Eye Cherry,Save Tonight,5,9,NA,NA,NA,NA
8,6,Jewel,Hands,6,9,NA,NA,NA,NA
9,9,Goo Goo Dolls,Slide,10,9,NA,NA,NA,NA
10,7,Shawn Mullins,Lullaby,7,9,NA,NA,NA,NA
11,11,Sarah McLachlan,Angel,13,9,NA,NA,NA,NA
12,1,Lauryn Hill,Doo Wop (That Thing),9,12,NA,NA,NA,NA
13,1,Divine,Lately,8,21,NA,NA,NA,NA
14,7,Total Featuring Missy Elliott,Trippin',11,13,NA,NA,NA,NA
15,15,Whitney Houston & Mariah Carey,When You Believe,25,9,NA,NA,NA,NA
16,3,98 Degrees,Because Of You,17,18,NA,NA,NA,NA
17,14,BLACKstreet & Mya Featuring Mase & Blinky Blink,Take Me There,14,9,NA,NA,NA,NA
18,18,Cher,Believe,35,7,NA,NA,NA,NA
19,18,Will Smith,Miami,18,9,NA,NA,NA,NA
20,4,Shania Twain,From This Moment On,15,9,NA,NA,NA,NA
21,7,Faith Evans,Love Like This,16,12,NA,NA,NA,NA
22,15,Mo Thugs Family Featuring Bone Thugs-N-Harmony,Ghetto Cowboy,26,11,NA,NA,NA,NA
23,19,Mark Chesnutt,I Don't Want To Miss A Thing,24,7,NA,NA,NA,NA
24,21,Dru Hill,These Are The Times,21,9,NA,NA,NA,NA
25,19,Jay-Z Featuring Amil (Of Major Coinz) & Ja,Can I Get A...,19,18,NA,NA,NA,NA
26,23,'N Sync,(God Must Have Spent) A Little More Time On You,23,9,NA,NA,NA,NA
27,NA,Gerald Levert,Taking Everything,NA,NA,NA,NA,NA,NA
28,9,Goo Goo Dolls,Iris,20,9,NA,NA,NA,NA
29,29,R. Kelly,When A Woman's Fed Up,40,6,NA,NA,NA,NA
30,28,Eve 6,Inside Out,31,9,NA,NA,NA,NA
31,31,Sugar Ray,Every Morning,46,4,NA,NA,NA,NA
32,7,Faith Hill ,This Kiss,27,46,NA,NA,NA,NA
33,33,Boyz II Men,I Will Get There,48,3,NA,NA,NA,NA
34,32,2Pac,Changes,32,9,NA,NA,NA,NA
35,5,Edwin McCain,I'll Be,28,19,NA,NA,NA,NA
36,36,New Radicals,You Get What You Give,37,9,NA,NA,NA,NA
37,37,Jo Dee Messina,Stand Beside Me,38,8,NA,NA,NA,NA
38,20,Sheryl Crow,My Favorite Mistake,29,9,NA,NA,NA,NA
39,39,Lenny Kravitz, Fly Away,39,9,NA,NA,NA,NA
40,3,Dru Hill Featuring Redman,How Deep Is Your Love,34,17,NA,NA,NA,NA
41,41,Tim McGraw,For A Little While,45,9,NA,NA,NA,NA
42,42,Randy Travis,"Spirit Of A Boy, Wisdom Of A Man",44,9,NA,NA,NA,NA
43,1,Next,Too Close,30,51,NA,NA,NA,NA
44,44,Barenaked Ladies,It's All Been Done,51,6,NA,NA,NA,NA
45,36,Martina McBride,Wrong Again,36,9,NA,NA,NA,NA
46,41,BlackHawk,There You Have It,41,9,NA,NA,NA,NA
47,47,Diamond Rio ,Unbelievable,59,7,NA,NA,NA,NA
48,43,Alan Jackson,Right On The Money,43,9,NA,NA,NA,NA
49,9,Monifah,Touch It,33,26,NA,NA,NA,NA
50,50,John Michael Montgomery,Hold On To Me,57,9,NA,NA,NA,NA
51,51,Sara Evans,No Place That Far,54,8,NA,NA,NA,NA
52,52,Lauryn Hill,Ex-Factor,55,4,NA,NA,NA,NA
53,53,matchbox 20,Back 2 Good,61,6,NA,NA,NA,NA
54,53,The Offspring,Pretty Fly (For A White Guy),53,9,NA,NA,NA,NA
55,55,Whitney Houston Feat. Faith Evans & Kelly Price,Heartbreak Hotel,58,6,NA,NA,NA,NA
56,56,Reba,Wrong Night,63,8,NA,NA,NA,NA
57,NA,Backstreet Boys,All I Have To Give,NA,NA,NA,NA,NA,NA
58,11,Spice Girls,Goodbye,65,6,NA,NA,NA,NA
59,1,Barenaked Ladies,One Week,47,18,NA,NA,NA,NA
60,55,OutKast,Rosa Parks,56,9,NA,NA,NA,NA
61,61,The Wilkinsons,Fly (The Angel Song),71,8,NA,NA,NA,NA
62,62,Everlast,What It's Like,64,7,NA,NA,NA,NA
