rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Stevie B,Because I Love You (The Postman Song),NA,NA,2,NA,2WEEKS AT NO. 1,11WEEKS ON CHART,NA
2,2,Bette Midler,From A Distance,3,11,NA,NA,NA,NA,bette-midler-2ui-53x53.jpg
3,1,Whitney Houston,I'm Your Baby Tonight,2,9,NA,NA,NA,NA,whitney-houston-k4w-53x53.jpg
4,4,Madonna,Justify My Love,10,5,NA,NA,NA,NA,madonna-53x53.jpg
5,5,Wilson Phillips,Impulsive,7,10,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
6,6,UB40,The Way You Do The Things You Do,8,14,NA,NA,NA,NA,ub40-53x53.jpg
7,7,DNA Featuring Suzanne Vega,Tom's Diner,9,11,NA,NA,NA,NA,dna-as0-53x53.jpg
8,4,Poison,Something To Believe In,4,11,NA,NA,NA,NA,poison-53x53.jpg
9,9,George Michael,Freedom,12,8,NA,NA,NA,NA,george-michael-53x53.jpg
10,10,Damn Yankees,High Enough,11,13,NA,NA,NA,NA,damn-yankees-yz7-53x53.jpg
11,4,Deee-Lite,Groove Is In The Heart,6,14,NA,NA,NA,NA,deee-lite-fnz-53x53.jpg
12,1,Mariah Carey, Love Takes Time,5,14,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
13,13,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",18,8,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
14,14,Ralph Tresvant,Sensitivity,19,7,NA,NA,NA,NA,ralph-tresvant-yiu-53x53.jpg
15,15,2 In A Room,Wiggle It,17,11,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
16,9,Tony Toni Tone,Feels Good,14,16,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
17,17,Janet Jackson,Love Will Never Do (Without You),24,5,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
18,18,Winger,Miles Away,22,10,NA,NA,NA,NA,winger-w6j-53x53.jpg
19,19,Surface,The First Time,27,7,NA,NA,NA,NA,surface-j2e-53x53.jpg
20,13,Heart,Stranded,13,13,NA,NA,NA,NA,heart-2lh-53x53.jpg
21,2,Alias,More Than Words Can Say,16,15,NA,NA,NA,NA,alias-p5m-53x53.jpg
22,22,Steve Winwood,One And Only Man,25,7,NA,NA,NA,NA,steve-winwood-d4d-53x53.jpg
23,21,Donny Osmond,My Love Is A Fire,21,10,NA,NA,NA,NA,donny-osmond-dfc-53x53.jpg
24,24,Nelson,After The Rain,30,7,NA,NA,NA,NA,nelson-53x53.jpg
25,25,Cathy Dennis,Just Another Dream,34,8,NA,NA,NA,NA,cathy-dennis-f2w-53x53.jpg
26,9,Candyman,Knockin' Boots,23,16,NA,NA,NA,NA,candyman-b0u-53x53.jpg
27,27,Will To Power,I'm Not In Love,39,5,NA,NA,NA,NA,will-to-power-6cm-53x53.jpg
28,28,Johnny Gill,Fairweather Friend,32,9,NA,NA,NA,NA,johnny-gill-53x53.jpg
29,1,Vanilla Ice,Ice Ice Baby,20,15,NA,NA,NA,NA,vanilla-ice-1on-53x53.jpg
30,30,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),41,5,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
31,11,Daryl Hall John Oates,So Close,15,12,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
32,32,The Outfield,For You ,35,7,NA,NA,NA,NA,the-outfield-dia-53x53.jpg
33,33,Phil Collins,Hang In Long Enough,36,6,NA,NA,NA,NA,phil-collins-53x53.jpg
34,34,Elisa Fiorillo,On The Way Up,38,12,NA,NA,NA,NA,elisa-fiorillo-39c-53x53.jpg
35,35,Debbie Gibson,Anything Is Possible,42,5,NA,NA,NA,NA,debbie-gibson-53x53.jpg
36,2,M.C. Hammer, Pray,28,12,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
37,37,Vanilla Ice,Play That Funky Music,66,2,NA,NA,NA,NA,vanilla-ice-1on-53x53.jpg
38,14,Soho,Hippychick,29,15,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
39,19,The Righteous Brothers,Unchained Melody,40,11,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
40,1,James Ingram,I Don't Have The Heart,31,20,NA,NA,NA,NA,james-ingram-t1a-53x53.jpg
41,41,Robert Palmer,You're Amazing,51,5,NA,NA,NA,NA,robert-palmer-8tv-53x53.jpg
42,42,Dino,Gentle,47,6,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
43,26,Bell Biv DeVoe,B.B.D. (I Thought It Was Me)?,26,10,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
44,44,Keith Sweat,I'll Give All My Love To You,48,3,NA,NA,NA,NA,keith-sweat-53x53.jpg
45,45,The Black Crowes,Hard To Handle,49,8,NA,NA,NA,NA,the-black-crowes-53x53.jpg
46,46,INXS,Disappear,54,4,NA,NA,NA,NA,inxs-ug5-53x53.jpg
47,1,Maxi Priest,Close To You,43,25,NA,NA,NA,NA,maxi-priest-myk-53x53.jpg
48,48,Breathe Featuring David Glasper,Does She Love That Man?,56,5,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
49,49,Don Henley,New York Minute,53,6,NA,NA,NA,NA,don-henley-53x53.jpg
50,50,Too $hort,The Ghetto,57,5,NA,NA,NA,NA,too-short-53x53.jpg
51,51,Elton John,You Gotta Love Someone,60,4,NA,NA,NA,NA,elton-john-qls-53x53.jpg
52,52,LL Cool J,Around The Way Girl,62,3,NA,NA,NA,NA,ll-cool-j-kyv-53x53.jpg
53,53,Depeche Mode,World In My Eyes,59,4,NA,NA,NA,NA,depeche-mode-53x53.jpg
54,28,Information Society,Think,33,11,NA,NA,NA,NA,information-society-6kt-53x53.jpg
55,55,Cher,The Shoop Shoop Song (It's In His Kiss),63,4,NA,NA,NA,NA,cher-9v4-53x53.jpg
56,56,Bad Company,If You Needed Somebody,65,6,NA,NA,NA,NA,bad-company-h37-87x87.jpg
57,50,Guy,I Wanna Get With U,50,6,NA,NA,NA,NA,guy-bdu-53x53.jpg
58,58,Warrant,I Saw Red,71,3,NA,NA,NA,NA,warrant-53x53.jpg
59,6,After 7,Can't Stop,46,21,NA,NA,NA,NA,after-7-zay-53x53.jpg
60,37,Billy Joel,And So It Goes,37,9,NA,NA,NA,NA,billy-joel-wt1-53x53.jpg
