rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,James Ingram,I Don't Have The Heart,NA,NA,NA,3,3LAST WEEK,12WEEKS ON CHART,NA
2,2,Janet Jackson,Black Cat,5,6,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
3,1,George Michael,Praying For Time,1,8,NA,NA,NA,NA,george-michael-53x53.jpg
4,4,Vanilla Ice,Ice Ice Baby,4,7,NA,NA,NA,NA,vanilla-ice-1on-53x53.jpg
5,1,Maxi Priest ,Close To You,2,17,NA,NA,NA,NA,maxi-priest-myk-53x53.jpg
6,6,Dino,Romeo,7,11,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
7,7,Pebbles,Giving You The Benefit,12,10,NA,NA,NA,NA,pebbles-xsh-53x53.jpg
8,8,Black Box,Everybody Everybody,9,12,NA,NA,NA,NA,black-box-a2z-53x53.jpg
9,9,After 7,Can't Stop,11,13,NA,NA,NA,NA,after-7-zay-53x53.jpg
10,1,Nelson,(Can't Live Without Your) Love And Affection,6,16,NA,NA,NA,NA,nelson-53x53.jpg
11,11,INXS,Suicide Blonde,13,7,NA,NA,NA,NA,inxs-ug5-53x53.jpg
12,12,Mariah Carey,Love Takes Time,19,6,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
13,13,The Righteous Brothers,Unchained Melody,15,9,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
14,4,Phil Collins,Something Happened On The Way To Heaven,8,12,NA,NA,NA,NA,phil-collins-53x53.jpg
15,15,Depeche Mode,Policy Of Truth,18,11,NA,NA,NA,NA,depeche-mode-53x53.jpg
16,16,M.C. Hammer,Pray,28,4,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
17,17,Warrant,Cherry Pie,22,7,NA,NA,NA,NA,warrant-53x53.jpg
18,18,Alias,More Than Words Can Say,26,7,NA,NA,NA,NA,alias-p5m-53x53.jpg
19,19,Tony Toni Tone,Feels Good,25,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
20,20,Slaughter, Fly To the Angels,23,10,NA,NA,NA,NA,slaughter-53x53.jpg
21,21,Breathe,Say A Prayer,24,9,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
22,8,Paul Young,Oh Girl,10,15,NA,NA,NA,NA,paul-young-mlj-53x53.jpg
23,3,Bell Biv DeVoe,Do Me! ,17,17,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
24,1,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",16,14,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
25,25,The Righteous Brothers,Unchained Melody,30,3,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
26,26,Candyman,Knockin' Boots,31,8,NA,NA,NA,NA,candyman-b0u-53x53.jpg
27,10,Johnny Gill,"My, My, My",14,12,NA,NA,NA,NA,johnny-gill-53x53.jpg
28,21,Lisa Stansfield,This Is The Right Time,21,10,NA,NA,NA,NA,lisa-stansfield-yvw-53x53.jpg
29,29,Concrete Blonde,Joey,33,10,NA,NA,NA,NA,concrete-blonde-91p-53x53.jpg
30,29,The Boys ,Crazy,29,9,NA,NA,NA,NA,the-boys-xqd-53x53.jpg
31,1,Wilson Phillips,Release Me,20,17,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
32,32,Poison,Something To Believe In,47,3,NA,NA,NA,NA,poison-53x53.jpg
33,33,Deee-Lite,Groove Is In The Heart,41,6,NA,NA,NA,NA,deee-lite-fnz-53x53.jpg
34,34,Daryl Hall John Oates, So Close,42,4,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
35,35,Snap!,Ooops Up,40,7,NA,NA,NA,NA,snap-71d-53x53.jpg
36,36,Soho,Hippychick,45,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
37,37,Heart,Stranded,46,5,NA,NA,NA,NA,heart-2lh-53x53.jpg
38,12,Taylor Dayne,Heart Of Stone ,27,12,NA,NA,NA,NA,taylor-dayne-j3h-53x53.jpg
39,14,Kyper,Tic-Tac-Toe,34,17,NA,NA,NA,NA,kyper-4ia-53x53.jpg
40,40,Bette Midler,From A Distance,53,3,NA,NA,NA,NA,bette-midler-2ui-53x53.jpg
41,38,En Vogue,Lies,38,9,NA,NA,NA,NA,en-vogue-ps1-53x53.jpg
42,NA,Whitney Houston,I'm Your Baby Tonight,NA,NA,NA,NA,NA,NA,whitney-houston-k4w-53x53.jpg
43,43,UB40,The Way You Do The Things You Do,52,6,NA,NA,NA,NA,ub40-53x53.jpg
44,44,David Cassidy,Lyin' To Myself,57,5,NA,NA,NA,NA,david-cassidy-s19-53x53.jpg
