rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Savage Garden,Truly Madly Deeply,NA,NA,2,NA,2WEEKS AT NO. 1,8WEEKS ON CHART
2,2,LeAnn Rimes,How Do I Live,4,32,NA,NA,NA,NA
3,2,Janet ,Together Again,2,6,NA,NA,NA,NA
4,2,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),Been Around The World,5,8,NA,NA,NA,NA
5,1,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,3,16,NA,NA,NA,NA
6,4,LSG,My Body,6,13,NA,NA,NA,NA
7,6,Chumbawamba,Tubthumping,8,20,NA,NA,NA,NA
8,7,Robyn,Show Me Love,9,11,NA,NA,NA,NA
9,NA,Usher,Nice & Slow,NA,NA,NA,NA,NA,NA
10,2,Usher,You Make Me Wanna...,7,23,NA,NA,NA,NA
11,11,Uncle Sam,I Don't Ever Want To See You Again,14,12,NA,NA,NA,NA
12,8,Boyz II Men,A Song For Mama,13,7,NA,NA,NA,NA
13,11,Paula Cole,I Don't Want To Wait,11,13,NA,NA,NA,NA
14,5,Mase,Feel So Good,10,13,NA,NA,NA,NA
15,15,Busta Rhymes,Dangerous,18,3,NA,NA,NA,NA
16,16,Third Eye Blind,How's It Going To Be,16,8,NA,NA,NA,NA
17,4,Somethin' For The People Featuring Trina & Tamara,My Love Is The Shhh!,12,22,NA,NA,NA,NA
18,18,Lisa Loeb, I Do,19,13,NA,NA,NA,NA
19,13,Dru Hill,We're Not Making Love No More,15,7,NA,NA,NA,NA
20,20,Destiny's Child,"No, No, No",21,9,NA,NA,NA,NA
21,9,Hanson,I Will Come To You,17,9,NA,NA,NA,NA
22,4,Third Eye Blind,Semi-Charmed Life,23,30,NA,NA,NA,NA
23,NA,Pearl Jam,Given To Fly,NA,NA,NA,NA,NA,NA
24,4,Allure Featuring 112,All Cried Out,22,22,NA,NA,NA,NA
25,2, Jewel,Foolish Games/You Were Meant For Me,25,61,NA,NA,NA,NA
26,26,Billie Myers,Kiss The Rain,35,12,NA,NA,NA,NA
27,2,Backstreet Boys,Quit Playing Games (With My Heart),26,31,NA,NA,NA,NA
28,28,Nu Flavor,Heaven,33,16,NA,NA,NA,NA
29,11,Sister Hazel,All For You,30,29,NA,NA,NA,NA
30,16,Next,Butta Love,27,21,NA,NA,NA,NA
31,9,Aaliyah, The One I Gave My Heart To,20,17,NA,NA,NA,NA
32,16,Total,What About Us,32,22,NA,NA,NA,NA
33,18,Spice Girls,Spice Up Your Life,24,12,NA,NA,NA,NA
