rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Will Smith,Gettin' Jiggy Wit It,NA,NA,2,NA,2 WEEKS AT NO. 1,4WEEKS ON CHART
2,1,Usher,Nice & Slow,3,9,NA,NA,NA,NA
3,1,Celine Dion,My Heart Will Go On,2,4,NA,NA,NA,NA
4,4,Destiny's Child,"No, No, No",4,17,NA,NA,NA,NA
5,1,Savage Garden,Truly Madly Deeply,5,16,NA,NA,NA,NA
6,6,Mase Featuring Total,What You Want,8,8,NA,NA,NA,NA
7,7,Wyclef Jean,Gone Till November,9,7,NA,NA,NA,NA
8,NA,Madonna,Frozen,NA,NA,NA,NA,NA,NA
9,1,Janet,Together Again,7,14,NA,NA,NA,NA
10,6,K.P. & Envyi,Swing My Way,6,13,NA,NA,NA,NA
11,11, Lord Tariq & Peter Gunz,Deja Vu [Uptown Baby],12,15,NA,NA,NA,NA
12,2,LeAnn Rimes,How Do I Live,10,40,NA,NA,NA,NA
13,13,Next,Too Close,14,6,NA,NA,NA,NA
14,14,Public Announcement,Body Bumpin' Yippie-Yi-Yo,17,5,NA,NA,NA,NA
15,13,Jimmy Ray,Are You Jimmy Ray?,13,5,NA,NA,NA,NA
16,6,Uncle Sam,I Don't Ever Want To See You Again,11,20,NA,NA,NA,NA
17,17,'N Sync,I Want You Back,23,3,NA,NA,NA,NA
18,18,Loreena McKennitt,The Mummers' Dance,19,3,NA,NA,NA,NA
19,9,Third Eye Blind,How's It Going To Be,18,16,NA,NA,NA,NA
20,20,Shania Twain,You're Still The One,24,6,NA,NA,NA,NA
21,11,Paula Cole,I Don't Want To Wait,21,21,NA,NA,NA,NA
22,15,Billie Myers, Kiss The Rain,22,20,NA,NA,NA,NA
23,2,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),Been Around The World,16,16,NA,NA,NA,NA
24,9,Spice Girls,Too Much,15,6,NA,NA,NA,NA
25,7,Boyz II Men,A Song For Mama,20,15,NA,NA,NA,NA
26,26,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",Make Em' Say Uhh!,26,8,NA,NA,NA,NA
27,NA,2Pac Featuring Eric Williams,Do For Love,NA,NA,NA,NA,NA,NA
28,2,Usher,You Make Me Wanna...,25,31,NA,NA,NA,NA
29,29,Sylk-E. Fyne Featuring Chill,Romeo And Juliet,33,6,NA,NA,NA,NA
30,30,JD Featuring Da Brat,The Party Continues,34,3,NA,NA,NA,NA
31,27,Aerosmith,Pink,27,4,NA,NA,NA,NA
32,1,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,28,24,NA,NA,NA,NA
33,7,Robyn,Show Me Love,30,19,NA,NA,NA,NA
34,34,Aretha Franklin,A Rose Is Still A Rose,43,2,NA,NA,NA,NA
35,25,INOJ/LATHUN,Love You Down,29,7,NA,NA,NA,NA
36,4,Third Eye Blind ,Semi-Charmed Life,37,38,NA,NA,NA,NA
37,18,LL Cool J,Father,31,8,NA,NA,NA,NA
38,6,Chumbawamba,Tubthumping,35,28,NA,NA,NA,NA
39,28,Queen Pen Featuring Eric Williams,All My Love,32,7,NA,NA,NA,NA
40,36,All Saints ,I Know Where It's At,36,8,NA,NA,NA,NA
41,17,Lisa Loeb,I Do,38,21,NA,NA,NA,NA
42,2,Backstreet Boys,Quit Playing Games (With My Heart),41,39,NA,NA,NA,NA
43,29,Jon B ,They Don't Know,46,8,NA,NA,NA,NA
44,11,Sister Hazel,All For You ,44,37,NA,NA,NA,NA
45,9,Busta Rhymes,Dangerous,40,11,NA,NA,NA,NA
46,46,DMX Featuring Sheek Of The Lox,Get At Me Dog,48,4,NA,NA,NA,NA
47,47,Somethin' For The People,All I Do,47,5,NA,NA,NA,NA
48,27,Nu Flavor,Heaven,42,24,NA,NA,NA,NA
49,30,The Lox,If You Think I'm Jiggy,39,7,NA,NA,NA,NA
50,NA,Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,Victory,NA,NA,NA,NA,NA,NA
51,21, Pearl Jam,Given To Fly,55,9,NA,NA,NA,NA
52,52,Jay-Z Featuring BLACKstreet,The City Is Mine,57,8,NA,NA,NA,NA
53,53,Smooth,Strawberries,58,5,NA,NA,NA,NA
54,28, Sarah McLachlan,Sweet Surrender,51,6,NA,NA,NA,NA
55,46,Meredith Brooks,What Would Happen,50,4,NA,NA,NA,NA
56,48,Blessid Union Of Souls,Light In Your Eyes,53,6,NA,NA,NA,NA
57,9,Hanson,I Will Come To You,54,17,NA,NA,NA,NA
58,31,Ol Skool [Featuring Keith Sweat & Xscape],Am I Dreaming,56,7,NA,NA,NA,NA
59,13,Dru Hill,We're Not Making Love No More,52,15,NA,NA,NA,NA
60,60,Jo Dee Messina,I'm Alright,61,2,NA,NA,NA,NA
61,52,Militia,Burn,60,11,NA,NA,NA,NA
62,62,Mya & Sisqo,It's All About Me,82,2,NA,NA,NA,NA
63,63,Montell Jordan Feat. Master P & Silkk The Shocker,Let's Ride,67,3,NA,NA,NA,NA
64,64,Keith Washington,Bring It On ,64,3,NA,NA,NA,NA
65,37,Alana Davis,32 Flavors,62,16,NA,NA,NA,NA
