rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Madonna,Take A Bow,NA,NA,NA,2,2LAST WEEK ,11WEEKS ON CHART
2,1,TLC,Creep,1,16,NA,NA,NA,NA
3,1,Boyz II Men,On Bended Knee,3,15,NA,NA,NA,NA
4,3,Real McCoy,Another Night,4,27,NA,NA,NA,NA
5,5,Brandy,Baby,5,4,NA,NA,NA,NA
6,6,Soul For Real,Candy Rain,7,8,NA,NA,NA,NA
7,6,Des'ree,You Gotta Be,6,26,NA,NA,NA,NA
8,8,Brownstone,If You Love Me,11,12,NA,NA,NA,NA
9,8,4PM,Sukiyaki,9,24,NA,NA,NA,NA
10,10,Hootie & The Blowfish,Hold My Hand,10,21,NA,NA,NA,NA
11,4,Bon Jovi,Always,8,22,NA,NA,NA,NA
12,12,Sheryl Crow,Strong Enough,16,9,NA,NA,NA,NA
13,13,The Notorious B.I.G.,Big Poppa/Warning,17,7,NA,NA,NA,NA
14,13,Tom Petty,You Don't Know How It Feels,15,13,NA,NA,NA,NA
15,7,BLACKstreet,Before I Let You Go,12,19,NA,NA,NA,NA
16,11,Corona ,The Rhythm Of The Night,13,16,NA,NA,NA,NA
17,8,Melissa Etheridge,I'm The Only One,14,30,NA,NA,NA,NA
18,18,K-Ci Hailey,If You Think You're Lonely Now,52,2,NA,NA,NA,NA
19,19,Dionne Farris,I Know,27,5,NA,NA,NA,NA
20,20,Jade,Every Day Of The Week,21,14,NA,NA,NA,NA
21,16,Immature,Constantly,19,14,NA,NA,NA,NA
22,22,Melissa Etheridge,Like The Way I Do/If I Wanted To,25,2,NA,NA,NA,NA
23,18,Vanessa Williams,The Sweetest Days,20,16,NA,NA,NA,NA
24,1,Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")",18,24,NA,NA,NA,NA
25,25,Subway (Featuring 702),This Lil' Game We Play,36,4,NA,NA,NA,NA
26,26,Martin Page,In The House Of Stone And Light,29,11,NA,NA,NA,NA
27,22,N2U,I Miss You,22,13,NA,NA,NA,NA
28,6,Brandy,I Wanna Be Down,24,22,NA,NA,NA,NA
29,19,R.E.M.,Bang And Blame,23,6,NA,NA,NA,NA
30,1,Boyz II Men,I'll Make Love To You,26,29,NA,NA,NA,NA
31,31,Gloria Estefan,Everlasting Love,39,5,NA,NA,NA,NA
32,32,Adina Howard,Freak Like Me,44,3,NA,NA,NA,NA
33,29,Jon Secada,Mental Picture,32,14,NA,NA,NA,NA
34,14,20 Fingers Featuring Gillette,Short Dick Man,31,25,NA,NA,NA,NA
35,8,Janet Jackson,You Want This/70's Love Groove,28,19,NA,NA,NA,NA
36,8,69 Boyz,Tootsee Roll,30,34,NA,NA,NA,NA
37,37,Amy Grant With Vince Gill,House Of Love,37,14,NA,NA,NA,NA
38,11,Crystal Waters,100% Pure Love,34,40,NA,NA,NA,NA
39,2,Sheryl Crow,All I Wanna Do,35,30,NA,NA,NA,NA
40,16,Pretenders,I'll Stand By You,33,29,NA,NA,NA,NA
41,38,Andru Donalds,Mishale,41,12,NA,NA,NA,NA
42,3,Madonna,Secret,40,21,NA,NA,NA,NA
43,43,Craig Mack,Get Down,45,9,NA,NA,NA,NA
44,44,2 Unlimited ,Get Ready For This,46,24,NA,NA,NA,NA
45,13,Gloria Estefan,"Turn The Beat Around (From ""The Specialist"")",38,23,NA,NA,NA,NA
46,46,Jamie Walters,Hold On,54,5,NA,NA,NA,NA
