rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Mariah Carey,Vision Of Love,NA,NA,4,NA,4WEEKS AT NO. 1,13WEEKS ON CHART
2,2,Janet Jackson,Come Back To Me,2,9,NA,NA,NA,NA
3,3,Sweet Sensation,If Wishes Came True,3,11,NA,NA,NA,NA
4,4,Poison,Unskinny Bop,5,8,NA,NA,NA,NA
5,5, Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",6,6,NA,NA,NA,NA
6,6,Wilson Phillips,Release Me,12,9,NA,NA,NA,NA
7,7,Bell Biv DeVoe,Do Me!,7,9,NA,NA,NA,NA
8,8,M.C. Hammer,Have You Seen Her,8,9,NA,NA,NA,NA
9,9,The Time,Jerk Out,11,9,NA,NA,NA,NA
10,10,Faith No More,Epic,13,10,NA,NA,NA,NA
11,11,Seduction,Could This Be Love,14,12,NA,NA,NA,NA
12,2,Snap!,The Power,4,16,NA,NA,NA,NA
13,13,New Kids On The Block,Tonight,19,4,NA,NA,NA,NA
14,2,Billy Idol,"Cradle Of Love (From ""Ford Fairlane"")",9,17,NA,NA,NA,NA
15,15,Nelson,(Can't Live Without Your) Love And Affection,25,8,NA,NA,NA,NA
16,14,Keith Sweat,Make You Sweat,16,13,NA,NA,NA,NA
17,8,Go West,"King Of Wishful Thinking (From ""Pretty Woman"")",10,15,NA,NA,NA,NA
18,18,Prince,Thieves In The Temple ,28,4,NA,NA,NA,NA
19,19,Kyper,Tic-Tac-Toe,26,9,NA,NA,NA,NA
20,20,Luke Featuring The 2 Live Crew,Banned In The U.S.A.,20,6,NA,NA,NA,NA
21,21,Stevie B,Love And Emotion,24,9,NA,NA,NA,NA
22,18,Bruce Hornsby & The Range,Across The River,18,10,NA,NA,NA,NA
23,22,Aerosmith,The Other Side,22,10,NA,NA,NA,NA
24,3,Johnny Gill,Rub You The Right Way,15,16,NA,NA,NA,NA
25,25, Maxi Priest,Close To You,32,9,NA,NA,NA,NA
26,26,Cheap Trick,Can't Stop Falling Into Love,36,6,NA,NA,NA,NA
27,27,Brother Beyond,The Girl I Used To Know,31,10,NA,NA,NA,NA
28,28,Phil Collins,Something Happened On The Way To Heaven,37,4,NA,NA,NA,NA
29,23, Heart,I Didn't Want To Need You,23,10,NA,NA,NA,NA
30,21,Bad English,Possession,21,12,NA,NA,NA,NA
31,1,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,17,15,NA,NA,NA,NA
32,32, Johnny Gill,"My, My, My",38,4,NA,NA,NA,NA
33,2,En Vogue,Hold On,27,17,NA,NA,NA,NA
34,34,Paul Young,Oh Girl,39,7,NA,NA,NA,NA
35,35,Taylor Dayne,Heart Of Stone,40,4,NA,NA,NA,NA
36,14, Mellow Man Ace,Mentirosa,34,16,NA,NA,NA,NA
37,35,The West Coast Rap All-Stars,We're All In the Same Gang,35,10,NA,NA,NA,NA
38,38,After 7,Can't Stop,45,5,NA,NA,NA,NA
39,6,Tyler Collins,Girls Nite Out,29,18,NA,NA,NA,NA
40,40, The Adventures Of Stevie V,Dirty Cash (Money Talks),50,6,NA,NA,NA,NA
41,41,Depeche Mode,Policy Of Truth,59,3,NA,NA,NA,NA
42,42,Dino,Romeo,53,3,NA,NA,NA,NA
43,43,Indecent Obsession,Tell Me Something,51,5,NA,NA,NA,NA
44,7,Michael Bolton,When I'm Back On My Feet Again,33,14,NA,NA,NA,NA
45,45,Kid Frost,La Raza,48,8,NA,NA,NA,NA
46,46,Black Box,Everybody Everybody,57,4,NA,NA,NA,NA
47,30,Babyface,My Kinda Girl ,30,11,NA,NA,NA,NA
48,48,Don Henley,How Bad Do You Want It?,54,8,NA,NA,NA,NA
49,47,Troop,All I Do Is Think Of You,47,8,NA,NA,NA,NA
50,50,Lisa Stansfield,This Is The Right Time,69,2,NA,NA,NA,NA
51,8,Depeche Mode,Enjoy The Silence,41,20,NA,NA,NA,NA
52,52,St. Paul,Stranger To Love,52,8,NA,NA,NA,NA
53,44,Gloria Estefan,Cuts Both Ways,44,9,NA,NA,NA,NA
54,54,James Ingram ,I Don't Have The Heart,70,4,NA,NA,NA,NA
55,1,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",42,21,NA,NA,NA,NA
56,56,Doc Box & B. Fresh,Slow Love,61,6,NA,NA,NA,NA
57,57,Jude Cole,Time For Letting Go,65,4,NA,NA,NA,NA
58,58,Pebbles ,Giving You The Benefit,76,2,NA,NA,NA,NA
59,1,Madonna,Vogue,58,20,NA,NA,NA,NA
60,60,Winger,Can't Get Enuff,66,5,NA,NA,NA,NA
61,NA,The Boys,Crazy,NA,NA,NA,NA,NA,NA
62,19,Motley Crue,Don't Go Away Mad (Just Go Away),46,13,NA,NA,NA,NA
63,63,"Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,72,2,NA,NA,NA,NA
64,64,The Whispers,Innocent,73,4,NA,NA,NA,NA
65,3,Bell Biv DeVoe,Poison,49,21,NA,NA,NA,NA
66,1,New Kids On The Block,Step By Step,55,14,NA,NA,NA,NA
67,44,Anita Baker,Talk To Me,56,10,NA,NA,NA,NA
68,10,Madonna,Hanky Panky,43,9,NA,NA,NA,NA
69,69,Vixen,How Much Love,84,3,NA,NA,NA,NA
70,4,Taylor Dayne,I'll Be Your Shelter,60,17,NA,NA,NA,NA
71,71,TKA,I Won't Give Up On You,78,3,NA,NA,NA,NA
72,NA,Michael Bolton,Georgia On My Mind,NA,NA,NA,NA,NA,NA
73,73,Favorite Angel,Only Women Bleed,82,3,NA,NA,NA,NA
74,72,The Party,Summer Vacation,74,6,NA,NA,NA,NA
75,NA,Breathe,Say A Prayer,NA,NA,NA,NA,NA,NA
76,63,Calloway,All The Way,63,6,NA,NA,NA,NA
77,77,Billy Joel,That's Not Her Style,77,4,NA,NA,NA,NA
78,NA,The Righteous Brothers,Unchained Melody,NA,NA,NA,NA,NA,NA
79,4,Phil Collins,Do You Remember?,67,18,NA,NA,NA,NA
80,80,Slaughter,Fly To the Angels,97,2,NA,NA,NA,NA
81,81,Tiana,First True Love,81,7,NA,NA,NA,NA
82,NA,En Vogue,Lies,NA,NA,NA,NA,NA,NA
83,25,George LaMond,Bad Of The Heart,62,16,NA,NA,NA,NA
84,84,George LaMond,Look Into My Eyes,99,2,NA,NA,NA,NA
85,1,Wilson Phillips,Hold On,71,24,NA,NA,NA,NA
86,86,Louie Louie,I Wanna Get Back With You,94,2,NA,NA,NA,NA
87,75,Chicago,"Hearts In Trouble (From ""Days Of Thunder"")",75,5,NA,NA,NA,NA
88,88,Gene Loves Jezebel,Jealous,95,2,NA,NA,NA,NA
89,89,Concrete Blonde ,Joey,98,2,NA,NA,NA,NA
90,54,Seiko & Donnie Wahlberg,The Right Combination,80,11,NA,NA,NA,NA
91,33,L.A. Guns,The Ballad Of Jayne,89,21,NA,NA,NA,NA
92,70,Linear,Don't You Come Cryin',86,7,NA,NA,NA,NA
93,NA,Tricia Leigh Fisher,Empty Beach,NA,NA,NA,NA,NA,NA
94,76,Modern English,I Melt With You,85,17,NA,NA,NA,NA
95,14,Lisa Stansfield,You Can't Deny It,68,14,NA,NA,NA,NA
96,NA,Sydney Youngblood,I'd Rather Go Blind,NA,NA,NA,NA,NA,NA
97,49,Danger Danger,Bang Bang,79,13,NA,NA,NA,NA
98,NA,Beats International,Won't Talk About It,NA,NA,NA,NA,NA,NA
99,78,Jimmy Ryser,Same Old Look,90,7,NA,NA,NA,NA
100,31,Lightning Seeds,Pure,64,15,NA,NA,NA,NA
