rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Janet Jackson,That's The Way Love Goes,NA,NA,7,NA,7WEEKS AT NO. 1,9WEEKS ON CHART
2,2,SWV,Weak,2,10,NA,NA,NA,NA
3,3,H-Town,Knockin' Da Boots,3,12,NA,NA,NA,NA
4,1,Silk,Freak Me,4,19,NA,NA,NA,NA
5,5,Rod Stewart,Have I Told You Lately,5,10,NA,NA,NA,NA
6,5, Robin S.,Show Me Love,6,13,NA,NA,NA,NA
7,7,Duran Duran,Come Undone,7,11,NA,NA,NA,NA
8,8,Tag Team,Whoomp! (There It Is),15,5,NA,NA,NA,NA
9,9,Dr. Dre,Dre Day,11,7,NA,NA,NA,NA
10,8,Inner Circle,"Bad Boys (Theme From ""Cops"")",8,9,NA,NA,NA,NA
11,11,Expose,I'll Never Get Over You (Getting Over Me),12,14,NA,NA,NA,NA
12,6,P.M. Dawn,Looking Through Patient Eyes,9,15,NA,NA,NA,NA
13,13,UB40,"Can't Help Falling In Love (From ""Sliver"")",18,7,NA,NA,NA,NA
14,6,SWV,I'm So Into You,10,21,NA,NA,NA,NA
15,15,Duice,Dazzey Duks,17,25,NA,NA,NA,NA
16,2,Dr. Dre,"Nuthin' But A ""G"" Thang",13,22,NA,NA,NA,NA
17,17,Captain Hollywood Project,More And More,19,9,NA,NA,NA,NA
18,3,Vanessa Williams/Brian McKnight,"Love Is (From ""Beverly Hills, 90210"")",14,23,NA,NA,NA,NA
19,19,Snow,"Girl, I've Been Hurt",22,7,NA,NA,NA,NA
20,20,4 Non Blondes,What's Up,25,10,NA,NA,NA,NA
21,4,Jade,Don't Walk Away,16,28,NA,NA,NA,NA
22,22,Jodeci,Lately,32,3,NA,NA,NA,NA
23,23,95 South,"Whoot, There It Is",35,9,NA,NA,NA,NA
24,10,Paperboy,Ditty,20,28,NA,NA,NA,NA
25,17,Green Jelly,Three Little Pigs,21,14,NA,NA,NA,NA
26,26,Taylor Dayne,Can't Get Enough Of Your Love,27,4,NA,NA,NA,NA
27,20,Stereo MC's,Connected,24,14,NA,NA,NA,NA
28,18,Aerosmith,Livin' On The Edge,23,12,NA,NA,NA,NA
29,27,Bon Jovi,In These Arms,29,8,NA,NA,NA,NA
30,30,Onyx,Slam,45,5,NA,NA,NA,NA
31,31,New Order,Regret,31,9,NA,NA,NA,NA
32,7,Spin Doctors ,Two Princes,26,22,NA,NA,NA,NA
33,28,Jeremy Jordan,Wannagirl,28,9,NA,NA,NA,NA
34,34,Tony Toni Tone,If I Had No Loot,48,3,NA,NA,NA,NA
35,15,Ice Cube,It Was A Good Day,30,17,NA,NA,NA,NA
36,36,Kenny G With Peabo Bryson,By The Time This Night Is Over,40,6,NA,NA,NA,NA
37,18,Jon Secada,Angel,37,22,NA,NA,NA,NA
38,32,Tasmin Archer,Sleeping Satellite,34,11,NA,NA,NA,NA
39,39,The Proclaimers,I'm Gonna Be (500 Miles),73,3,NA,NA,NA,NA
40,10,Shai,Comforter,38,23,NA,NA,NA,NA
41,41,Tina Turner,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",58,5,NA,NA,NA,NA
42,4,Whitney Houston,I Have Nothing,33,18,NA,NA,NA,NA
43,8,Naughty By Nature,Hip Hop Hooray,36,22,NA,NA,NA,NA
44,44,Mary J. Blige,Love No Limit,47,7,NA,NA,NA,NA
45,45,Clint Black With Wynonna,A Bad Goodbye,59,3,NA,NA,NA,NA
46,46,David Crosby & Phil Collins,Hero,50,8,NA,NA,NA,NA
47,47, Shai,Baby I'm Yours,54,4,NA,NA,NA,NA
48,47,Bizarre Inc,I'm Gonna Get You,49,23,NA,NA,NA,NA
49,31,R. Kelly & Public Announcement,Dedicated,44,18,NA,NA,NA,NA
50,14,Michael Jackson,Who Is It,39,12,NA,NA,NA,NA
51,40,Geto Boys,Six Feet Deep,42,8,NA,NA,NA,NA
52,1,Snow,Informer,41,25,NA,NA,NA,NA
53,53,Brian McKnight ,One Last Cry,69,3,NA,NA,NA,NA
54,52,The Pharcyde,Passin' Me By,52,9,NA,NA,NA,NA
55,19,Joey Lawrence,Nothin' My Love Can't Fix,43,17,NA,NA,NA,NA
56,56,Sting,Fields Of Gold,66,4,NA,NA,NA,NA
57,57,Soul Asylum,Runaway Train,71,3,NA,NA,NA,NA
58,58,LL Cool J,Back Seat (Of My Jeep),96,2,NA,NA,NA,NA
59,30,George Michael & Queen,Somebody To Love ,46,7,NA,NA,NA,NA
60,56,Johnny Gill,The Floor,56,6,NA,NA,NA,NA
61,61,U.N.V.,Something's Goin' On,68,4,NA,NA,NA,NA
62,62,Jade,One Woman,64,4,NA,NA,NA,NA
63,51,Big Mountain,Touch My Light,51,12,NA,NA,NA,NA
64,64,Boy Krazy,Good Times With Bad Boys,67,5,NA,NA,NA,NA
