rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,All-4-One,I Swear,NA,NA,5,NA,5WEEKS AT NO. 1,9WEEKS ON CHART
2,2,Madonna,"I'll Remember (From ""With Honors"")",2,12,NA,NA,NA,NA
3,3,Janet Jackson,"Any Time, Any Place/And On And On",3,4,NA,NA,NA,NA
4,4,Ace Of Base,Don't Turn Around,6,7,NA,NA,NA,NA
5,4,Warren G & Nate Dogg,"Regulate (From ""Above The Rim"")",4,9,NA,NA,NA,NA
6,6,Aaliyah,Back & Forth,10,8,NA,NA,NA,NA
7,7,Toni Braxton,You Mean The World To Me,9,12,NA,NA,NA,NA
8,1,Ace Of Base,The Sign,5,25,NA,NA,NA,NA
9,6,Big Mountain,"Baby I Love Your Way (From ""Reality Bites"")",7,17,NA,NA,NA,NA
10,3,Prince,The Most Beautiful Girl In The World,8,16,NA,NA,NA,NA
11,4,Enigma,Return To Innocence,11,16,NA,NA,NA,NA
12,12,Jon Secada,If You Go,12,7,NA,NA,NA,NA
13,13,R. Kelly,Your Body's Callin',13,6,NA,NA,NA,NA
14,14,Lisa Loeb & Nine Stories,"Stay (I Missed You) (From ""Reality Bites"")",16,7,NA,NA,NA,NA
15,15,Mariah Carey,Anytime You Need A Friend,20,4,NA,NA,NA,NA
16,9,Tevin Campbell,I'm Ready,14,15,NA,NA,NA,NA
17,17,Tim McGraw,Don't Take The Girl,17,5,NA,NA,NA,NA
18,18,Elton John,"Can You Feel The Love Tonight (From ""The Lion King"")",21,5,NA,NA,NA,NA
19,18,SWV,"Anything (From ""Above The Rim"")",18,11,NA,NA,NA,NA
20,1,R. Kelly,Bump N' Grind,15,20,NA,NA,NA,NA
21,21,Collective Soul,Shine,27,7,NA,NA,NA,NA
22,19,Joshua Kadison,Beautiful In My Eyes,19,10,NA,NA,NA,NA
23,23,Celine Dion,Misled,28,8,NA,NA,NA,NA
24,22, General Public,"I'll Take You There (From ""Threesome"")",26,11,NA,NA,NA,NA
25,20,Heavy D & The Boyz,Got Me Waiting,30,13,NA,NA,NA,NA
26,26,Da Brat,Funkdafied,43,3,NA,NA,NA,NA
27,27,Aaron Hall ,I Miss You,41,6,NA,NA,NA,NA
28,1,Celine Dion,The Power Of Love,25,30,NA,NA,NA,NA
29,4,Crash Test Dummies,Mmm Mmm Mmm Mmm,24,21,NA,NA,NA,NA
30,10,Beck,Loser,23,21,NA,NA,NA,NA
31,3,Salt-N-Pepa Featuring En Vogue,Whatta Man,31,22,NA,NA,NA,NA
32,32,Erasure,Always,34,8,NA,NA,NA,NA
33,7,Richard Marx,Now And Forever,22,22,NA,NA,NA,NA
34,27, Domino,Sweet Potatoe Pie,32,11,NA,NA,NA,NA
35,35,Melissa Etheridge,Come To My Window,35,17,NA,NA,NA,NA
36,3,Mariah Carey,Without You/Never Forget You,29,21,NA,NA,NA,NA
37,37,M People,Moving On Up,42,7,NA,NA,NA,NA
38,38,Aerosmith,Crazy,45,5,NA,NA,NA,NA
39,26,M.C. Hammer,Pumps And A Bump,37,13,NA,NA,NA,NA
40,40,John Mellencamp With Me'Shell Ndegeocello,Wild Night,51,4,NA,NA,NA,NA
41,38,Meat Loaf,Objects In The Rear View Mirror May Appear Closer Than...,38,6,NA,NA,NA,NA
42,33,The B.C. 52's,"(Meet) The Flintstones (From ""The Flintstones"")",33,5,NA,NA,NA,NA
43,19,Bonnie Raitt,Love Sneakin' Up On You,40,15,NA,NA,NA,NA
44,44,Ahmad,Back In The Day,61,4,NA,NA,NA,NA
45,25,Gin Blossoms,Found Out About You,46,31,NA,NA,NA,NA
46,46,Aretha Franklin,Willing To Forgive,60,6,NA,NA,NA,NA
47,47,Arrested Development,Ease My Mind,47,6,NA,NA,NA,NA
48,48,Huey Lewis & The News,(She's) Some Kind Of Wonderful,48,6,NA,NA,NA,NA
49,46,Xscape ,Love On My Mind,57,9,NA,NA,NA,NA
50,50,Coolio,Fantastic Voyage,63,3,NA,NA,NA,NA
51,9,Bruce Springsteen ,"Streets Of Philadelphia (From ""Philadelphia"")",36,18,NA,NA,NA,NA
52,52,Zhane,Sending My Love,59,5,NA,NA,NA,NA
53,21,Babyface,And Our Feelings,44,16,NA,NA,NA,NA
54,49,FRENTE!,Bizarre Love Triangle,50,9,NA,NA,NA,NA
55,42,The Cranberries ,Dreams,55,12,NA,NA,NA,NA
56,23,Masta Ace Incorporated,Born To Roll,56,15,NA,NA,NA,NA
57,57,Crystal Waters,100% Pure Love,67,4,NA,NA,NA,NA
58,30,Ice Cube,You Know How We Do It,54,19,NA,NA,NA,NA
