rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Mariah Carey & Boyz II Men,One Sweet Day,NA,NA,4,NA,4WEEKS AT NO. 1,4WEEKS ON CHART
2,1,Whitney Houston,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",2,5,NA,NA,NA,NA
3,3,LL Cool J,Hey Lover,3,6,NA,NA,NA,NA
4,1,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",5,19,NA,NA,NA,NA
5,1,Mariah Carey,Fantasy,4,13,NA,NA,NA,NA
6,6,TLC,Diggin' On You,7,6,NA,NA,NA,NA
7,NA,Pearl Jam,I Got Id/Long Road,NA,NA,NA,NA,NA,NA
8,8,Goo Goo Dolls,Name ,9,11,NA,NA,NA,NA
9,6,Madonna,You'll See,6,3,NA,NA,NA,NA
10,10,Deep Blue Something,Breakfast At Tiffany's,11,19,NA,NA,NA,NA
11,3,Janet Jackson,Runaway,10,15,NA,NA,NA,NA
12,12, Monica,Before You Walk Out Of My Life/Like This And Like That,14,10,NA,NA,NA,NA
13,4,R. Kelly,You Remind Me Of Something,8,6,NA,NA,NA,NA
14,14,Everything But The Girl,Missing,17,20,NA,NA,NA,NA
15,5,Groove Theory, Tell Me,13,18,NA,NA,NA,NA
16,16,Joan Osborne,One Of Us,18,3,NA,NA,NA,NA
17,15,Ace Of Base,Beautiful Life,15,7,NA,NA,NA,NA
18,7, Take That,Back For Good,12,20,NA,NA,NA,NA
19,6,Sophie B. Hawkins,As I Lay Me Down,16,30,NA,NA,NA,NA
20,6,Hootie & The Blowfish,Only Wanna Be With You,20,21,NA,NA,NA,NA
21,10,Natalie Merchant,Carnival,21,21,NA,NA,NA,NA
22,1,Seal,Kiss From A Rose ,23,27,NA,NA,NA,NA
23,8,Xscape,Who Can I Run To,22,11,NA,NA,NA,NA
24,10,Del Amitri,Roll To Me,24,25,NA,NA,NA,NA
25,13,Meat Loaf,I'd Lie For You (And That's The Truth),19,10,NA,NA,NA,NA
26,26,3T ,Anything,27,12,NA,NA,NA,NA
27,27,Hootie & The Blowfish,Time,31,7,NA,NA,NA,NA
28,25,The Smashing Pumpkins,Bullet With Butterfly Wings,25,7,NA,NA,NA,NA
29,29,Faith Evans,Soon As I Get Home,30,3,NA,NA,NA,NA
30,8,Blues Traveler,Run-Around,26,40,NA,NA,NA,NA
31,22,Selena,Dreaming Of You,28,9,NA,NA,NA,NA
32,32,Kris Kross,Tonite's Tha Night,36,3,NA,NA,NA,NA
33,33,La Bouche,Be My Lover,35,7,NA,NA,NA,NA
34,34,Elton John,Blessed,34,8,NA,NA,NA,NA
35,29,Planet Soul,Set U Free,29,10,NA,NA,NA,NA
36,33,Jodeci,Love U 4 Life,41,8,NA,NA,NA,NA
37,37,Coolio,Too Hot,38,3,NA,NA,NA,NA
38,20,Collective Soul,December,33,33,NA,NA,NA,NA
39,5,All-4-One,I Can Love You Like That,32,28,NA,NA,NA,NA
40,40,Collective Soul,The World I Know,42,6,NA,NA,NA,NA
41,41, Blues Traveler,Hook,44,12,NA,NA,NA,NA
42,42,Folk Implosion,"Natural One (From ""Kids"")",43,3,NA,NA,NA,NA
43,1,TLC,Waterfalls ,40,29,NA,NA,NA,NA
