rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Will Smith,Gettin' Jiggy Wit It,NA,NA,3,NA,3 WEEKS AT NO. 1,5WEEKS ON CHART
2,1,Usher,Nice & Slow,2,10,NA,NA,NA,NA
3,3,Destiny's Child,"No, No, No",4,18,NA,NA,NA,NA
4,1,Celine Dion ,My Heart Will Go On,3,5,NA,NA,NA,NA
5,5,Madonna,Frozen,8,2,NA,NA,NA,NA
6,1,Savage Garden,Truly Madly Deeply,5,17,NA,NA,NA,NA
7,7,Montell Jordan Feat. Master P & Silkk The Shocker,Let's Ride,63,4,NA,NA,NA,NA
8,7,Wyclef Jean,Gone Till November,7,8,NA,NA,NA,NA
9,9,Lord Tariq & Peter Gunz,Deja Vu [Uptown Baby],11,16,NA,NA,NA,NA
10,6,Mase Featuring Total,What You Want,6,9,NA,NA,NA,NA
11,11,Next,Too Close,13,7,NA,NA,NA,NA
12,12, Public Announcement,Body Bumpin' Yippie-Yi-Yo,14,6,NA,NA,NA,NA
13,NA,The Verve,Bitter Sweet Symphony,NA,NA,NA,NA,NA,NA
14,1,Janet,Together Again,9,15,NA,NA,NA,NA
15,NA,K-Ci & JoJo,All My Life,NA,NA,NA,NA,NA,NA
16,13,Jimmy Ray,Are You Jimmy Ray?,15,6,NA,NA,NA,NA
17,17, 'N Sync,I Want You Back,17,4,NA,NA,NA,NA
18,6,K.P. & Envyi,Swing My Way,10,14,NA,NA,NA,NA
19,19,Shania Twain,You're Still The One,20,7,NA,NA,NA,NA
20,2,LeAnn Rimes,How Do I Live,12,41,NA,NA,NA,NA
21,21,2Pac Featuring Eric Williams,Do For Love,27,2,NA,NA,NA,NA
22,22,Sylk-E. Fyne Featuring Chill,Romeo And Juliet,29,7,NA,NA,NA,NA
23,18,Loreena McKennitt,The Mummers' Dance,18,4,NA,NA,NA,NA
24,9,Third Eye Blind,How's It Going To Be,19,17,NA,NA,NA,NA
25,25,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",Make Em' Say Uhh!,26,9,NA,NA,NA,NA
