rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Mariah Carey,Love Takes Time,NA,NA,NA,3,3LAST WEEK,9WEEKS ON CHART,NA
2,2,M.C. Hammer,Pray,6,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
3,1,Vanilla Ice,Ice Ice Baby,1,10,NA,NA,NA,NA,vanilla-ice-1on-53x53.jpg
4,4,Pebbles,Giving You The Benefit,4,13,NA,NA,NA,NA,pebbles-xsh-53x53.jpg
5,1,James Ingram,I Don't Have The Heart,5,15,NA,NA,NA,NA,james-ingram-t1a-53x53.jpg
6,6,Alias,More Than Words Can Say,8,10,NA,NA,NA,NA,alias-p5m-53x53.jpg
7,1,Janet Jackson,Black Cat,2,9,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
8,8,Deee-Lite,Groove Is In The Heart,12,9,NA,NA,NA,NA,deee-lite-fnz-53x53.jpg
9,9,Candyman,Knockin' Boots,11,11,NA,NA,NA,NA,candyman-b0u-53x53.jpg
10,10,Poison,Something To Believe In,16,6,NA,NA,NA,NA,poison-53x53.jpg
11,10,Warrant,Cherry Pie,10,10,NA,NA,NA,NA,warrant-53x53.jpg
12,12,Tony Toni Tone,Feels Good,15,11,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
13,13,Whitney Houston,I'm Your Baby Tonight,18,4,NA,NA,NA,NA,whitney-houston-k4w-53x53.jpg
14,6,After 7,Can't Stop,7,16,NA,NA,NA,NA,after-7-zay-53x53.jpg
15,15,Stevie B,Because I Love You (The Postman Song),27,6,NA,NA,NA,NA,stevie-b-ir7-53x53.jpg
16,16,Bette Midler,From A Distance,24,6,NA,NA,NA,NA,bette-midler-2ui-53x53.jpg
17,1,Maxi Priest,Close To You,13,20,NA,NA,NA,NA,maxi-priest-myk-53x53.jpg
18,18,Daryl Hall John Oates,So Close,22,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
19,19,Concrete Blonde,Joey,21,13,NA,NA,NA,NA,concrete-blonde-91p-53x53.jpg
20,20,Soho,Hippychick,26,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
21,9,INXS,Suicide Blonde,9,10,NA,NA,NA,NA,inxs-ug5-53x53.jpg
22,19,The Righteous Brothers,Unchained Melody,19,6,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
23,23,Heart,Stranded,28,8,NA,NA,NA,NA,heart-2lh-53x53.jpg
24,24,UB40,The Way You Do The Things You Do,30,9,NA,NA,NA,NA,ub40-53x53.jpg
25,13,The Righteous Brothers,Unchained Melody,17,12,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
26,8,Black Box,Everybody Everybody,14,15,NA,NA,NA,NA,black-box-a2z-53x53.jpg
27,27,Wilson Phillips,Impulsive,31,5,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
28,28,Damn Yankees,High Enough,35,8,NA,NA,NA,NA,damn-yankees-yz7-53x53.jpg
29,29,David Cassidy ,Lyin' To Myself,34,8,NA,NA,NA,NA,david-cassidy-s19-53x53.jpg
30,30,2 In A Room,Wiggle It,46,6,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
31,31,DNA Featuring Suzanne Vega,Tom's Diner,38,6,NA,NA,NA,NA,dna-as0-53x53.jpg
32,32,The Human League,Heart Like A Wheel,37,8,NA,NA,NA,NA,the-human-league-2tr-53x53.jpg
33,33,George Michael, Freedom,39,3,NA,NA,NA,NA,george-michael-53x53.jpg
34,1,Nelson,(Can't Live Without Your) Love And Affection,25,19,NA,NA,NA,NA,nelson-53x53.jpg
35,35,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",41,3,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
36,1,George Michael,Praying For Time,20,11,NA,NA,NA,NA,george-michael-53x53.jpg
37,37,Bell Biv DeVoe,B.B.D. (I Thought It Was Me)?,43,5,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
38,38,Donny Osmond,My Love Is A Fire,40,5,NA,NA,NA,NA,donny-osmond-dfc-53x53.jpg
39,19,Slaughter,Fly To the Angels,29,13,NA,NA,NA,NA,slaughter-53x53.jpg
40,40,Information Society ,Think,42,6,NA,NA,NA,NA,information-society-6kt-53x53.jpg
41,6,Dino,Romeo,23,14,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
42,4,Phil Collins,Something Happened On The Way To Heaven,33,15,NA,NA,NA,NA,phil-collins-53x53.jpg
43,43,Winger ,Miles Away,49,5,NA,NA,NA,NA,winger-w6j-53x53.jpg
44,44,Steve Winwood,One And Only Man,55,2,NA,NA,NA,NA,steve-winwood-d4d-53x53.jpg
45,21,Breathe,Say A Prayer,32,12,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
46,3,Bell Biv DeVoe,Do Me!,36,20,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
47,47,Al B. Sure! ,Missunderstanding,50,5,NA,NA,NA,NA,al-b-sure-box-53x53.jpg
48,48,Ralph Tresvant,Sensitivity,64,2,NA,NA,NA,NA,ralph-tresvant-yiu-53x53.jpg
49,49,Elisa Fiorillo,On The Way Up,51,7,NA,NA,NA,NA,elisa-fiorillo-39c-53x53.jpg
