rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Snow,Informer,NA,NA,2,NA,2 WEEKS AT NO. 1,11WEEKS ON CHART
2,2,Dr. Dre,"Nuthin' But A ""G"" Thang",3,8,NA,NA,NA,NA
3,3,Silk,Freak Me,6,5,NA,NA,NA,NA
4,1,Peabo Bryson & Regina Belle,A Whole New World (Aladdin's Theme),2,14,NA,NA,NA,NA
5,4,Whitney Houston,"I'm Every Woman (From ""The Bodyguard"")",5,11,NA,NA,NA,NA
6,3,Duran Duran,Ordinary World,4,11,NA,NA,NA,NA
7,7,Jade,Don't Walk Away,9,14,NA,NA,NA,NA
8,6,Arrested Development,Mr. Wendal,8,14,NA,NA,NA,NA
9,9,Whitney Houston,I Have Nothing,11,4,NA,NA,NA,NA
10,10,Bon Jovi,Bed Of Roses,10,9,NA,NA,NA,NA
11,1,Whitney Houston,I Will Always Love You,7,19,NA,NA,NA,NA
12,8,Naughty By Nature,Hip Hop Hooray,12,8,NA,NA,NA,NA
13,13,Shai,Comforter,15,9,NA,NA,NA,NA
14,14,Positive K, I Got A Man,19,14,NA,NA,NA,NA
15,15,Spin Doctors,Two Princes,16,8,NA,NA,NA,NA
16,16,Jeremy Jordan,"The Right Kind Of Love (From ""Beverly Hills, 90210"")",20,15,NA,NA,NA,NA
17,17,Ugly Kid Joe,Cat's In The Cradle,25,6,NA,NA,NA,NA
18,18,Kenny G,Forever In Love,22,14,NA,NA,NA,NA
19,18,Boy Krazy,That's What Love Can Do,18,9,NA,NA,NA,NA
20,7,Prince And The New Power Generation,7,13,17,NA,NA,NA,NA
21,11,Portrait,Here We Go Again!,14,19,NA,NA,NA,NA
22,22,Paperboy,Ditty,23,14,NA,NA,NA,NA
23,23,SWV,I'm So Into You,26,7,NA,NA,NA,NA
24,14,Bobby Brown,Get Away,17,10,NA,NA,NA,NA
25,25,Vanessa Williams/Brian McKnight,"Love Is (From ""Beverly Hills, 90210"")",30,9,NA,NA,NA,NA
26,15,Digable Planets,Rebirth Of Slick (Cool Like Dat),21,10,NA,NA,NA,NA
27,27,Michael Jackson ,Heal The World,28,15,NA,NA,NA,NA
28,28,Jon Secada,Angel,33,8,NA,NA,NA,NA
29,28,Mary J. Blige,Sweet Thing,29,6,NA,NA,NA,NA
30,30,TLC,Hat 2 Da Back,34,7,NA,NA,NA,NA
31,4,Shanice,"Saving Forever For You (From ""Beverly Hills, 90210"")",24,22,NA,NA,NA,NA
32,2,Shai,If I Ever Fall In Love,27,23,NA,NA,NA,NA
33,33,R.E.M. ,Man On The Moon,36,7,NA,NA,NA,NA
34,5,Snap!,Rhythm Is A Dancer,32,32,NA,NA,NA,NA
35,35,Sting,If I Ever Lose My Faith In You,42,5,NA,NA,NA,NA
36,2, Wreckx-N-Effect,Rump Shaker,35,25,NA,NA,NA,NA
37,3,Boyz II Men,"In The Still Of The Nite (From ""The Jacksons"")",31,17,NA,NA,NA,NA
38,38,Ice Cube,It Was A Good Day,51,3,NA,NA,NA,NA
39,39,Madonna,Bad Girl,43,5,NA,NA,NA,NA
40,40,Joey Lawrence,Nothin' My Love Can't Fix,56,3,NA,NA,NA,NA
41,13,Jon Secada,Do You Believe In Us,40,26,NA,NA,NA,NA
42,37,Depeche Mode,I Feel You,37,3,NA,NA,NA,NA
43,15,En Vogue,"Give It Up, Turn It Loose",39,16,NA,NA,NA,NA
44,44,Duice,Dazzey Duks,46,11,NA,NA,NA,NA
45,7, Bobby Brown,Good Enough,38,23,NA,NA,NA,NA
46,46,Men At Large,So Alone,61,5,NA,NA,NA,NA
47,3,P.M. Dawn,"I'd Die Without You (From ""Boomerang"")",41,28,NA,NA,NA,NA
48,48,Bizarre Inc,I'm Gonna Get You,52,9,NA,NA,NA,NA
49,7,Mary J. Blige,Real Love,47,30,NA,NA,NA,NA
50,50,Elton John,Simple Life,58,4,NA,NA,NA,NA
51,51,RuPaul,Supermodel (You Better Work),55,6,NA,NA,NA,NA
52,49,Annie Lennox,Little Bird,49,9,NA,NA,NA,NA
53,37,Father M.C.,Everything's Gonna Be Alright,54,16,NA,NA,NA,NA
54,54,Gloria Estefan, I See Your Smile,59,5,NA,NA,NA,NA
55,NA,P.M. Dawn,Looking Through Patient Eyes,NA,NA,NA,NA,NA,NA
56,11,Restless Heart,When She Cries,48,19,NA,NA,NA,NA
57,57,Boy George,"The Crying Game (From ""The Crying Game"")",70,2,NA,NA,NA,NA
58,18,Toad The Wet Sprocket,Walk On The Ocean,45,19,NA,NA,NA,NA
59,59,INXS,Beautiful Girl,62,5,NA,NA,NA,NA
60,14,Go West ,Faithful,53,20,NA,NA,NA,NA
61,33,Patty Smyth,No Mistakes,44,13,NA,NA,NA,NA
62,62,Sunscreem,Love U More,66,4,NA,NA,NA,NA
63,50,Poison,Stand ,50,8,NA,NA,NA,NA
64,57,Jude Cole,Tell The Truth,57,9,NA,NA,NA,NA
65,65,Mary Chapin Carpenter,Passionate Kisses,65,6,NA,NA,NA,NA
66,66,R. Kelly & Public Announcement,Dedicated,69,4,NA,NA,NA,NA
67,NA,Run-D.M.C.,Down With The King,NA,NA,NA,NA,NA,NA
68,57,Chaka Demus & Pliers,Murder She Wrote,64,12,NA,NA,NA,NA
69,69,Young Black Teenagers,Tap The Bottle,81,3,NA,NA,NA,NA
70,27,Lo-Key? ,I Got A Thang 4 Ya!,60,19,NA,NA,NA,NA
71,71,Wendy Moten,Come In Out Of The Rain,74,5,NA,NA,NA,NA
72,21,Genesis,Never A Time,71,20,NA,NA,NA,NA
73,57, Lighter Shade Of Brown,Homies,75,15,NA,NA,NA,NA
74,74,Michael Cooper,Shoop Shoop (Never Stop Givin' You Love),87,2,NA,NA,NA,NA
75,38,Hi-Five,Quality Time,72,16,NA,NA,NA,NA
76,33, Toni Braxton,"Love Shoulda Brought You Home (From ""Boomerang"")",68,19,NA,NA,NA,NA
77,NA,Faith No More,Easy,NA,NA,NA,NA,NA,NA
78,78,Billy Ray Cyrus,She's Not Cryin' Anymore,93,2,NA,NA,NA,NA
79,32,Peter Gabriel,Steam,63,14,NA,NA,NA,NA
80,80,Dolly Parton & Friends ,Romeo,95,2,NA,NA,NA,NA
81,81,"10,000 Maniacs",Candy Everybody Wants,85,3,NA,NA,NA,NA
82,7, Madonna,Deeper And Deeper,67,16,NA,NA,NA,NA
83,58,Sound Factory,Understand This Groove,73,13,NA,NA,NA,NA
84,72,Wreckx-N-Effect,Knock-N-Boots,76,5,NA,NA,NA,NA
85,85,Go West,What You Won't Do For Love,92,2,NA,NA,NA,NA
86,86,Black Moon,Who Got The Props,88,4,NA,NA,NA,NA
87,83,Paul McCartney,Hope Of Deliverance,83,5,NA,NA,NA,NA
88,67,Apache,Gangsta Bitch,78,8,NA,NA,NA,NA
89,89,Monie Love,Born 2 B.R.E.E.D.,89,2,NA,NA,NA,NA
90,90,Michael W. Smith,Somebody Love Me,96,2,NA,NA,NA,NA
91,57,Mary J. Blige,Reminisce,79,14,NA,NA,NA,NA
92,NA,Sade,Kiss Of Life,NA,NA,NA,NA,NA,NA
93,86,Bad Boys Blue,Save Your Love,86,2,NA,NA,NA,NA
94,NA,Levert,Good Ol' Days,NA,NA,NA,NA,NA,NA
95,28,Sade,No Ordinary Love,82,20,NA,NA,NA,NA
96,90,Martha Wash,Give It To You,90,2,NA,NA,NA,NA
97,74,Alpha Team,Speed,91,8,NA,NA,NA,NA
98,26,Dan Baird,I Love You Period,84,16,NA,NA,NA,NA
99,34,Def Leppard,Stand Up (Kick Love Into Motion),77,15,NA,NA,NA,NA
100,NA,Rapination & Kym Mazelle,Love Me The Right Way,NA,NA,NA,NA,NA,NA
