rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Maxi Priest,Close To You,NA,NA,NA,2,2LAST WEEK ,15WEEKS ON CHART
2,2,George Michael,Praying For Time,5,6,NA,NA,NA,NA
3,1,Nelson,(Can't Live Without Your) Love And Affection,1,14,NA,NA,NA,NA
4,4,Phil Collins ,Something Happened On The Way To Heaven,6,10,NA,NA,NA,NA
5,5,James Ingram,I Don't Have The Heart,11,10,NA,NA,NA,NA
6,1,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",4,12,NA,NA,NA,NA
7,7,Vanilla Ice,Ice Ice Baby,16,5,NA,NA,NA,NA
8,8, Paul Young,Oh Girl,9,13,NA,NA,NA,NA
9,3,Bell Biv DeVoe,Do Me!,7,15,NA,NA,NA,NA
10,1,Wilson Phillips,Release Me,3,15,NA,NA,NA,NA
11,11,Dino,Romeo,13,9,NA,NA,NA,NA
12,10,Johnny Gill,"My, My, My",10,10,NA,NA,NA,NA
13,13,Janet Jackson,Black Cat,24,4,NA,NA,NA,NA
14,12,Taylor Dayne ,Heart Of Stone,12,10,NA,NA,NA,NA
15,15,Black Box,Everybody Everybody ,15,10,NA,NA,NA,NA
16,14,After 7,Can't Stop,14,11,NA,NA,NA,NA
17,17,Pebbles,Giving You The Benefit,22,8,NA,NA,NA,NA
18,18,INXS,Suicide Blonde,23,5,NA,NA,NA,NA
19,19, The Righteous Brothers,Unchained Melody,19,7,NA,NA,NA,NA
20,20,Depeche Mode,Policy Of Truth,20,9,NA,NA,NA,NA
21,21,Lisa Stansfield,This Is The Right Time,26,8,NA,NA,NA,NA
22,6,Prince,Thieves In The Temple,8,10,NA,NA,NA,NA
23,23,Slaughter,Fly To the Angels,28,8,NA,NA,NA,NA
24,24,Mariah Carey,Love Takes Time,36,4,NA,NA,NA,NA
25,25,Breathe,Say A Prayer,30,7,NA,NA,NA,NA
26,26,Tony Toni Tone,Feels Good,32,6,NA,NA,NA,NA
27,27,Warrant,Cherry Pie,39,5,NA,NA,NA,NA
28,3,Poison,Unskinny Bop,17,14,NA,NA,NA,NA
29,4,M.C. Hammer,Have You Seen Her,18,15,NA,NA,NA,NA
30,30,The Boys,Crazy,33,7,NA,NA,NA,NA
31,31,Alias,More Than Words Can Say,40,5,NA,NA,NA,NA
32,32,"Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,35,8,NA,NA,NA,NA
33,25,The Adventures Of Stevie V,Dirty Cash (Money Talks),25,12,NA,NA,NA,NA
34,14,Kyper,Tic-Tac-Toe,29,15,NA,NA,NA,NA
35,35,Jude Cole,Time For Letting Go,38,10,NA,NA,NA,NA
36,36,Michael Bolton,Georgia On My Mind,41,7,NA,NA,NA,NA
37,37,M.C. Hammer,Pray,44,2,NA,NA,NA,NA
38,1, Mariah Carey,Vision Of Love,31,19,NA,NA,NA,NA
39,39,Concrete Blonde,Joey,46,8,NA,NA,NA,NA
40,9,Faith No More,Epic,34,16,NA,NA,NA,NA
41,41,Candyman,Knockin' Boots,48,6,NA,NA,NA,NA
42,1,Sweet Sensation,If Wishes Came True,27,17,NA,NA,NA,NA
43,43,En Vogue,Lies,45,7,NA,NA,NA,NA
44,12,Cheap Trick,Can't Stop Falling Into Love,21,12,NA,NA,NA,NA
45,NA,The Righteous Brothers,Unchained Melody,NA,NA,NA,NA,NA,NA
46,46,Sydney Youngblood,I'd Rather Go Blind,50,7,NA,NA,NA,NA
47,47,Heart,Stranded,61,3,NA,NA,NA,NA
48,48,Snap!,Ooops Up,57,5,NA,NA,NA,NA
49,49,Daryl Hall John Oates,So Close,69,2,NA,NA,NA,NA
50,50,Deee-Lite,Groove Is In The Heart,65,4,NA,NA,NA,NA
51,51,Soho,Hippychick,62,5,NA,NA,NA,NA
52,52,Billy Idol,L.A. Woman,58,5,NA,NA,NA,NA
53,53,Tyler Collins,Second Chance,55,6,NA,NA,NA,NA
54,54,LL Cool J,The Boomin' System,54,2,NA,NA,NA,NA
55,42,Winger,Can't Get Enuff,47,11,NA,NA,NA,NA
56,7,New Kids On The Block,Tonight,42,10,NA,NA,NA,NA
57,57,Cynthia & Johnny O,Dream Boy/Dream Girl,60,6,NA,NA,NA,NA
58,2,Janet Jackson,Come Back To Me,43,15,NA,NA,NA,NA
59,59,David Cassidy,Lyin' To Myself,75,3,NA,NA,NA,NA
60,51,Doc Box & B. Fresh,Slow Love,51,12,NA,NA,NA,NA
61,61,UB40,The Way You Do The Things You Do,79,4,NA,NA,NA,NA
62,62,The Human League,Heart Like A Wheel,80,3,NA,NA,NA,NA
63,63,Damn Yankees,High Enough,74,3,NA,NA,NA,NA
64,31,Indecent Obsession,Tell Me Something,37,11,NA,NA,NA,NA
65,2, Billy Idol,"Cradle Of Love (From ""Ford Fairlane"")",53,23,NA,NA,NA,NA
66,8,Go West,"King Of Wishful Thinking (From ""Pretty Woman"")",52,21,NA,NA,NA,NA
67,42,Kid Frost,La Raza,66,14,NA,NA,NA,NA
68,68,Gene Loves Jezebel,Jealous,68,8,NA,NA,NA,NA
69,20,Luke Featuring The 2 Live Crew,Banned In The U.S.A.,59,12,NA,NA,NA,NA
70,NA,Poison,Something To Believe In,NA,NA,NA,NA,NA,NA
71,63,George LaMond,Look Into My Eyes,63,8,NA,NA,NA,NA
72,64,Duran Duran,Violence Of Summer (Love's Taking Over),64,6,NA,NA,NA,NA
73,72,Tricia Leigh Fisher,Empty Beach,72,7,NA,NA,NA,NA
74,74,Asia,Days Like These,90,2,NA,NA,NA,NA
75,NA,Bette Midler,From A Distance,NA,NA,NA,NA,NA,NA
76,44,Vixen,How Much Love,49,9,NA,NA,NA,NA
77,2,En Vogue,Hold On,67,23,NA,NA,NA,NA
78,78,Elisa Fiorillo,On The Way Up,89,2,NA,NA,NA,NA
79,79,Anita Baker,Soul Inspiration,88,3,NA,NA,NA,NA
80,NA, Stevie B,Because I Love You (The Postman Song),NA,NA,NA,NA,NA,NA
81,9,The Time,Jerk Out,56,15,NA,NA,NA,NA
82,NA,Information Society,Think,NA,NA,NA,NA,NA,NA
83,73,Ms. Adventures,Undeniable,73,6,NA,NA,NA,NA
84,14,Mellow Man Ace,Mentirosa,82,22,NA,NA,NA,NA
85,14,Keith Sweat,Make You Sweat,71,19,NA,NA,NA,NA
86,78,Motley Crue,Same Ol' Situation (S.O.S.),78,5,NA,NA,NA,NA
87,NA,DNA Featuring Suzanne Vega,Tom's Diner,NA,NA,NA,NA,NA,NA
88,NA,New Kids On The Block,Let's Try It Again,NA,NA,NA,NA,NA,NA
89,89,Caron Wheeler,Livin' In The Light,98,2,NA,NA,NA,NA
90,3, Johnny Gill,Rub You The Right Way,76,22,NA,NA,NA,NA
91,2,Snap!,The Power,77,22,NA,NA,NA,NA
92,55,The Whispers,Innocent,81,10,NA,NA,NA,NA
93,92,The London Quireboys,I Don't Love You Anymore,95,3,NA,NA,NA,NA
94,76,Beats International,Won't Talk About It,83,7,NA,NA,NA,NA
95,NA,2 In A Room,Wiggle It,NA,NA,NA,NA,NA,NA
96,15,Stevie B,Love And Emotion,70,15,NA,NA,NA,NA
97,18,Bruce Hornsby & The Range,Across The River,91,16,NA,NA,NA,NA
98,NA,Seduction,Breakdown,NA,NA,NA,NA,NA,NA
99,11,Seduction,Could This Be Love,84,18,NA,NA,NA,NA
100,35,The West Coast Rap All-Stars,We're All In the Same Gang,87,16,NA,NA,NA,NA
