rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Kris Kross,Jump,NA,NA,3,NA,3WEEKS AT NO. 1,6WEEKS ON CHART
2,2,Queen,Bohemian Rhapsody,4,32,NA,NA,NA,NA
3,1,Vanessa Williams,Save The Best For Last,2,15,NA,NA,NA,NA
4,2,Eric Clapton ,Tears In Heaven,3,14,NA,NA,NA,NA
5,5,En Vogue,My Lovin' (You're Never Gonna Get It),5,8,NA,NA,NA,NA
6,6,Joe Public,Live And Learn,8,9,NA,NA,NA,NA
7,6,TLC,Ain't 2 Proud 2 Beg,6,12,NA,NA,NA,NA
8,8,Red Hot Chili Peppers,Under The Bridge,12,6,NA,NA,NA,NA
9,9,Ugly Kid Joe,Everything About You,9,6,NA,NA,NA,NA
10,5,Mariah Carey,Make It Happen,7,12,NA,NA,NA,NA
11,9,Richard Marx,Hazard,10,13,NA,NA,NA,NA
12,12,U2,One,13,9,NA,NA,NA,NA
13,13,Bryan Adams,Thought I'd Died And Gone To Heaven,17,9,NA,NA,NA,NA
14,14,Michael Jackson,In The Closet,26,3,NA,NA,NA,NA
15,15,Def Leppard,Let's Get Rocked,18,5,NA,NA,NA,NA
16,3,Atlantic Starr,Masterpiece,11,15,NA,NA,NA,NA
17,14,Kathy Troccoli,Everything Changes,16,12,NA,NA,NA,NA
18,9,Celine Dion And Peabo Bryson,Beauty And The Beast,14,17,NA,NA,NA,NA
19,19,Paula Abdul,Will You Marry Me?,21,6,NA,NA,NA,NA
20,16,Bruce Springsteen ,Human Touch/Better Days,20,8,NA,NA,NA,NA
21,21,Jody Watley,I'm The One You Need,22,10,NA,NA,NA,NA
22,6,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),15,19,NA,NA,NA,NA
23,7, Genesis,I Can't Dance,19,15,NA,NA,NA,NA
24,24,Sir Mix-A-Lot,Baby Got Back,31,5,NA,NA,NA,NA
25,25,Sophie B. Hawkins,Damn I Wish I Was Your Lover,37,4,NA,NA,NA,NA
26,26,Prince And The N.P.G.,Money Don't Matter 2 Night,28,7,NA,NA,NA,NA
27,3,Michael Jackson,Remember The Time,23,16,NA,NA,NA,NA
28,28,Lidell Townsell,Nu Nu,33,11,NA,NA,NA,NA
29,29,Chris Walker,Take Time ,30,9,NA,NA,NA,NA
30,1,Mr. Big,To Be With You,27,21,NA,NA,NA,NA
31,20,CeCe Peniston,We Got A Love Thang,24,15,NA,NA,NA,NA
