rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Stevie B,Because I Love You (The Postman Song),NA,NA,NA,3,3LAST WEEK,10WEEKS ON CHART,NA
2,1,Whitney Houston,I'm Your Baby Tonight,1,8,NA,NA,NA,NA,whitney-houston-k4w-53x53.jpg
3,3,Bette Midler,From A Distance,5,10,NA,NA,NA,NA,bette-midler-2ui-53x53.jpg
4,4,Poison,Something To Believe In,6,10,NA,NA,NA,NA,poison-53x53.jpg
5,1,Mariah Carey,Love Takes Time,2,13,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
6,4,Deee-Lite,Groove Is In The Heart,4,13,NA,NA,NA,NA,deee-lite-fnz-53x53.jpg
7,7,Wilson Phillips,Impulsive,9,9,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
8,8,UB40,The Way You Do The Things You Do,8,13,NA,NA,NA,NA,ub40-53x53.jpg
9,9,DNA Featuring Suzanne Vega,Tom's Diner,12,10,NA,NA,NA,NA,dna-as0-53x53.jpg
10,10,Madonna,Justify My Love,23,4,NA,NA,NA,NA,madonna-53x53.jpg
11,11,Damn Yankees,High Enough,14,12,NA,NA,NA,NA,damn-yankees-yz7-53x53.jpg
12,12,George Michael ,Freedom,15,7,NA,NA,NA,NA,george-michael-53x53.jpg
13,13,Heart,Stranded ,13,12,NA,NA,NA,NA,heart-2lh-53x53.jpg
14,9,Tony Toni Tone,Feels Good,10,15,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
15,11,Daryl Hall John Oates,So Close,11,11,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
16,2,Alias,More Than Words Can Say,7,14,NA,NA,NA,NA,alias-p5m-53x53.jpg
17,17,2 In A Room ,Wiggle It,19,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
18,18,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",18,7,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
19,19,Ralph Tresvant,Sensitivity,22,6,NA,NA,NA,NA,ralph-tresvant-yiu-53x53.jpg
