rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,NA,NA,NA,2,2LAST WEEK,10WEEKS ON CHART,NA
2,2,En Vogue,Hold On,3,12,NA,NA,NA,NA,en-vogue-ps1-53x53.jpg
3,3,Billy Idol,"Cradle Of Love (From ""Ford Fairlane"")",5,12,NA,NA,NA,NA,billy-idol-ygh-53x53.jpg
4,4,Johnny Gill,Rub You The Right Way,7,11,NA,NA,NA,NA,johnny-gill-53x53.jpg
5,5,Mariah Carey,Vision Of Love,14,8,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
6,1,New Kids On The Block,Step By Step,1,9,NA,NA,NA,NA,new-kids-on-the-block-53x53.jpg
7,7,Snap!,The Power,9,11,NA,NA,NA,NA,snap-71d-53x53.jpg
8,8,Tyler Collins,Girls Nite Out,11,13,NA,NA,NA,NA,tyler-collins-eo1-53x53.jpg
9,8,Depeche Mode,Enjoy The Silence,8,15,NA,NA,NA,NA,depeche-mode-53x53.jpg
10,10,Michael Bolton,When I'm Back On My Feet Again,13,9,NA,NA,NA,NA,michael-bolton-53x53.jpg
11,1,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",6,16,NA,NA,NA,NA,roxette-cd8-53x53.jpg
12,4,Taylor Dayne,I'll Be Your Shelter,4,12,NA,NA,NA,NA,taylor-dayne-j3h-53x53.jpg
13,3,Bell Biv DeVoe,Poison,10,16,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
14,14,Mellow Man Ace,Mentirosa,16,11,NA,NA,NA,NA,mellow-man-ace-p6r-53x53.jpg
15,15,Lisa Stansfield,You Can't Deny It,18,9,NA,NA,NA,NA,lisa-stansfield-yvw-53x53.jpg
16,16,Go West,"King Of Wishful Thinking (From ""Pretty Woman"")",19,10,NA,NA,NA,NA,go-west-kjg-53x53.jpg
17,17,Madonna,Hanky Panky,25,4,NA,NA,NA,NA,madonna-53x53.jpg
18,18,Sweet Sensation,If Wishes Came True,24,6,NA,NA,NA,NA,sweet-sensation-e7v-53x53.jpg
19,19,Motley Crue,Don't Go Away Mad (Just Go Away),21,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
20,20,Keith Sweat,Make You Sweat,20,8,NA,NA,NA,NA,keith-sweat-53x53.jpg
21,4,Phil Collins,Do You Remember?,12,13,NA,NA,NA,NA,phil-collins-53x53.jpg
22,1,Wilson Phillips,Hold On,15,19,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
23,23,Janet Jackson,Come Back To Me,30,4,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
24,24,Poison,Unskinny Bop,36,3,NA,NA,NA,NA,poison-53x53.jpg
25,25,George LaMond,Bad Of The Heart,26,11,NA,NA,NA,NA,george-lamond-wkd-53x53.jpg
26,26, The Time,Jerk Out,32,4,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
27,27,Faith No More,Epic,31,5,NA,NA,NA,NA,faith-no-more-53x53.jpg
28,28,Seduction,Could This Be Love,29,7,NA,NA,NA,NA,seduction-tw8-53x53.jpg
29,29,Bell Biv DeVoe,Do Me!,48,4,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
30,7, After 7,Ready Or Not,17,17,NA,NA,NA,NA,after-7-zay-53x53.jpg
31,31,M.C. Hammer,Have You Seen Her,46,4,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
32,32,Lightning Seeds,Pure,34,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
33,1,Madonna,Vogue,23,15,NA,NA,NA,NA,madonna-53x53.jpg
34,34,Bad English, Possession,37,7,NA,NA,NA,NA,bad-english-knp-53x53.jpg
35,35,Heart,I Didn't Want To Need You,40,5,NA,NA,NA,NA,heart-2lh-53x53.jpg
36,8,M.C. Hammer,U Can't Touch This,22,13,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
37,37,Bruce Hornsby & The Range,Across The River,44,5,NA,NA,NA,NA,bruce-hornsby-vac-53x53.jpg
38,38,Aerosmith, The Other Side,45,5,NA,NA,NA,NA,aerosmith-7n5-53x53.jpg
39,39,Wilson Phillips,Release Me,50,4,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
40,40,Babyface,My Kinda Girl,49,6,NA,NA,NA,NA,babyface-qq8-53x53.jpg
41,41,Stevie B,Love And Emotion,51,4,NA,NA,NA,NA,stevie-b-ir7-53x53.jpg
42,33,L.A. Guns,The Ballad Of Jayne,41,16,NA,NA,NA,NA,la-guns-3yt-53x53.jpg
43,5,Linear,Sending All My Love,35,23,NA,NA,NA,NA,linear-2w1-53x53.jpg
44,11,Digital Underground,The Humpty Dance,27,19,NA,NA,NA,NA,digital-underground-xf6-53x53.jpg
45,45,Brother Beyond,The Girl I Used To Know,54,5,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
46,46,The West Coast Rap All-Stars,We're All In the Same Gang,52,5,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
47,47,Anita Baker,Talk To Me,59,5,NA,NA,NA,NA,anita-baker-4eh-53x53.jpg
48,48,Troop,All I Do Is Think Of You,57,3,NA,NA,NA,NA,troop-vpz-53x53.jpg
49,19,Louie Louie,Sittin' In The Lap Of Luxury,28,13,NA,NA,NA,NA,louie-louie-a0d-53x53.jpg
50,50,Kyper,Tic-Tac-Toe,66,4,NA,NA,NA,NA,kyper-4ia-53x53.jpg
51,51,Danger Danger,Bang Bang,60,8,NA,NA,NA,NA,danger-danger-nzq-53x53.jpg
52,13,Richard Marx,Children Of The Night ,39,13,NA,NA,NA,NA,richard-marx-ct1-53x53.jpg
53,2,Heart,All I Wanna Do Is Make Love To You,43,17,NA,NA,NA,NA,heart-2lh-53x53.jpg
54,54,Seiko & Donnie Wahlberg,The Right Combination,61,6,NA,NA,NA,NA,seiko-pgz-53x53.jpg
55,16,Jude Cole,"Baby, It's Tonight",47,15,NA,NA,NA,NA,jude-cole-axa-53x53.jpg
56,21,Nikki, Notice Me,33,13,NA,NA,NA,NA,nikki-49e-53x53.jpg
57,28,Elton John,Club At The End Of The Street,42,13,NA,NA,NA,NA,elton-john-qls-53x53.jpg
58,NA,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",NA,NA,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
59,59,Gloria Estefan,Cuts Both Ways,67,4,NA,NA,NA,NA,gloria-estefan-53x53.jpg
60,60,Maxi Priest,Close To You,71,4,NA,NA,NA,NA,maxi-priest-myk-53x53.jpg
61,61,Sinead O'Connor,The Emperor's New Clothes,68,5,NA,NA,NA,NA,sinead-oconnor-kzg-53x53.jpg
62,62,Kid Frost,La Raza,72,3,NA,NA,NA,NA,kid-frost-tc5-53x53.jpg
63,63,Nelson,(Can't Live Without Your) Love And Affection,80,3,NA,NA,NA,NA,nelson-53x53.jpg
64,1,Sinead O'Connor, Nothing Compares 2 U,58,19,NA,NA,NA,NA,sinead-oconnor-kzg-53x53.jpg
65,65,Don Henley,How Bad Do You Want It?,75,3,NA,NA,NA,NA,don-henley-53x53.jpg
66,66,Paul Young,Oh Girl,88,2,NA,NA,NA,NA,paul-young-mlj-53x53.jpg
67,46,Tony Toni Tone,The Blues,63,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
68,68,St. Paul,Stranger To Love ,83,3,NA,NA,NA,NA,st-paul-1pu-53x53.jpg
69,NA,Cheap Trick,Can't Stop Falling Into Love,NA,NA,NA,NA,NA,NA,cheap-trick-53x53.jpg
70,13,Partners In Kryme,Turtle Power,62,14,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
71,36,Alannah Myles,Love Is,56,12,NA,NA,NA,NA,alannah-myles-bdi-53x53.jpg
72,27,Slaughter,Up All Night,55,13,NA,NA,NA,NA,slaughter-53x53.jpg
73,35, Del Amitri,Kiss This Thing Goodbye,38,10,NA,NA,NA,NA,del-amitri-qqt-53x53.jpg
74,74,The Brat Pack,I'm Never Gonna Give You Up,81,4,NA,NA,NA,NA,the-brat-pack-sgi-53x53.jpg
75,29,Michel'le,Nicety,70,15,NA,NA,NA,NA,michelle-53x53.jpg
76,20,Giant,I'll See You In My Dreams,64,18,NA,NA,NA,NA,giant-2ay-53x53.jpg
77,77,Modern English,I Melt With You ,78,12,NA,NA,NA,NA,modern-english-bsh-53x53.jpg
78,49,Jane Child,Welcome To The Real World,53,8,NA,NA,NA,NA,jane-child-t4k-53x53.jpg
79,54,Young And Restless,"""B"" Girls",77,12,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
80,80,Linear,Don't You Come Cryin',90,2,NA,NA,NA,NA,linear-2w1-53x53.jpg
81,NA,Luke Featuring The 2 Live Crew,Banned In The U.S.A.,NA,NA,NA,NA,NA,NA,luke-p9m-53x53.jpg
82,4,Janet Jackson,Alright,65,16,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
83,78,49-ers,Don't You Love Me,82,6,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
84,68,The U-Krew,Let Me Be Your Lover,73,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
85,85,Electric Boys,All Lips N' Hips,92,2,NA,NA,NA,NA,electric-boys-wl8-53x53.jpg
86,85,Soul II Soul,A Dreams A Dream,85,4,NA,NA,NA,NA,soul-ii-soul-v8v-53x53.jpg
