rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Mariah Carey,Dreamlover,NA,NA,4,NA,4WEEKS AT NO. 1,9WEEKS ON CHART
2,2,SWV,Right Here (Human Nature)/Downtown,3,12,NA,NA,NA,NA
3,2,Tag Team ,Whoomp! (There It Is),2,19,NA,NA,NA,NA
4,4,Billy Joel,The River Of Dreams,6,10,NA,NA,NA,NA
5,4,Janet Jackson,If,5,11,NA,NA,NA,NA
6,1,UB40,"Can't Help Falling In Love (From ""Sliver"")",4,21,NA,NA,NA,NA
7,7,Michael Jackson,Will You Be There,7,12,NA,NA,NA,NA
8,8,Toni Braxton,Another Sad Love Song,11,14,NA,NA,NA,NA
9,5,Soul Asylum,Runaway Train,8,17,NA,NA,NA,NA
10,10,Shai,Baby I'm Yours,10,18,NA,NA,NA,NA
11,11,2Pac,I Get Around,12,14,NA,NA,NA,NA
12,4,Jodeci,Lately,9,17,NA,NA,NA,NA
13,13,Aerosmith,Cryin',14,10,NA,NA,NA,NA
14,13,Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,13,9,NA,NA,NA,NA
15,15,Def Leppard,"Two Steps Behind (From ""Last Action Hero"")",30,4,NA,NA,NA,NA
16,13,Brian McKnight,One Last Cry,15,17,NA,NA,NA,NA
17,17,Inner Circle,Sweat (A La La La La Long),22,9,NA,NA,NA,NA
18,18,Zhane,Hey Mr. D.J.,28,6,NA,NA,NA,NA
19,19,Rod Stewart,Reason To Believe,21,8,NA,NA,NA,NA
20,14,Madonna,Rain,16,11,NA,NA,NA,NA
21,7,Tony Toni Tone,If I Had No Loot,18,17,NA,NA,NA,NA
22,19,Cypress Hill,Insane In The Brain,19,13,NA,NA,NA,NA
23,23,Red Hot Chili Peppers,"Soul To Squeeze (From ""Coneheads"")",26,6,NA,NA,NA,NA
24,3,The Proclaimers,I'm Gonna Be (500 Miles),17,17,NA,NA,NA,NA
25,25,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),48,3,NA,NA,NA,NA
26,25,Tears For Fears,Break It Down Again,25,12,NA,NA,NA,NA
27,9,Tina Turner,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",20,19,NA,NA,NA,NA
28,28,Gin Blossoms,Hey Jealousy,33,11,NA,NA,NA,NA
29,29,Haddaway,What Is Love,41,6,NA,NA,NA,NA
30,23,Celine Dion And Clive Griffin,"When I Fall In Love (From ""Sleepless In Seattle"")",23,12,NA,NA,NA,NA
31,19,Kris Kross Featuring Supercat,Alright,24,10,NA,NA,NA,NA
32,32,Rick Astley,Hopelessly,43,5,NA,NA,NA,NA
33,27,Dino,Ooh Child,31,13,NA,NA,NA,NA
34,20,Ice Cube Featuring Das EFX,Check Yo Self,32,10,NA,NA,NA,NA
35,35,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",Very Special,37,13,NA,NA,NA,NA
36,36,Xscape,Just Kickin' It,65,3,NA,NA,NA,NA
37,1,SWV,Weak,27,24,NA,NA,NA,NA
38,12,Duice,Dazzey Duks,34,39,NA,NA,NA,NA
39,11,95 South,"Whoot, There It Is",29,23,NA,NA,NA,NA
40,8,Expose,I'll Never Get Over You (Getting Over Me),38,28,NA,NA,NA,NA
41,39,MC Lyte,Ruffneck,40,12,NA,NA,NA,NA
42,42,Ace Of Base,All That She Wants,68,3,NA,NA,NA,NA
43,5,Robin S.,Show Me Love,36,27,NA,NA,NA,NA
44,44,Tony Toni Tone,Anniversary,84,2,NA,NA,NA,NA
45,14,4 Non Blondes,What's Up,35,24,NA,NA,NA,NA
46,46, Blind Melon,No Rain,51,7,NA,NA,NA,NA
47,1,Janet Jackson,That's The Way Love Goes,42,23,NA,NA,NA,NA
48,48,Bell Biv DeVoe,Something In Your Eyes,50,7,NA,NA,NA,NA
49,7,Duran Duran,Come Undone,49,25,NA,NA,NA,NA
50,50,Prince,Pink Cashmere,60,3,NA,NA,NA,NA
51,51,Dr. Dre,Let Me Ride,87,2,NA,NA,NA,NA
52,52,Lisa Keith,Better Than You,55,7,NA,NA,NA,NA
53,53,"Earth, Wind & Fire",Sunday Morning,53,6,NA,NA,NA,NA
54,54,Duran Duran,Too Much Information,59,5,NA,NA,NA,NA
55,55,Intro,Come Inside,61,5,NA,NA,NA,NA
56,53,Robin S.,Love For Love,56,7,NA,NA,NA,NA
57,57,R.E.M.,Everybody Hurts,62,4,NA,NA,NA,NA
58,34,Radiohead,Creep,44,15,NA,NA,NA,NA
59,23,Sting,Fields Of Gold,45,18,NA,NA,NA,NA
60,4,Onyx,Slam,39,19,NA,NA,NA,NA
61,54,Zapp & Roger,Mega Medley,64,9,NA,NA,NA,NA
62,29,U.N.V.,Something's Goin' On,52,18,NA,NA,NA,NA
63,22,Jade,One Woman,54,18,NA,NA,NA,NA
64,64,K7,Come Baby Come ,69,5,NA,NA,NA,NA
65,55,Lords Of The Underground,Chief Rocka,58,13,NA,NA,NA,NA
66,27,Jon Secada,I'm Free,57,15,NA,NA,NA,NA
67,31, Whitney Houston,Run To You,63,15,NA,NA,NA,NA
68,68,Shaggy,Oh Carolina,78,8,NA,NA,NA,NA
69,69,Joe,I'm In Luv,75,6,NA,NA,NA,NA
70,60,Lenny Kravitz,Believe,70,14,NA,NA,NA,NA
71,26,Silk,Girl U For Me/Lose Control,71,16,NA,NA,NA,NA
72,46,Alan Jackson,Chattahoochee,66,13,NA,NA,NA,NA
73,56,Aaron Neville,Don't Take Away My Heaven,74,20,NA,NA,NA,NA
74,39,Fu-Schnickens W/ Shaquille O'Neal,What's Up Doc? (Can We Rock),67,14,NA,NA,NA,NA
75,75,Terence Trent D'Arby,Delicate,77,6,NA,NA,NA,NA
76,76,John Mellencamp,Human Wheels,88,3,NA,NA,NA,NA
77,77,De La Soul,Breakadawn,79,3,NA,NA,NA,NA
78,68,Legacy Of Sound Featuring Meja,Happy,72,11,NA,NA,NA,NA
79,42,TLC,"Get It Up (From ""Poetic Justice"")",76,14,NA,NA,NA,NA
80,NA,Sting,Nothing 'Bout Me,NA,NA,NA,NA,NA,NA
81,20,Taylor Dayne,Can't Get Enough Of Your Love,80,18,NA,NA,NA,NA
82,NA,Daryl Hall,I'm In A Philly Mood,NA,NA,NA,NA,NA,NA
83,83,Mista Grimm,"Indo Smoke (From ""Poetic Justice"")",96,2,NA,NA,NA,NA
84,25,Kenny G With Peabo Bryson,By The Time This Night Is Over,92,20,NA,NA,NA,NA
85,NA, Taylor Dayne,Send Me A Lover,NA,NA,NA,NA,NA,NA
86,NA, Nightcrawlers,Push The Feeling On,NA,NA,NA,NA,NA,NA
87,67, H-Town,Lick U Up,81,10,NA,NA,NA,NA
88,68,Peter Cetera,Even A Fool Can See,95,12,NA,NA,NA,NA
89,81,Babyface,For The Cool In You,89,8,NA,NA,NA,NA
90,79,Little Texas,What Might Have Been,82,9,NA,NA,NA,NA
91,72,Yo-Yo, The Bonnie And Clyde Theme,90,10,NA,NA,NA,NA
92,72,MC Eiht,"Streiht Up Menace (From ""Menace II Society"")",85,8,NA,NA,NA,NA
93,NA,Erick Sermon,Stay Real,NA,NA,NA,NA,NA,NA
94,92,New Order,World (The Price Of Love),98,4,NA,NA,NA,NA
95,76,Billy Ray Cyrus,In The Heart Of A Woman,91,10,NA,NA,NA,NA
