rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Bryan Adams,(Everything I Do) I Do It For You,NA,NA,2,NA,2WEEKS AT NO. 1,6WEEKS ON CHART
2,2,Rhythm Syndicate,P.A.S.S.I.O.N.,4,10,NA,NA,NA,NA
3,2, Jesus Jones,"Right Here, Right Now",2,17,NA,NA,NA,NA
4,4,D.J. Jazzy Jeff & The Fresh Prince,Summertime,5,8,NA,NA,NA,NA
5,5,Amy Grant,Every Heartbeat,8,8,NA,NA,NA,NA
6,6,Lenny Kravitz,It Ain't Over 'til It's Over ,9,9,NA,NA,NA,NA
7,1,EMF,Unbelievable,3,17,NA,NA,NA,NA
8,8,Corina,Temptation,10,12,NA,NA,NA,NA
9,9,Roxette,Fading Like A Flower (Every Time You Leave),13,8,NA,NA,NA,NA
10,10,The Escape Club,I'll Be There,16,11,NA,NA,NA,NA
11,11,Scorpions,Wind Of Change,17,10,NA,NA,NA,NA
12,12,Wilson Phillips ,The Dream Is Still Alive,14,10,NA,NA,NA,NA
13,1,Paula Abdul,Rush Rush,6,13,NA,NA,NA,NA
14,7,Tara Kemp,Piece Of My Heart,7,13,NA,NA,NA,NA
15,15,Hi-Five,I Can't Wait Another Minute,19,7,NA,NA,NA,NA
16,16,The KLF,3 A.M. Eternal,21,7,NA,NA,NA,NA
17,17,Cher,Love And Understanding,20,8,NA,NA,NA,NA
18,18,Seal,Crazy,22,7,NA,NA,NA,NA
19,19,Boyz II Men,Motownphilly,23,8,NA,NA,NA,NA
20,6,Michael W. Smith,Place In This World,11,14,NA,NA,NA,NA
21,2,Color Me Badd,"I Wanna Sex You Up (From ""New Jack City"")",15,18,NA,NA,NA,NA
22,11,David A. Stewart Introducing Candy Dulfer,Lily Was Here,12,12,NA,NA,NA,NA
23,23,Paula Abdul,The Promise Of A New Day,26,3,NA,NA,NA,NA
24,24,C+C Music Factory,Things That Make You Go Hmmmm. . .,33,3,NA,NA,NA,NA
25,25,Natalie Cole,Unforgettable,37,4,NA,NA,NA,NA
26,26, Heavy D & The Boyz,Now That We Found Love,28,6,NA,NA,NA,NA
27,27,Cathy Dennis,Too Many Walls,31,5,NA,NA,NA,NA
28,28,The Black Crowes,Hard To Handle,29,7,NA,NA,NA,NA
29,24,After 7,"Nights Like This (From ""The Five Heartbeats"")",24,11,NA,NA,NA,NA
30,30,Rod Stewart,The Motown Song,36,5,NA,NA,NA,NA
31,31,Guns N' Roses,You Could Be Mine,34,4,NA,NA,NA,NA
32,32,Michael Bolton,"Time, Love And Tenderness",38,4,NA,NA,NA,NA
33,7,UB40,Here I Am (Come And Take Me),18,20,NA,NA,NA,NA
34,34, Nelson,Only Time Will Tell,40,7,NA,NA,NA,NA
35,21,Salt-N-Pepa,Do You Want Me,27,20,NA,NA,NA,NA
36,36,Firehouse,Love Of A Lifetime,45,6,NA,NA,NA,NA
37,37,Lisa Lisa And Cult Jam,Let The Beat Hit 'Em,41,7,NA,NA,NA,NA
38,38,Robbie Nevil,Just Like You,49,5,NA,NA,NA,NA
39,1,Extreme,More Than Words,30,20,NA,NA,NA,NA
40,40, Tom Petty And The Heartbreakers,Learning To Fly,51,6,NA,NA,NA,NA
41,41,Color Me Badd,I Adore Mi Amor,60,2,NA,NA,NA,NA
42,42,Desmond Child,Love On A Rooftop,50,7,NA,NA,NA,NA
43,43,Gloria Estefan,Can't Forget You,44,9,NA,NA,NA,NA
44,44,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Good Vibrations,56,3,NA,NA,NA,NA
