rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Madonna,Music,NA,NA,4,NA,4 WEEKS AT NO. 1,9WEEKS ON CHART
2,2,98 Degrees,Give Me Just One Night (Una Noche),2,8,NA,NA,NA,NA
3,1,Janet,Doesn't Really Matter,3,17,NA,NA,NA,NA
4,3,Destiny's Child,"Jumpin', Jumpin'",4,22,NA,NA,NA,NA
5,5,3 Doors Down,Kryptonite,5,27,NA,NA,NA,NA
6,6,Erykah Badu,Bag Lady ,34,8,NA,NA,NA,NA
7,7,Creed,With Arms Wide Open,10,22,NA,NA,NA,NA
8,1,Sisqo,Incomplete,7,16,NA,NA,NA,NA
9,1,matchbox twenty,Bent ,6,24,NA,NA,NA,NA
10,7,Nelly,(Hot S**t) Country Grammar,8,24,NA,NA,NA,NA
11,9,Christina Aguilera,Come On Over Baby (All I Want Is You),9,10,NA,NA,NA,NA
12,12,P!nk,Most Girls,13,9,NA,NA,NA,NA
13,11,Everclear,Wonderful,11,14,NA,NA,NA,NA
14,5,Ruff Endz,No More,12,15,NA,NA,NA,NA
15,15,Mystikal, Shake Ya Ass,15,9,NA,NA,NA,NA
16,4,Joe,I Wanna Know,14,41,NA,NA,NA,NA
17,17,Profyle,Liar,25,4,NA,NA,NA,NA
18,18,Mya,Case Of The Ex (Whatcha Gonna Do),24,8,NA,NA,NA,NA
19,2,Toni Braxton,He Wasn't Man Enough,17,30,NA,NA,NA,NA
20,20,Lil Bow Wow Featuring Xscape,Bounce With Me,20,8,NA,NA,NA,NA
21,11, LeAnn Rimes,I Need You,19,20,NA,NA,NA,NA
22,13,BBMak,Back Here,16,24,NA,NA,NA,NA
23,23,Faith Hill,The Way You Love Me,42,23,NA,NA,NA,NA
24,24,Kandi,Don't Think I'm Not,28,10,NA,NA,NA,NA
25,7,Next,Wifey,21,20,NA,NA,NA,NA
26,6,Nine Days,Absolutely (Story Of A Girl),18,23,NA,NA,NA,NA
27,22,SoulDecision Featuring Thrust ,Faded,27,14,NA,NA,NA,NA
28,1,'N Sync,It's Gonna Be Me,23,23,NA,NA,NA,NA
29,7,Creed,Higher,26,49,NA,NA,NA,NA
30,30,Vertical Horizon,You're A God,31,7,NA,NA,NA,NA
31,31,'N Sync,This I Promise You,68,2,NA,NA,NA,NA
32,17,Sting Featuring Cheb Mami,Desert Rose,30,22,NA,NA,NA,NA
33,1, Aaliyah,Try Again,22,30,NA,NA,NA,NA
34,33,Bon Jovi,It's My Life,33,9,NA,NA,NA,NA
35,25,Jo Dee Messina,That's The Way,32,16,NA,NA,NA,NA
36,11,Jagged Edge,Let's Get Married,29,23,NA,NA,NA,NA
37,37,Ja Rule Featuring Christina Milian,Between Me And You,61,4,NA,NA,NA,NA
38,NA,Ricky Martin,She Bangs,NA,NA,NA,NA,NA,NA
39,39,Samantha Mumba,Gotta Tell You,49,5,NA,NA,NA,NA
40,1,Vertical Horizon ,Everything You Want,36,38,NA,NA,NA,NA
41,41,Debelah Morgan,Dance With Me,41,11,NA,NA,NA,NA
42,2,Faith Hill,Breathe,39,49,NA,NA,NA,NA
43,35,Aaron Carter,Aaron's Party (Come Get It),37,7,NA,NA,NA,NA
44,7,P!nk,There You Go,46,32,NA,NA,NA,NA
45,45,John Michael Montgomery,The Little Girl,56,5,NA,NA,NA,NA
46,46,George Strait ,Go On,48,7,NA,NA,NA,NA
47,47,Aaron Tippin,Kiss This,47,7,NA,NA,NA,NA
48,48,Travis Tritt,Best Of Intentions,50,8,NA,NA,NA,NA
49,49,Destiny's Child,Independent Women Part I,63,3,NA,NA,NA,NA
50,32,Toni Braxton,Just Be A Man About It,38,11,NA,NA,NA,NA
51,45,Barenaked Ladies,Pinch Me,45,5,NA,NA,NA,NA
52,43,SHeDAISY,I Will...But,43,13,NA,NA,NA,NA
53,53,Baha Men,Who Let The Dogs Out,53,12,NA,NA,NA,NA
54,54,R. Kelly,I Wish,71,2,NA,NA,NA,NA
55,55,Toby Keith,Country Comes To Town,55,10,NA,NA,NA,NA
56,44,Common,The Light,51,10,NA,NA,NA,NA
57,57,Faith Hill With Tim McGraw,Let's Make Love,60,9,NA,NA,NA,NA
58,23,Dr. Dre Featuring Snoop Dogg,The Next Episode,52,20,NA,NA,NA,NA
59,58,Eminem,The Way I Am,58,7,NA,NA,NA,NA
60,30,Lonestar,What About Now,54,18,NA,NA,NA,NA
61,61,Yolanda Adams,Open My Heart,67,7,NA,NA,NA,NA
62,49,DMX Featuring Sisqo,What You Want,57,15,NA,NA,NA,NA
63,61,Papa Roach,Last Resort,64,11,NA,NA,NA,NA
64,37,Alan Jackson,It Must Be Love,62,16,NA,NA,NA,NA
65,65, Vince Gill,Feels Like Love,73,6,NA,NA,NA,NA
66,23,Britney Spears,Lucky,40,9,NA,NA,NA,NA
67,21,Lil' Zane Featuring 112,Callin' Me,59,11,NA,NA,NA,NA
68,26,Da Brat Featuring Tyrese,What'Chu Like,65,19,NA,NA,NA,NA
69,69,Third Eye Blind,Deep Inside Of You,70,6,NA,NA,NA,NA
70,70,Marc Anthony,My Baby You,76,4,NA,NA,NA,NA
71,NA,Nelly,E.I.,NA,NA,NA,NA,NA,NA
72,72,Changing Faces,That Other Woman,80,2,NA,NA,NA,NA
73,73,Martina McBride,There You Are,75,5,NA,NA,NA,NA
74,72,Red Hot Chili Peppers ,Californication,79,11,NA,NA,NA,NA
75,NA,U2,Beautiful Day,NA,NA,NA,NA,NA,NA
76,76,Jay-Z Featuring Memphis Bleek & Amil,Hey Papi,78,9,NA,NA,NA,NA
77,NA,Wyclef Jean Featuring Mary J. Blige,911,NA,NA,NA,NA,NA,NA
78,57,Joe Diffie,It's Always Somethin',69,9,NA,NA,NA,NA
79,63,Joe,Treat Her Like A Lady,72,10,NA,NA,NA,NA
80,NA,Dixie Chicks,Without You,NA,NA,NA,NA,NA,NA
81,81,Phil Vassar, Just Another Day In Paradise,81,2,NA,NA,NA,NA
82,82,Shyne Featuring Barrington Levy,Bad Boyz,90,5,NA,NA,NA,NA
83,83,Ludacris Featuring Shawnna,What's Your Fantasy,89,2,NA,NA,NA,NA
84,51,Keith Urban,Your Everything,66,13,NA,NA,NA,NA
85,38,Billy Gilman,One Voice,77,17,NA,NA,NA,NA
86,82,Carl Thomas,Summer Rain,82,3,NA,NA,NA,NA
87,58,Don Henley,Taking You Home,85,16,NA,NA,NA,NA
88,84,Tamia,Can't Go For That,84,4,NA,NA,NA,NA
89,21,Jessica Simpson,I Think I'm In Love With You,74,15,NA,NA,NA,NA
90,47, Ideal Featuring Lil' Mo,Whatever,92,18,NA,NA,NA,NA
91,91,Kelly Price,You Should've Told Me,91,3,NA,NA,NA,NA
92,92,Dream,He Loves U Not,99,2,NA,NA,NA,NA
93,93,Patty Loveless ,That's The Kind Of Mood I'm In,93,4,NA,NA,NA,NA
94,59,Sister Hazel,Change Your Mind,87,13,NA,NA,NA,NA
95,88,Madison Avenue,Don't Call Me Baby,88,14,NA,NA,NA,NA
96,71,LeAnn Rimes,Can't Fight The Moonlight,83,5,NA,NA,NA,NA
97,97,Billy Ray Cyrus ,You Won't Be Lonely Now,97,3,NA,NA,NA,NA
98,52,Whitney Houston & Enrique Iglesias,Could I Have This Kiss Forever,95,17,NA,NA,NA,NA
99,24,Mandy Moore,I Wanna Be With You,94,17,NA,NA,NA,NA
100,55,Brooks & Dunn ,You'll Always Be Loved By Me,86,18,NA,NA,NA,NA
