rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Brandy & Monica,The Boy Is Mine,NA,NA,NA,23,23LAST WEEK ,2WEEKS ON CHART
2,1,Next,Too Close,1,17,NA,NA,NA,NA
3,2,Shania Twain,You're Still The One,3,17,NA,NA,NA,NA
4,1, Mariah Carey,My All,2,5,NA,NA,NA,NA
5,3,Janet Featuring BLACKstreet,I Get Lonely,4,3,NA,NA,NA,NA
6,4,Backstreet Boys,Everybody [Backstreet's Back],5,8,NA,NA,NA,NA
7,7,Xscape,The Arms Of The One Who Loves You,7,6,NA,NA,NA,NA
8,1,K-Ci & JoJo,All My Life,9,11,NA,NA,NA,NA
9,1,Savage Garden,Truly Madly Deeply,8,27,NA,NA,NA,NA
10,6,Mya & Sisqo,It's All About Me,6,13,NA,NA,NA,NA
11,8,Marcy Playground,Sex And Candy,11,9,NA,NA,NA,NA
12,5,Public Announcement,Body Bumpin' Yippie-Yi-Yo,10,16,NA,NA,NA,NA
13,2,Montell Jordan Feat. Master P & Silkk The Shocker,Let's Ride,12,14,NA,NA,NA,NA
14,14,Sarah McLachlan,Adia,28,2,NA,NA,NA,NA
15,13,'N Sync,I Want You Back,13,14,NA,NA,NA,NA
16,2,Madonna,Frozen,15,12,NA,NA,NA,NA
17,10,Busta Rhymes,Turn It Up [Remix]/Fire It Up,14,5,NA,NA,NA,NA
18,1,Will Smith,Gettin' Jiggy Wit It,17,15,NA,NA,NA,NA
19,3,Destiny's Child,"No, No, No ",21,28,NA,NA,NA,NA
20,20,Master P Featuring Sons Of Funk,I Got The Hook Up!,20,9,NA,NA,NA,NA
21,21,Voices Of Theory,Say It,30,10,NA,NA,NA,NA
22,22,Jon B,They Don't Know,37,19,NA,NA,NA,NA
23,1,Janet,Together Again,24,25,NA,NA,NA,NA
24,18,LeAnn Rimes,Looking Through Your Eyes,18,8,NA,NA,NA,NA
25,16,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",Make Em' Say Uhh!,16,19,NA,NA,NA,NA
26,26,Luke Featuring No Good But So Good,Raise The Roof,26,11,NA,NA,NA,NA
