rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Vanilla Ice,Ice Ice Baby,NA,NA,NA,3,3LAST WEEK,9WEEKS ON CHART,NA
2,1,Janet Jackson,Black Cat,1,8,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
3,3,Mariah Carey,Love Takes Time,5,8,NA,NA,NA,NA,mariah-carey-tgq-53x53.jpg
4,4,Pebbles,Giving You The Benefit,4,12,NA,NA,NA,NA,pebbles-xsh-53x53.jpg
5,1, James Ingram,I Don't Have The Heart,2,14,NA,NA,NA,NA,james-ingram-t1a-53x53.jpg
6,6,M.C. Hammer,Pray,12,6,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
7,6,After 7,Can't Stop,6,15,NA,NA,NA,NA,after-7-zay-53x53.jpg
8,8,Alias,More Than Words Can Say,14,9,NA,NA,NA,NA,alias-p5m-53x53.jpg
9,9,INXS,Suicide Blonde,9,9,NA,NA,NA,NA,inxs-ug5-53x53.jpg
10,10,Warrant,Cherry Pie,13,9,NA,NA,NA,NA,warrant-53x53.jpg
11,11,Candyman,Knockin' Boots,18,10,NA,NA,NA,NA,candyman-b0u-53x53.jpg
12,12,Deee-Lite,Groove Is In The Heart,20,8,NA,NA,NA,NA,deee-lite-fnz-53x53.jpg
13,1, Maxi Priest,Close To You,7,19,NA,NA,NA,NA,maxi-priest-myk-53x53.jpg
14,8,Black Box,Everybody Everybody,10,14,NA,NA,NA,NA,black-box-a2z-53x53.jpg
15,15,Tony Toni Tone,Feels Good,17,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
16,16,Poison,Something To Believe In,23,5,NA,NA,NA,NA,poison-53x53.jpg
17,13, The Righteous Brothers,Unchained Melody,15,11,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
18,18,Whitney Houston,I'm Your Baby Tonight,29,3,NA,NA,NA,NA,whitney-houston-k4w-53x53.jpg
19,19,The Righteous Brothers,Unchained Melody,22,5,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
20,1,George Michael,Praying For Time,8,10,NA,NA,NA,NA,george-michael-53x53.jpg
21,21,Concrete Blonde,Joey,25,12,NA,NA,NA,NA,concrete-blonde-91p-53x53.jpg
22,22,Daryl Hall John Oates,So Close,27,6,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
23,6,Dino,Romeo,11,13,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
24,24,Bette Midler,From A Distance,32,5,NA,NA,NA,NA,bette-midler-2ui-53x53.jpg
25,1,Nelson,(Can't Live Without Your) Love And Affection,16,18,NA,NA,NA,NA,nelson-53x53.jpg
26,26,Soho,Hippychick,30,9,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
27,27,Stevie B,Because I Love You (The Postman Song),37,5,NA,NA,NA,NA,stevie-b-ir7-53x53.jpg
28,28,Heart,Stranded,31,7,NA,NA,NA,NA,heart-2lh-53x53.jpg
29,19,Slaughter,Fly To the Angels,19,12,NA,NA,NA,NA,slaughter-53x53.jpg
30,30,UB40,The Way You Do The Things You Do,35,8,NA,NA,NA,NA,ub40-53x53.jpg
31,31,Wilson Phillips ,Impulsive,39,4,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
32,21,Breathe,Say A Prayer,21,11,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
33,4,Phil Collins,Something Happened On The Way To Heaven,24,14,NA,NA,NA,NA,phil-collins-53x53.jpg
34,34,David Cassidy,Lyin' To Myself,36,7,NA,NA,NA,NA,david-cassidy-s19-53x53.jpg
35,35,Damn Yankees ,High Enough,42,7,NA,NA,NA,NA,damn-yankees-yz7-53x53.jpg
36,3,Bell Biv DeVoe,Do Me!,26,19,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
37,37,The Human League,Heart Like A Wheel,44,7,NA,NA,NA,NA,the-human-league-2tr-53x53.jpg
38,38,DNA Featuring Suzanne Vega,Tom's Diner,46,5,NA,NA,NA,NA,dna-as0-53x53.jpg
39,39, George Michael,Freedom,53,2,NA,NA,NA,NA,george-michael-53x53.jpg
40,40,Donny Osmond,My Love Is A Fire,49,4,NA,NA,NA,NA,donny-osmond-dfc-53x53.jpg
41,41,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",47,2,NA,NA,NA,NA,jon-bon-jovi-59q-53x53.jpg
42,42,Information Society, Think,50,5,NA,NA,NA,NA,information-society-6kt-53x53.jpg
43,43,Bell Biv DeVoe,B.B.D. (I Thought It Was Me)?,51,4,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
