rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
1,1,Sinead O'Connor,Nothing Compares 2 U,NA,NA,NA,4,4LAST WEEK,6WEEKS ON CHART,NA
2,2,Jane Child,Don't Wanna Fall In Love,2,11,NA,NA,NA,NA,jane-child-t4k-53x53.jpg
3,3,Lisa Stansfield,All Around The World,3,12,NA,NA,NA,NA,lisa-stansfield-yvw-53x53.jpg
4,4,Calloway,I Wanna Be Rich,6,11,NA,NA,NA,NA,calloway-4yt-53x53.jpg
5,1,Tommy Page,I'll Be Your Everything,1,10,NA,NA,NA,NA,tommy-page-t13-53x53.jpg
6,6,Luther Vandross,Here And Now,7,18,NA,NA,NA,NA,luther-vandross-ycy-53x53.jpg
7,7,Michael Bolton,How Can We Be Lovers,12,8,NA,NA,NA,NA,michael-bolton-53x53.jpg
8,8,KISS,Forever,9,12,NA,NA,NA,NA,kiss-53x53.jpg
9,9,Motley Crue,Without You,14,9,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
10,10,A'me Lorain,"Whole Wide World (From ""True Love"")",13,14,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
11,11,Babyface,Whip Appeal,15,9,NA,NA,NA,NA,babyface-qq8-53x53.jpg
12,1,Taylor Dayne,Love Will Lead You Back,5,13,NA,NA,NA,NA,taylor-dayne-j3h-53x53.jpg
13,13,Aerosmith,What It Takes,17,6,NA,NA,NA,NA,aerosmith-7n5-53x53.jpg
14,1,Alannah Myles,Black Velvet,10,16,NA,NA,NA,NA,alannah-myles-bdi-53x53.jpg
15,15,Seduction,Heartbeat,16,9,NA,NA,NA,NA,seduction-tw8-53x53.jpg
16,7,Technotronic,Get Up! (Before The Night Is Over),8,13,NA,NA,NA,NA,technotronic-5tm-53x53.jpg
17,3,Phil Collins,I Wish It Would Rain Down,11,12,NA,NA,NA,NA,phil-collins-53x53.jpg
18,18,Heart,All I Wanna Do Is Make Love To You,26,4,NA,NA,NA,NA,heart-2lh-53x53.jpg
19,19,Linear,Sending All My Love,19,10,NA,NA,NA,NA,linear-2w1-53x53.jpg
20,20,Wilson Phillips,Hold On,25,6,NA,NA,NA,NA,wilson-phillips-531-53x53.jpg
21,21,Sweet Sensation,Love Child,21,6,NA,NA,NA,NA,sweet-sensation-e7v-53x53.jpg
22,22,Don Henley,The Heart Of The Matter ,22,10,NA,NA,NA,NA,don-henley-53x53.jpg
23,23,Adam Ant,Room At The Top,27,7,NA,NA,NA,NA,adam-ant-cr8-53x53.jpg
24,24,Janet Jackson,Alright,30,3,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
25,25,Rod Stewart With Ronald Isley,This Old Heart Of Mine,28,5,NA,NA,NA,NA,rod-stewart-ao5-53x53.jpg
26,24, The U-Krew,If U Were Mine,24,13,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
27,20,Cher,Heart Of Stone,20,11,NA,NA,NA,NA,cher-9v4-53x53.jpg
28,28,Madonna,Vogue,39,2,NA,NA,NA,NA,madonna-53x53.jpg
29,29,Bell Biv DeVoe,Poison,38,3,NA,NA,NA,NA,bell-biv-devoe-221-53x53.jpg
30,30,Digital Underground,The Humpty Dance,33,6,NA,NA,NA,NA,digital-underground-xf6-53x53.jpg
31,31,Expose,Your Baby Never Looked Good In Blue,37,4,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
32,31,Quincy Jones,The Secret Garden,31,7,NA,NA,NA,NA,quincy-jones-3md-53x53.jpg
33,11,Linda Ronstadt (Featuring Aaron Neville),All My Life,18,11,NA,NA,NA,NA,aaron-neville-wa6-53x53.jpg
34,34,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",49,3,NA,NA,NA,NA,roxette-cd8-53x53.jpg
35,1,Janet Jackson,Escapade,23,14,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
36,36,Salt-N-Pepa,Expression,47,7,NA,NA,NA,NA,salt-n-pepa-33c-53x53.jpg
37,7, Michel'le,No More Lies,32,23,NA,NA,NA,NA,michelle-53x53.jpg
38,9,Biz Markie,Just A Friend,36,14,NA,NA,NA,NA,biz-markie-684-53x53.jpg
39,39,Corey Hart,A Little Love,48,6,NA,NA,NA,NA,corey-hart-6qm-53x53.jpg
40,40,Faster Pussycat,House Of Pain,52,9,NA,NA,NA,NA,faster-pussycat-ltc-53x53.jpg
41,41,Fleetwood Mac,Save Me,58,3,NA,NA,NA,NA,fleetwood-mac-53x53.jpg
42,42,Timmy T.,Time After Time,51,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
43,43,Regina Belle,Make It Like It Was,43,9,NA,NA,NA,NA,regina-belle-7to-53x53.jpg
44,44,After 7,Ready Or Not,64,4,NA,NA,NA,NA,after-7-zay-53x53.jpg
45,45,Giant,I'll See You In My Dreams,60,5,NA,NA,NA,NA,giant-2ay-53x53.jpg
46,46,Robert Plant,Hurting Kind (I've Got My Eyes On You),56,5,NA,NA,NA,NA,robert-plant-mbo-53x53.jpg
47,47,Perfect Gentlemen,Ooh La La (I Can't Get Over You),84,2,NA,NA,NA,NA,perfect-gentlemen-vqj-53x53.jpg
48,48, Electronic,Getting Away With It,65,4,NA,NA,NA,NA,electronic-f2h-53x53.jpg
49,8,Madonna,Keep It Together,29,12,NA,NA,NA,NA,madonna-53x53.jpg
50,1,Paula Abdul (Duet With The Wild Pair),Opposites Attract,42,19,NA,NA,NA,NA,paula-abdul-psi-53x53.jpg
51,51,Jude Cole,"Baby, It's Tonight",74,2,NA,NA,NA,NA,jude-cole-axa-53x53.jpg
52,52,Basia,Cruising For Bruising,63,3,NA,NA,NA,NA,basia-q0s-53x53.jpg
53,3,The B-52s,Roam,35,18,NA,NA,NA,NA,the-b52s-53x53.jpg
54,54,Gloria Estefan,Oye Mi Canto (Hear My Voice),66,3,NA,NA,NA,NA,gloria-estefan-53x53.jpg
55,55,Tesla,The Way It Is,59,7,NA,NA,NA,NA,tesla-rcz-53x53.jpg
56,2,Roxette,Dangerous,41,19,NA,NA,NA,NA,roxette-cd8-53x53.jpg
57,34,Natalie Cole,"Wild Women Do (From ""Pretty Woman"")",34,9,NA,NA,NA,NA,natalie-cole-53x53.jpg
58,58,The Cover Girls,All That Glitters Isn't Gold,68,3,NA,NA,NA,NA,the-cover-girls-tsx-53x53.jpg
59,59,Whistle ,Always And Forever,77,3,NA,NA,NA,NA,whistle-d5v-53x53.jpg
60,60,Peter Murphy,Cuts You Up,67,5,NA,NA,NA,NA,peter-murphy-v99-53x53.jpg
61,18,Elton John,Sacrifice,45,15,NA,NA,NA,NA,elton-john-qls-53x53.jpg
62,10,D-Mob Introducing Cathy Dennis ,C'mon And Get My Love,40,19,NA,NA,NA,NA,d-mob-k40-53x53.jpg
63,29,Stevie B,Love Me For Life,46,12,NA,NA,NA,NA,stevie-b-ir7-53x53.jpg
64,49,Bonnie Raitt,Have A Heart,54,7,NA,NA,NA,NA,bonnie-raitt-ae3-53x53.jpg
65,40,Lou Gramm,True Blue Love,44,10,NA,NA,NA,NA,lou-gramm-b5a-53x53.jpg
66,46,Kaoma ,Lambada,50,8,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
67,67,Laura Branigan,Moonlight On Water,71,4,NA,NA,NA,NA,laura-branigan-0li-53x53.jpg
68,68,Bad English,Heaven Is A 4 Letter Word,80,2,NA,NA,NA,NA,bad-english-knp-53x53.jpg
69,20,Warrant,Sometimes She Cries,61,16,NA,NA,NA,NA,warrant-53x53.jpg
70,70, Grayson Hugh & Betty Wright,"How 'Bout Us (From ""True Love"")",83,4,NA,NA,NA,NA,grayson-hugh-1wu-53x53.jpg
71,6,Billy Joel,I Go To Extremes,55,15,NA,NA,NA,NA,billy-joel-wt1-53x53.jpg
72,72,Soul II Soul,Get A Life,94,2,NA,NA,NA,NA,soul-ii-soul-v8v-53x53.jpg
73,73,Depeche Mode,Enjoy The Silence,96,2,NA,NA,NA,NA,depeche-mode-53x53.jpg
74,74,Michel'le,Nicety,98,2,NA,NA,NA,NA,michelle-53x53.jpg
75,5,Bad English,Price Of Love,57,18,NA,NA,NA,NA,bad-english-knp-53x53.jpg
76,6,Gloria Estefan,Here We Are,62,19,NA,NA,NA,NA,gloria-estefan-53x53.jpg
77,13,Michael Penn,No Myth,53,16,NA,NA,NA,NA,michael-penn-r15-53x53.jpg
78,48,Leila K With Rob 'N' Raz,Got To Get,72,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
79,79,L.A. Guns,The Ballad Of Jayne,89,3,NA,NA,NA,NA,la-guns-3yt-53x53.jpg
80,75,Young M.C.,I Come Off,75,5,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
81,65,Anything Box,Living In Oblivion,73,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
82,73,Pajama Party,Hide And Seek,79,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
83,83,Hi Tek 3 Featuring Ya Kid K,Spin That Wheel,92,2,NA,NA,NA,NA,hi-tek-kuq-53x53.jpg
84,NA,The B-52s,Deadbeat Club,NA,NA,NA,NA,NA,NA,the-b52s-53x53.jpg
85,NA,Damn Yankees,Coming Of Age,NA,NA,NA,NA,NA,NA,damn-yankees-yz7-53x53.jpg
86,86,Beats International,Dub Be Good To Me,95,2,NA,NA,NA,NA,beats-international-jrf-53x53.jpg
87,87,Jimmy Somerville,You Make Me Feel (Mighty Real),90,3,NA,NA,NA,NA,jimmy-somerville-0i6-53x53.jpg
88,28,Depeche Mode ,Personal Jesus,85,20,NA,NA,NA,NA,depeche-mode-53x53.jpg
89,NA,Partners In Kryme,Turtle Power,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
90,7,Young M.C. ,Bust A Move,78,39,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
91,47,Enuff Z'Nuff,Fly High Michelle,82,13,NA,NA,NA,NA,enuff-znuff-sbu-53x53.jpg
92,NA,The 4 Of Us,Drag My Bad Name Down,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
93,46,Tom Petty,A Face In The Crowd,81,8,NA,NA,NA,NA,tom-petty-and-the-heartbreakers-eog-53x53.jpg
94,NA,The Cure,Pictures Of You,NA,NA,NA,NA,NA,NA,the-cure-53x53.jpg
95,38,The Smithereens,A Girl Like You,87,20,NA,NA,NA,NA,the-smithereens-eoz-53x53.jpg
96,47,Midnight Oil,Blue Sky Mine,69,10,NA,NA,NA,NA,midnight-oil-hyy-53x53.jpg
97,69, McAuley Schenker Group,Anytime,91,10,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
98,28,Whitesnake,The Deeper The Love,76,14,NA,NA,NA,NA,whitesnake-4bv-53x53.jpg
99,82,Shana,You Can't Get Away,86,5,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
100,36,The Brat Pack,You're The Only Woman,70,12,NA,NA,NA,NA,the-brat-pack-sgi-53x53.jpg
