rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Mariah Carey,Always Be My Baby,NA,NA,2,NA,2WEEKS AT NO. 1,6WEEKS ON CHART
2,NA,Bone Thugs-N-Harmony,Tha Crossroads,NA,NA,NA,NA,NA,NA
3,1,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",2,10,NA,NA,NA,NA
4,2,The Tony Rich Project,Nobody Knows,3,22,NA,NA,NA,NA
5,4,Alanis Morissette,Ironic,4,9,NA,NA,NA,NA
6,6,SWV,You're The One,6,4,NA,NA,NA,NA
7,5,Coolio,"1, 2, 3, 4 (Sumpin' New)",5,10,NA,NA,NA,NA
8,8,Whitney Houston & CeCe Winans,"Count On Me (From ""Waiting To Exhale"")",8,8,NA,NA,NA,NA
9,4,R. Kelly Featuring Ronald Isley,Down Low (Nobody Has To Know),7,11,NA,NA,NA,NA
10,10,Tracy Chapman,Give Me One Reason,14,6,NA,NA,NA,NA
11,8,Busta Rhymes,Woo-Hah!! Got You All In Check/Everything Remains Raw,9,10,NA,NA,NA,NA
12,9,Gin Blossoms,Follow You Down/Til I Hear It From You ,10,14,NA,NA,NA,NA
13,2,Brandy,"Sittin' Up In My Room (From ""Waiting To Exhale"")",11,20,NA,NA,NA,NA
14,9,LL Cool J,Doin It,12,10,NA,NA,NA,NA
15,15,MC Lyte Featuring Xscape,"Keep On, Keepin' On (From ""Sunset Park"")",28,9,NA,NA,NA,NA
16,2,Everything But The Girl,Missing,13,40,NA,NA,NA,NA
17,17,Hootie & The Blowfish,Old Man & Me (When I Get To Heaven),22,3,NA,NA,NA,NA
18,18, Jann Arden,"Insensitive (From ""Bed Of Roses"")",19,14,NA,NA,NA,NA
19,11,Joe,"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")",15,14,NA,NA,NA,NA
20,16,BoDeans,"Closer To Free (From ""Party Of Five"")",16,10,NA,NA,NA,NA
21,21,La Bouche ,Sweet Dreams,30,7,NA,NA,NA,NA
22,17,Deborah Cox,Who Do U Love,17,15,NA,NA,NA,NA
23,10,D'Angelo,Lady,18,11,NA,NA,NA,NA
24,24,Nonchalant,5 O'Clock,24,11,NA,NA,NA,NA
25,12,The Smashing Pumpkins,1979,21,14,NA,NA,NA,NA
26,6,La Bouche,Be My Lover,26,27,NA,NA,NA,NA
27,21,Natalie Merchant,Wonder,27,23,NA,NA,NA,NA
28,23,No Doubt,Just A Girl,23,22,NA,NA,NA,NA
29,2,Mary J. Blige,"Not Gon' Cry (From ""Waiting To Exhale"")",20,16,NA,NA,NA,NA
30,5,Goo Goo Dolls,Name,29,31,NA,NA,NA,NA
31,19,Collective Soul,The World I Know,31,26,NA,NA,NA,NA
32,1,Mariah Carey & Boyz II Men,One Sweet Day,25,24,NA,NA,NA,NA
33,33,Lost Boyz,Renee,33,8,NA,NA,NA,NA
34,NA,George Michael,Fastlove,NA,NA,NA,NA,NA,NA
35,22,Melissa Etheridge,I Want To Come Over,32,13,NA,NA,NA,NA
36,24,Chantay Savage,I Will Survive,34,13,NA,NA,NA,NA
37,37,Color Me Badd,"The Earth, The Sun, The Rain",46,2,NA,NA,NA,NA
38,38,Tina Arena,Chains,38,4,NA,NA,NA,NA
39,NA,Monifah,You,NA,NA,NA,NA,NA,NA
40,15,3T,Anything,35,32,NA,NA,NA,NA
41,39,Lionel Richie,Don't Wanna Lose You,39,5,NA,NA,NA,NA
42,32,Spacehog,In The Meantime,36,6,NA,NA,NA,NA
43,43,Bush,"Machinehead (From ""Fear"")",43,5,NA,NA,NA,NA
44,NA,The Cure,The 13th,NA,NA,NA,NA,NA,NA
45,37,H-Town,"A Thin Line Between Love & Hate (From ""A Thin Line..."")",37,13,NA,NA,NA,NA
46,23,Blues Traveler,Hook,40,32,NA,NA,NA,NA
47,45,Los Del Rio,Macarena (Bayside Boys Mix),NA,21,NA,NA,NA,NA
48,33,Seal,Don't Cry,41,13,NA,NA,NA,NA
49,49,Total,Kissin' You,59,2,NA,NA,NA,NA
50,30,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,Get Money,47,14,NA,NA,NA,NA
51,51,Immature, Please Don't Go,57,2,NA,NA,NA,NA
52,52,Angelina,Release Me,52,8,NA,NA,NA,NA
53,8,Oasis,Wonderwall,45,16,NA,NA,NA,NA
54,35,Lina Santiago,Feels So Good (Show Me Your Love),48,16,NA,NA,NA,NA
55,53,"""Weird Al"" Yankovic",Amish Paradise,53,7,NA,NA,NA,NA
56,29,Fugees,Fu-Gee-La,51,20,NA,NA,NA,NA
57,57,Delinquent Habits,Tres Delinquentes,61,3,NA,NA,NA,NA
58,58, Gloria Estefan,Reach,58,4,NA,NA,NA,NA
59,59,Quad City DJ's,C'mon N' Ride It (The Train),60,9,NA,NA,NA,NA
60,30,Ace Of Base,Lucky Love,49,12,NA,NA,NA,NA
61,55,Garbage,Only Happy When It Rains,55,10,NA,NA,NA,NA
62,62,Lenny Kravitz,Can't Get You Off My Mind,62,8,NA,NA,NA,NA
63,63,Jay-Z Featuring Foxxy Brown,Ain't No Nigga/Dead Presidents,63,6,NA,NA,NA,NA
64,28,Bush,Glycerine,66,16,NA,NA,NA,NA
65,29,The Presidents Of The United States Of America,Peaches,54,10,NA,NA,NA,NA
66,39,Seven Mary Three,Cumbersome,65,17,NA,NA,NA,NA
67,67,Luke,"Scarred (From ""Eddie"")",67,3,NA,NA,NA,NA
