rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Santana Featuring Rob Thomas,Smooth,NA,NA,3,NA,3 WEEKS AT NO. 1,15WEEKS ON CHART
2,2,Puff Daddy Featuring R. Kelly,Satisfy You,2,7,NA,NA,NA,NA
3,1,Mariah Carey Featuring Jay-Z,Heartbreaker,3,10,NA,NA,NA,NA
4,4,Lou Bega,Mambo No. 5 (A Little Bit Of...),4,11,NA,NA,NA,NA
5,1,TLC,Unpretty,5,20,NA,NA,NA,NA
6,6,Marc Anthony,I Need To Know ,7,9,NA,NA,NA,NA
7,7,Whitney Houston,My Love Is Your Love,8,10,NA,NA,NA,NA
8,8,Brian McKnight,Back At One,12,11,NA,NA,NA,NA
9,8,Deborah Cox With R.L.,We Can't Be Friends,9,9,NA,NA,NA,NA
10,10,Len,Steal My Sunshine,14,13,NA,NA,NA,NA
11,7,Sugar Ray,Someday,11,19,NA,NA,NA,NA
12,9, Red Hot Chili Peppers,Scar Tissue,10,23,NA,NA,NA,NA
13,2,'N Sync & Gloria Estefan,Music Of My Heart,6,10,NA,NA,NA,NA
14,14,Britney Spears,(You Drive Me) Crazy,16,8,NA,NA,NA,NA
15,1,Christina Aguilera,Genie In A Bottle,13,19,NA,NA,NA,NA
16,4,702,Where My Girls At?,15,28,NA,NA,NA,NA
17,13,98 Degrees,I Do (Cherish You),17,14,NA,NA,NA,NA
18,18,Ideal,Get Gone,21,12,NA,NA,NA,NA
19,19,Jennifer Lopez,Waiting For Tonight,25,4,NA,NA,NA,NA
20,20,Donell Jones,U Know What's Up,24,7,NA,NA,NA,NA
21,2,Ricky Martin,She's All I Ever Had,20,14,NA,NA,NA,NA
22,4,Smash Mouth,All Star,19,25,NA,NA,NA,NA
23,22,Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up,22,18,NA,NA,NA,NA
24,12,R. Kelly,If I Could Turn Back The Hands Of Time,18,11,NA,NA,NA,NA
25,25,Jessica Simpson,I Wanna Love You Forever,33,4,NA,NA,NA,NA
26,26,Martina McBride,I Love You,29,11,NA,NA,NA,NA
27,16,Goo Goo Dolls,Black Balloon,23,18,NA,NA,NA,NA
28,28,Warren G Featuring Mack 10,I Want It All,28,8,NA,NA,NA,NA
29,29,Backstreet Boys,Larger Than Life,30,8,NA,NA,NA,NA
30,26,Q-Tip,Vivrant Thing,26,17,NA,NA,NA,NA
31,31,Shania Twain,Man! I Feel Like A Woman!,35,26,NA,NA,NA,NA
32,32,Sixpence None The Richer,There She Goes,36,9,NA,NA,NA,NA
33,14,Tal Bachman,She's So High,31,21,NA,NA,NA,NA
34,34,Eve,Gotta Man,39,8,NA,NA,NA,NA
35,1,Enrique Iglesias,Bailamos ,27,18,NA,NA,NA,NA
36,28,Tim McGraw,Something Like That,34,13,NA,NA,NA,NA
37,6,Backstreet Boys,I Want It That Way,37,29,NA,NA,NA,NA
38,38,Destiny's Child,Bug A Boo,38,7,NA,NA,NA,NA
39,21,Eric Benet Featuring Tamia,Spend My Life With You,32,19,NA,NA,NA,NA
40,40,IMx,Stay The Night,43,5,NA,NA,NA,NA
41,40,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",Bling Bling,40,8,NA,NA,NA,NA
42,42,Steve Wariner,I'm Already Taken,42,9,NA,NA,NA,NA
43,43,Savage Garden,I Knew I Loved You,48,3,NA,NA,NA,NA
44,41,Mandy Moore,Candy,41,9,NA,NA,NA,NA
45,45,George Strait,What Do You Say To That,45,10,NA,NA,NA,NA
46,46,Montgomery Gentry,Lonely And Gone,46,15,NA,NA,NA,NA
47,47,Will Smith Featuring K-Ci,Will 2K,60,2,NA,NA,NA,NA
48,48,Train,Meet Virginia,54,5,NA,NA,NA,NA
49,49, Lenny Kravitz,American Woman,49,17,NA,NA,NA,NA
50,50,Blaque,Bring It All To Me,63,3,NA,NA,NA,NA
51,51,LeAnn Rimes,Big Deal,51,4,NA,NA,NA,NA
52,52,Clint Black,When I Said I Do,58,4,NA,NA,NA,NA
