rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Cher,Believe,NA,NA,NA,2,2LAST WEEK ,13WEEKS ON CHART
2,1,Monica,Angel Of Mine,1,15,NA,NA,NA,NA
3,3,Whitney Houston Feat. Faith Evans & Kelly Price,Heartbreak Hotel,3,12,NA,NA,NA,NA
4,4,Sarah McLachlan,Angel,4,15,NA,NA,NA,NA
5,5,Backstreet Boys,All I Have To Give,6,7,NA,NA,NA,NA
6,6,Mariah Carey,I Still Believe,21,6,NA,NA,NA,NA
7,2,Deborah Cox,Nobody's Supposed To Be Here,7,24,NA,NA,NA,NA
8,1,Britney Spears,...Baby One More Time,5,17,NA,NA,NA,NA
9,9,Sugar Ray, Every Morning,12,10,NA,NA,NA,NA
10,10,TLC,No Scrubs,15,4,NA,NA,NA,NA
11,8,Goo Goo Dolls,Slide,11,15,NA,NA,NA,NA
12,8, 'N Sync,(God Must Have Spent) A Little More Time On You,8,15,NA,NA,NA,NA
13,10,Jesse Powell,You,10,4,NA,NA,NA,NA
14,14,Sixpence None The Richer,Kiss Me,17,6,NA,NA,NA,NA
15,1,Brandy ,Have You Ever?,9,15,NA,NA,NA,NA
16,10,Case & Joe,Faded Pictures,13,12,NA,NA,NA,NA
17,5,Eagle-Eye Cherry,Save Tonight,16,15,NA,NA,NA,NA
18,18,Silkk The Shocker Featuring Mystikal,It Ain't My Fault 1 & 2,20,2,NA,NA,NA,NA
19,17, Will Smith,Miami,19,15,NA,NA,NA,NA
20,5,Third Eye Blind,Jumper,18,15,NA,NA,NA,NA
21,21,Joey McIntyre,Stay The Same,26,3,NA,NA,NA,NA
22,22,Lauryn Hill,Ex-Factor,25,10,NA,NA,NA,NA
23,11,Gerald Levert,Taking Everything,14,7,NA,NA,NA,NA
24,24,Tyrese,Sweet Lady,27,8,NA,NA,NA,NA
25,22,R. Kelly,When A Woman's Fed Up,22,12,NA,NA,NA,NA
26,17,Mark Chesnutt,I Don't Want To Miss A Thing,24,13,NA,NA,NA,NA
27,27,Kenny Chesney,How Forever Feels,34,6,NA,NA,NA,NA
