rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Santana Featuring The Product G&B,Maria Maria,NA,NA,9,NA,9WEEKS AT NO. 1,17WEEKS ON CHART
2,2,Marc Anthony,You Sang To Me,5,15,NA,NA,NA,NA
3,2,Faith Hill,Breathe,2,31,NA,NA,NA,NA
4,3, Sisqo,Thong Song,3,19,NA,NA,NA,NA
5,2,Toni Braxton,He Wasn't Man Enough,4,12,NA,NA,NA,NA
6,6,Enrique Iglesias,Be With You,8,10,NA,NA,NA,NA
7,6,Vertical Horizon,Everything You Want,7,20,NA,NA,NA,NA
8,8,Aaliyah, Try Again,9,12,NA,NA,NA,NA
9,5,Macy Gray,I Try,6,16,NA,NA,NA,NA
10,10,Joe,I Wanna Know,11,23,NA,NA,NA,NA
11,11,Eminem,The Real Slim Shady,16,5,NA,NA,NA,NA
12,12,Britney Spears,Oops!...I Did It Again ,13,7,NA,NA,NA,NA
13,1,Destiny's Child,Say My Name,10,24,NA,NA,NA,NA
14,14,Creed,Higher,18,31,NA,NA,NA,NA
15,14,Red Hot Chili Peppers,Otherside,14,17,NA,NA,NA,NA
16,7,P!nk,There You Go,19,14,NA,NA,NA,NA
17,17,Christina Aguilera,I Turn To You,20,8,NA,NA,NA,NA
18,4,'N Sync,Bye Bye Bye,12,19,NA,NA,NA,NA
19,8,Sonique,It Feels So Good,17,20,NA,NA,NA,NA
20,1,Lonestar,Amazed,15,44,NA,NA,NA,NA
21,21,matchbox twenty,Bent,22,6,NA,NA,NA,NA
22,20,Carl Thomas,I Wish,21,11,NA,NA,NA,NA
23,1,Santana Featuring Rob Thomas,Smooth,23,45,NA,NA,NA,NA
24,24,Savage Garden,Crash And Burn,24,9,NA,NA,NA,NA
25,25,Jay-Z Featuring UGK, Big Pimpin',25,7,NA,NA,NA,NA
26,26,'N Sync,It's Gonna Be Me,39,5,NA,NA,NA,NA
27,27, Alice Deejay,Better Off Alone,29,9,NA,NA,NA,NA
28,27,DMX,Party Up (Up In Here),28,15,NA,NA,NA,NA
29,29,Goo Goo Dolls,Broadway,31,7,NA,NA,NA,NA
30,23,Avant,Separated,26,6,NA,NA,NA,NA
31,28,Mary Mary,Shackles (Praise You),30,11,NA,NA,NA,NA
32,32,Chad Brock,Yes!,33,9,NA,NA,NA,NA
33,14, Third Eye Blind,Never Let You Go,27,20,NA,NA,NA,NA
34,34,BBMak,Back Here,38,6,NA,NA,NA,NA
35,35,Westlife,Swear It Again,37,10,NA,NA,NA,NA
36,36, Donell Jones,Where I Wanna Be,41,7,NA,NA,NA,NA
37,37,Nelly,(Hot S**t) Country Grammar,55,6,NA,NA,NA,NA
38,38,Jagged Edge,Let's Get Married,45,5,NA,NA,NA,NA
39,39,Nine Days,Absolutely (Story Of A Girl),52,5,NA,NA,NA,NA
40,40,Vitamin C,Graduation (Friends Forever),40,8,NA,NA,NA,NA
41,35,Faith Hill,The Way You Love Me,35,13,NA,NA,NA,NA
42,42,Andy Griggs,She's More,43,13,NA,NA,NA,NA
43,43,Clay Walker,The Chain Of Love,44,8,NA,NA,NA,NA
44,19,Kid Rock,Only God Knows Why,32,16,NA,NA,NA,NA
45,6,Backstreet Boys,Show Me The Meaning Of Being Lonely,34,23,NA,NA,NA,NA
46,46,Collin Raye,Couldn't Last A Moment,48,12,NA,NA,NA,NA
47,1,Savage Garden,I Knew I Loved You,46,33,NA,NA,NA,NA
48,3,Marc Anthony,I Need To Know,47,39,NA,NA,NA,NA
49,17,504 Boyz,Wobble Wobble,36,8,NA,NA,NA,NA
50,50,Backstreet Boys,The One,58,2,NA,NA,NA,NA
51,51,3 Doors Down,Kryptonite,53,9,NA,NA,NA,NA
52,31,Toby Keith,How Do You Like Me Now?!,51,19,NA,NA,NA,NA
53,31,George Strait ,The Best Day,49,19,NA,NA,NA,NA
54,54,Clay Davidson,Unconditional,56,11,NA,NA,NA,NA
55,55,Lee Ann Womack,I Hope You Dance,61,4,NA,NA,NA,NA
56,50,Mya Featuring Jadakiss ,Best Of Me,50,8,NA,NA,NA,NA
57,57,Kenny Chesney, What I Need To Do,57,10,NA,NA,NA,NA
58,40,Kenny Rogers With Alison Krauss & Billy Dean,Buy Me A Rose,54,13,NA,NA,NA,NA
59,59,Sting Featuring Cheb Mami,Desert Rose,72,4,NA,NA,NA,NA
60,60,Son By Four,Purest Of Pain (A Puro Dolor),64,9,NA,NA,NA,NA
61,61,Next,Wifey,85,2,NA,NA,NA,NA
62,62,Destiny's Child,"Jumpin', Jumpin'",65,4,NA,NA,NA,NA
63,63,Lucy Pearl,Dance Tonight,75,3,NA,NA,NA,NA
64,49, Elton John,Someday Out Of The Blue,60,7,NA,NA,NA,NA
65,65,Tim McGraw,Some Things Never Change,66,4,NA,NA,NA,NA
66,66,Rascal Flatts,Prayin' For Daylight,68,5,NA,NA,NA,NA
67,67, Dr. Dre Featuring Snoop Dogg,The Next Episode,78,2,NA,NA,NA,NA
68,68,LeAnn Rimes,I Need You,77,2,NA,NA,NA,NA
69,69,Trace Adkins,More,73,6,NA,NA,NA,NA
70,62,M2M,Mirror Mirror,62,10,NA,NA,NA,NA
71,NA,Da Brat Featuring Tyrese,What'Chu Like,NA,NA,NA,NA,NA,NA
72,72,Reba McEntire,I'll Be,79,4,NA,NA,NA,NA
73,51,Jennifer Lopez Featuring Big Pun & Fat Joe, Feelin' So Good,74,14,NA,NA,NA,NA
74,74,Creed,With Arms Wide Open,76,4,NA,NA,NA,NA
75,59,NAS Featuring Ginuwine,You Owe Me,69,11,NA,NA,NA,NA
76,75,Big Punisher Featuring Donell Jones,It's So Hard,81,7,NA,NA,NA,NA
77,77,Eric Heatherly,Flowers On The Wall,82,6,NA,NA,NA,NA
78,45,Phil Vassar,Carlene,59,14,NA,NA,NA,NA
79,74,Yankee Grey,Another Nine Minutes,83,6,NA,NA,NA,NA
80,80,Before Dark,Monica,87,3,NA,NA,NA,NA
81,81,Metallica,I Disappear,88,4,NA,NA,NA,NA
82,25,Dr. Dre Featuring Eminem,Forgot About Dre,80,20,NA,NA,NA,NA
83,35,Aaliyah,I Don't Wanna,67,19,NA,NA,NA,NA
84,44,Clint Black With Steve Wariner,Been There,63,16,NA,NA,NA,NA
85,43,Black Rob,Whoa!,70,14,NA,NA,NA,NA
86,14,Britney Spears,From The Bottom Of My Broken Heart,92,19,NA,NA,NA,NA
87,87,"Trick Daddy Featuring Duece Poppito, Trina, Co",Shut Up,95,3,NA,NA,NA,NA
88,19,Dixie Chicks,Goodbye Earl,86,12,NA,NA,NA,NA
89,49,Pearl Jam,Nothing As It Seems,84,4,NA,NA,NA,NA
90,68,Mary J. Blige,Give Me You,89,8,NA,NA,NA,NA
91,24,Sammie,I Like It,93,19,NA,NA,NA,NA
92,85, Brad Paisley,Me Neither,90,4,NA,NA,NA,NA
93,42,Martina McBride,Love's The Only House,91,18,NA,NA,NA,NA
94,56,Da Brat,That's What I'm Looking For,94,15,NA,NA,NA,NA
95,20,Hanson,This Time Around,71,7,NA,NA,NA,NA
96,74,Ying Yang Twins,Whistle While You Twurk,97,12,NA,NA,NA,NA
97,NA,Nu Flavor,3 Little Words,NA,NA,NA,NA,NA,NA
98,52,Bloodhound Gang,The Bad Touch,96,12,NA,NA,NA,NA
99,40,Tracy Lawrence,Lessons Learned,99,19,NA,NA,NA,NA
100,91,Kelly Price & Friends,Love Sets You Free,98,4,NA,NA,NA,NA
