rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Mariah Carey,Dreamlover,NA,NA,3,NA,3WEEKS AT NO. 1,8WEEKS ON CHART
2,2,Tag Team,Whoomp! (There It Is),2,18,NA,NA,NA,NA
3,3,SWV,Right Here (Human Nature)/Downtown,5,11,NA,NA,NA,NA
4,1,UB40,"Can't Help Falling In Love (From ""Sliver"")",3,20,NA,NA,NA,NA
5,4,Janet Jackson,If,4,10,NA,NA,NA,NA
6,6,Billy Joel,The River Of Dreams,6,9,NA,NA,NA,NA
7,7,Michael Jackson,Will You Be There,8,11,NA,NA,NA,NA
8,5,Soul Asylum,Runaway Train,7,16,NA,NA,NA,NA
9,4,Jodeci,Lately,9,16,NA,NA,NA,NA
10,10,Shai,Baby I'm Yours,10,17,NA,NA,NA,NA
11,11,Toni Braxton,Another Sad Love Song,14,13,NA,NA,NA,NA
12,12,2Pac,I Get Around,12,13,NA,NA,NA,NA
13,13,Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,17,8,NA,NA,NA,NA
14,14,Aerosmith,Cryin',18,9,NA,NA,NA,NA
15,13,Brian McKnight,One Last Cry,13,16,NA,NA,NA,NA
16,14,Madonna,Rain,16,10,NA,NA,NA,NA
17,3,The Proclaimers,I'm Gonna Be (500 Miles),15,16,NA,NA,NA,NA
18,7,Tony Toni Tone,If I Had No Loot,11,16,NA,NA,NA,NA
19,19,Cypress Hill,Insane In The Brain,20,12,NA,NA,NA,NA
20,9,Tina Turner,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",19,18,NA,NA,NA,NA
21,21,Rod Stewart,Reason To Believe ,32,7,NA,NA,NA,NA
22,22,Inner Circle,Sweat (A La La La La Long),30,8,NA,NA,NA,NA
23,23,Celine Dion And Clive Griffin,"When I Fall In Love (From ""Sleepless In Seattle"")",29,11,NA,NA,NA,NA
24,19,Kris Kross Featuring Supercat,Alright,21,9,NA,NA,NA,NA
25,25,Tears For Fears,Break It Down Again,27,11,NA,NA,NA,NA
26,26,Red Hot Chili Peppers,"Soul To Squeeze (From ""Coneheads"")",37,5,NA,NA,NA,NA
27,1,SWV,Weak,22,23,NA,NA,NA,NA
28,28,Zhane,Hey Mr. D.J.,38,5,NA,NA,NA,NA
29,11,95 South,"Whoot, There It Is",23,22,NA,NA,NA,NA
30,30,Def Leppard,"Two Steps Behind (From ""Last Action Hero"")",49,3,NA,NA,NA,NA
31,27,Dino,Ooh Child,28,12,NA,NA,NA,NA
32,20,Ice Cube Featuring Das EFX,Check Yo Self,24,9,NA,NA,NA,NA
33,33,Gin Blossoms,Hey Jealousy ,33,10,NA,NA,NA,NA
34,12,Duice,Dazzey Duks,31,38,NA,NA,NA,NA
35,14,4 Non Blondes,What's Up,26,23,NA,NA,NA,NA
36,5,Robin S.,Show Me Love,34,26,NA,NA,NA,NA
37,35,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",Very Special,35,12,NA,NA,NA,NA
38,8,Expose,I'll Never Get Over You (Getting Over Me),36,27,NA,NA,NA,NA
39,4,Onyx,Slam,25,18,NA,NA,NA,NA
40,39,MC Lyte,Ruffneck,39,11,NA,NA,NA,NA
41,41,Haddaway,What Is Love,50,5,NA,NA,NA,NA
42,1,Janet Jackson,That's The Way Love Goes,41,22,NA,NA,NA,NA
43,43,Rick Astley,Hopelessly ,52,4,NA,NA,NA,NA
44,34,Radiohead,Creep,40,14,NA,NA,NA,NA
45,23,Sting,Fields Of Gold,43,17,NA,NA,NA,NA
46,3,H-Town,Knockin' Da Boots,42,25,NA,NA,NA,NA
47,8,Dr. Dre,Dre Day,44,20,NA,NA,NA,NA
48,48,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),68,2,NA,NA,NA,NA
49,7,Duran Duran,Come Undone,48,24,NA,NA,NA,NA
50,50,Bell Biv DeVoe,Something In Your Eyes ,53,6,NA,NA,NA,NA
51,51,Blind Melon,No Rain,57,6,NA,NA,NA,NA
52,29, U.N.V.,Something's Goin' On,46,17,NA,NA,NA,NA
53,53,"Earth, Wind & Fire",Sunday Morning,60,5,NA,NA,NA,NA
54,22,Jade,One Woman,47,17,NA,NA,NA,NA
55,55,Lisa Keith,Better Than You,64,6,NA,NA,NA,NA
